date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,11.6(0.00 %),0,0,0,0,0,0,"-63,600",0.06%,bmj
11/09/2024,11.6(0.00 %),0,0,0,0,0,0,"-63,600",0.06%,bmj
10/09/2024,11.6(0.00 %),0,0,0,0,0,0,"-63,600",0.06%,bmj
09/09/2024,11.6(0.00 %),0,0,0,0,0,0,"-63,600",0.06%,bmj
06/09/2024,11.6(0.00 %),0,0,0,0,0,0,"-63,600",0.06%,bmj
05/09/2024,11.6(0.00 %),0,0,0,0,0,0,"-63,600",0.06%,bmj
04/09/2024,11.6(0.00 %),0,0,0,0,0,0,"-63,600",0.06%,bmj
30/08/2024,11.6(0.00 %),0,0,0,0,0,0,"-63,600",0.06%,bmj
29/08/2024,11.6(0.00 %),0,0,0,0,0,0,"-63,600",0.06%,bmj
28/08/2024,11.6(0.00 %),0,0,0,0,0,0,"-63,600",0.06%,bmj
27/08/2024,11.6(0.00 %),0,0,0,0,0,0,"-63,600",0.06%,bmj
26/08/2024,11.6(14.85 %),0,0,0,0,0,0,"-63,600",0.06%,bmj
23/08/2024,10.1(0.00 %),0,0,0,0,0,0,"-63,600",0.06%,bmj
22/08/2024,10.1(0.00 %),0,0,0,0,0,0,"-63,600",0.06%,bmj
21/08/2024,10.1(0.00 %),0,0,0,0,0,0,"-63,600",0.06%,bmj
20/08/2024,10.1(0.00 %),0,0,0,0,0,0,-636,0.06%,bmj
19/08/2024,10.1(0.00 %),0,0,0,0,0,0,-636,0.06%,bmj
16/08/2024,10.1(0.00 %),0,0,0,0,0,0,-636,0.06%,bmj
15/08/2024,10.1(0.00 %),0,0,0,0,0,0,-637,0.06%,bmj
14/08/2024,10.1(7.45 %),-100,0,0,0,100,0,-637,0.06%,bmj
13/08/2024,9.9(5.32 %),0,0,0,0,0,0,-637,0.06%,bmj
12/08/2024,10(13.64 %),0,0,0,0,0,0,-637,0.06%,bmj
09/08/2024,8.8(-14.56 %),0,0,0,0,0,0,"-63,700",0.06%,bmj
08/08/2024,10.3(0.00 %),0,0,0,0,0,0,"-63,700",0.06%,bmj
07/08/2024,10.3(0.00 %),0,0,0,0,0,0,"-63,700",0.06%,bmj
06/08/2024,10.3(13.19 %),0,0,0,0,0,0,"-63,700",0.06%,bmj
05/08/2024,9.1(-14.95 %),0,0,0,0,0,0,"-63,700",0.06%,bmj
02/08/2024,10.7(0.00 %),0,0,0,0,0,0,"-63,700",0.06%,bmj
01/08/2024,10.7(0.00 %),0,0,0,0,0,0,"-63,700",0.06%,bmj
31/07/2024,10.7(0.00 %),0,0,0,0,0,0,"-63,700",0.06%,bmj
30/07/2024,10.7(0.00 %),0,0,0,0,0,0,"-63,700",0.06%,bmj
29/07/2024,10.7(0.00 %),0,0,0,0,0,0,"-63,700",0.06%,bmj
24/07/2024,10(0.00 %),0,0,0,0,0,0,"-63,700",0.06%,bmj
23/07/2024,10(3.09 %),0,0,0,0,0,0,"-63,700",0.06%,bmj
22/07/2024,9.7(2.11 %),0,0,0,0,0,0,"-63,700",0.06%,bmj
19/07/2024,9.2(-3.16 %),0,0,0,0,0,0,"-63,700",0.06%,bmj
18/07/2024,10(9.89 %),0,0,0,0,0,0,"-63,700",0.06%,bmj
17/07/2024,0(0.00 %),0,0,0,0,0,0,"-63,800",0.06%,bmj
16/07/2024,0(0.00 %),-100,0,0,0,100,0,"-63,800",0.06%,bmj
15/07/2024,11.3(0.00 %),0,0,0,0,0,0,"-63,800",0.06%,bmj
12/07/2024,11.3(5.61 %),0,0,0,0,0,0,"-63,800",0.06%,bmj
11/07/2024,10.7(13.83 %),0,0,0,0,0,0,"-63,800",0.06%,bmj
10/07/2024,9.5(-5.00 %),0,0,0,0,0,0,"-63,800",0.06%,bmj
08/07/2024,10(-9.09 %),0,0,0,0,0,0,"-63,800",0.06%,bmj
04/07/2024,11(0.00 %),0,0,0,0,0,0,-638,0.06%,bmj
03/07/2024,11(0.00 %),0,0,0,0,0,0,0,49%,bmj
02/07/2024,11(0.00 %),0,0,0,0,0,0,-638,0.06%,bmj
01/07/2024,11(0.00 %),0,0,0,0,0,0,-638,0.06%,bmj
28/06/2024,11(11.11 %),0,0,0,0,0,0,"-63,800",0.06%,bmj
27/06/2024,9.9(0.00 %),0,0,0,0,0,0,"-63,800",0.06%,bmj
26/06/2024,9.9(0.00 %),0,0,0,0,0,0,"-63,800",0.06%,bmj
25/06/2024,9.9(0.00 %),0,0,0,0,0,0,"-63,800",0.06%,bmj
24/06/2024,9.5(-4.04 %),0,0,0,0,0,0,"-63,800",0.06%,bmj
21/06/2024,9.5(-11.21 %),0,0,0,0,0,0,"-63,800",0.06%,bmj
20/06/2024,10.7(0.00 %),0,0,0,0,0,0,"-63,800",0.06%,bmj
19/06/2024,10.7(-14.40 %),0,0,0,0,0,0,"-63,800",0.06%,bmj
18/06/2024,12.5(13.64 %),0,0,0,0,0,0,"-63,800",0.06%,bmj
17/06/2024,0(0.00 %),0,0,0,0,0,0,"-63,800",0.06%,bmj
14/06/2024,0(0.00 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
13/06/2024,11(7.84 %),-200,0,0,0,200,0,"-64,000",0.06%,bmj
12/06/2024,10.2(14.61 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
11/06/2024,11.2(12.00 %),0,0,0,0,0,0,0,49%,bmj
10/06/2024,10(1.01 %),0,0,0,0,0,0,0,0%,bmj
07/06/2024,9.9(3.12 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
06/06/2024,9.6(-6.80 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
05/06/2024,10.3(0.00 %),0,0,0,0,0,0,0,0%,bmj
04/06/2024,9.7(-5.83 %),0,0,0,0,0,0,0,0%,bmj
03/06/2024,9.7(-14.16 %),0,0,0,0,0,0,0,0%,bmj
31/05/2024,11.3(7.62 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
30/05/2024,10.5(0.00 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
29/05/2024,10.6(1.92 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
28/05/2024,10.4(9.47 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
27/05/2024,9.5(0.00 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
24/05/2024,9.5(-7.77 %),0,0,0,0,0,0,0,0%,bmj
23/05/2024,10.3(0.00 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
22/05/2024,10.3(9.57 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
21/05/2024,10.3(0.98 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
20/05/2024,10.2(0.00 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
17/05/2024,10.2(0.00 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
16/05/2024,10.2(0.00 %),0,0,0,0,0,0,0,0%,bmj
15/05/2024,9.5(0.00 %),0,0,0,0,0,0,0,0%,bmj
14/05/2024,10.4(11.83 %),0,0,0,0,0,0,0,0%,bmj
13/05/2024,9.3(-2.11 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
10/05/2024,9.5(1.06 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
09/05/2024,9.3(-13.08 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
08/05/2024,10.7(0.00 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
07/05/2024,10.7(0.00 %),0,0,0,0,0,0,-64,0.06%,bmj
06/05/2024,10.5(-4.55 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
03/05/2024,10.1(-8.18 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
02/05/2024,10.1(-8.18 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
26/04/2024,11(0.00 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
25/04/2024,11(0.00 %),0,0,0,0,0,0,0,0%,bmj
24/04/2024,11(0.00 %),0,0,0,0,0,0,0,0%,bmj
23/04/2024,11(0.00 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
22/04/2024,11(0.00 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
19/04/2024,11(0.00 %),0,0,0,0,0,0,0,0%,bmj
17/04/2024,11(0.00 %),0,0,0,0,0,0,0,0%,bmj
16/04/2024,11(0.00 %),0,0,0,0,0,0,0,0%,bmj
15/04/2024,11(0.00 %),0,0,0,0,0,0,0,0%,bmj
12/04/2024,11(0.00 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
11/04/2024,11(0.00 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
10/04/2024,11(0.00 %),0,0,0,0,0,0,0,0%,bmj
09/04/2024,11(0.00 %),0,0,0,0,0,0,0,0%,bmj
08/04/2024,11(0.00 %),0,0,0,0,0,0,0,0%,bmj
05/04/2024,11(0.00 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
04/04/2024,11(0.00 %),0,0,0,0,0,0,0,0%,bmj
03/04/2024,10.1(-7.34 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
02/04/2024,11(-0.90 %),0,0,0,0,0,0,0,0%,bmj
01/04/2024,11.1(0.00 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
29/03/2024,11.1(7.77 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
28/03/2024,11.9(10.19 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
27/03/2024,11.2(5.66 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
26/03/2024,10.6(13.98 %),0,0,0,0,0,0,0,0%,bmj
25/03/2024,9.3(-10.58 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
22/03/2024,10.4(0.00 %),0,0,0,0,0,0,0,0%,bmj
21/03/2024,11.9(4.39 %),0,0,0,0,0,0,0,0%,bmj
20/03/2024,11.4(12.87 %),0,0,0,0,0,0,0,0%,bmj
19/03/2024,10.1(-10.62 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
18/03/2024,11.3(0.00 %),0,0,0,0,0,0,"-64,000",0.06%,bmj
15/03/2024,11.3(0.00 %),0,0,0,0,0,0,0,0%,bmj
14/03/2024,11.3(7.62 %),0,0,0,0,0,0,0,0%,bmj
13/03/2024,10.7(2.88 %),-100,0,0,0,100,0,"-64,100",0.06%,bmj
12/03/2024,10.4(0.00 %),0,0,0,0,0,0,"-64,100",0.06%,bmj
11/03/2024,10.3(-0.96 %),0,0,0,0,0,0,0,0%,bmj
08/03/2024,10.3(-13.45 %),0,0,0,0,0,0,0,0%,bmj
07/03/2024,11.9(0.00 %),0,0,0,0,0,0,0,0%,bmj
06/03/2024,11.9(10.19 %),0,0,0,0,0,0,0,0%,bmj
05/03/2024,10.8(0.00 %),0,0,0,0,0,0,"-64,100",0.06%,bmj
04/03/2024,11.9(-4.03 %),0,0,0,0,0,0,0,0%,bmj
01/03/2024,12.4(8.77 %),0,0,0,0,0,0,0,0%,bmj
29/02/2024,11.4(0.00 %),0,0,0,0,0,0,"-64,100",0.06%,bmj
28/02/2024,13(-0.76 %),0,0,0,0,0,0,0,0%,bmj
27/02/2024,13.1(0.00 %),0,0,0,0,0,0,0,0%,bmj
26/02/2024,13.1(0.00 %),0,0,0,0,0,0,"-64,100",0.06%,bmj
23/02/2024,13.1(0.00 %),0,0,0,0,0,0,0,0%,bmj
22/02/2024,13.1(0.00 %),0,0,0,0,0,0,"-64,100",0.06%,bmj
21/02/2024,13.1(0.00 %),0,0,0,0,0,0,"-64,100",0.06%,bmj
20/02/2024,13(-0.76 %),0,0,0,0,0,0,"-64,100",0.06%,bmj
19/02/2024,13(-4.41 %),0,0,0,0,0,0,"-64,100",0.06%,bmj
16/02/2024,13.6(0.00 %),0,0,0,0,0,0,"-64,100",0.06%,bmj
15/02/2024,13.8(15.00 %),0,0,0,0,0,0,"-64,100",0.06%,bmj
07/02/2024,12.5(6.84 %),0,0,0,0,0,0,"-64,100",0.06%,bmj
06/02/2024,11.7(0.00 %),0,0,0,0,0,0,"-64,100",0.06%,bmj
05/02/2024,11.7(0.00 %),0,0,0,0,0,0,0,0%,bmj
02/02/2024,12(14.29 %),0,0,0,0,0,0,"-64,100",0.06%,bmj
01/02/2024,10.5(0.00 %),0,0,0,0,0,0,0,49%,bmj
31/01/2024,10.5(0.00 %),0,0,0,0,0,0,"-64,100",0.06%,bmj
30/01/2024,10.5(0.00 %),0,0,0,0,0,0,"-64,100",0.06%,bmj
29/01/2024,10.5(-8.70 %),0,0,0,0,0,0,"-64,100",0.06%,bmj
26/01/2024,11.5(0.00 %),0,0,0,0,0,0,0,49%,bmj
25/01/2024,11.5(0.00 %),0,0,0,0,0,0,0,49%,bmj
24/01/2024,11.5(0.00 %),0,0,0,0,0,0,0,49%,bmj
23/01/2024,11.5(13.86 %),0,0,0,0,0,0,0,49%,bmj
22/01/2024,10.1(0.00 %),0,0,0,0,0,0,0,49%,bmj
19/01/2024,10.1(0.00 %),0,0,0,0,0,0,0,49%,bmj
18/01/2024,10.1(0.00 %),0,0,0,0,0,0,0,49%,bmj
17/01/2024,10.2(0.00 %),0,0,0,0,0,0,"-64,100",0.06%,bmj
16/01/2024,10.2(3.03 %),0,0,0,0,0,0,"-64,100",0.06%,bmj
15/01/2024,9.9(-1.00 %),0,0,0,0,0,0,"-64,100",0.06%,bmj
12/01/2024,10(0.00 %),0,0,0,0,0,0,0,49%,bmj
11/01/2024,10.4(8.33 %),0,0,0,0,0,0,"-64,100",0.06%,bmj
10/01/2024,9.6(-4.00 %),0,0,0,0,0,0,"-64,100",0.06%,bmj
09/01/2024,10(4.17 %),0,0,0,0,0,0,"-64,100",0.06%,bmj
08/01/2024,9(-9.09 %),0,0,0,0,0,0,0,49%,bmj
05/01/2024,9.9(-2.94 %),0,0,0,0,0,0,0,49%,bmj
04/01/2024,10.2(0.00 %),0,0,0,0,0,0,0,49%,bmj
03/01/2024,10.2(0.00 %),0,0,0,0,0,0,0,49%,bmj
02/01/2024,10.2(-0.97 %),0,0,0,0,0,0,"-64,100",0.06%,bmj
