date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,8.2,--,0(0.00 %),200,0,0,0,8.2,8.2,8.2
11/09/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
10/09/2024,8.2,--,-0.6(-6.82 %),800,0.01,0,0,8.3,8.3,8.2
09/09/2024,8.9,--,0.6(7.23 %),300,0,0,0,8.7,8.9,8.7
06/09/2024,8.3,--,0(0.00 %),2,0,0,0,8.3,8.3,8.3
05/09/2024,8.3,--,0(0.00 %),1,0,0,0,8.3,8.3,8.3
04/09/2024,8.3,--,0(0.00 %),0,0,0,0,8.3,8.3,8.3
30/08/2024,8.3,--,0(0.00 %),300,0,0,0,8.3,8.3,8.3
29/08/2024,8.3,--,-0.7(-7.78 %),106,0,0,0,8.3,8.3,8.3
28/08/2024,9,--,0(0.00 %),0,0,0,0,9,9,9
27/08/2024,9,--,0(0.00 %),0,0,0,0,9,9,9
26/08/2024,9,--,0(0.00 %),206,0,0,0,9,9,9
23/08/2024,9,--,0.8(9.76 %),600,0.01,0,0,9,9,9
22/08/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
21/08/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
20/08/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
19/08/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
16/08/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
15/08/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
14/08/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
13/08/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
12/08/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
09/08/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
08/08/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
07/08/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
06/08/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
05/08/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
02/08/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
01/08/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
31/07/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
30/07/2024,8.2,--,0(0.00 %),1,0,0,0,8.2,8.2,8.2
29/07/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
26/07/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
25/07/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
24/07/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
23/07/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
22/07/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
19/07/2024,8.2,--,0(0.00 %),0,0,0,0,8.2,8.2,8.2
18/07/2024,8.2,--,-0.1(-1.20 %),100,0,0,0,8.2,8.2,8.2
17/07/2024,8.3,--,0(0.00 %),0,0,0,0,8.3,8.3,8.3
16/07/2024,8.3,--,0(0.00 %),0,0,0,0,8.3,8.3,8.3
15/07/2024,8.3,--,0(0.00 %),0,0,0,0,8.3,8.3,8.3
12/07/2024,8.3,--,0(0.00 %),0,0,0,0,8.3,8.3,8.3
11/07/2024,8.3,--,0(0.00 %),100,0,0,0,8.3,8.3,8.3
10/07/2024,8.3,--,0(0.00 %),0,0,0,0,8.3,8.3,8.3
09/07/2024,8.3,--,0(0.00 %),0,0,0,0,8.3,8.3,8.3
08/07/2024,8.3,--,0(0.00 %),0,0,0,0,8.3,8.3,8.3
05/07/2024,8.3,--,0(0.00 %),0,0,0,0,8.3,8.3,8.3
04/07/2024,8.3,--,0(0.00 %),0,0,0,0,8.3,8.3,8.3
03/07/2024,8.3,--,-0.8(-8.79 %),800,0.01,0,0,8.4,8.4,8.3
02/07/2024,9.1,--,0(0.00 %),15,0,0,0,9.1,9.1,9.1
01/07/2024,9.1,--,0(0.00 %),0,0,0,0,9.1,9.1,9.1
28/06/2024,9.1,--,0(0.00 %),22,0,0,0,9.1,9.1,9.1
27/06/2024,9.1,--,0.1(1.11 %),100,0,0,0,9.1,9.1,9.1
26/06/2024,9,--,0.5(5.88 %),100,0,0,0,9,9,9
25/06/2024,8.5,--,0(0.00 %),0,0,0,0,8.5,8.5,8.5
24/06/2024,8.5,--,0(0.00 %),300,0,0,0,8.5,8.5,8.5
21/06/2024,8.5,--,0.1(1.19 %),400,0,0,0,8.5,8.5,8.5
20/06/2024,8.1,--,0(0.00 %),400,0,0,0,8.5,8.5,8.1
19/06/2024,8.1,--,0(0.00 %),0,0,0,0,8.1,8.1,8.1
18/06/2024,8.1,--,0(0.00 %),0,0,0,0,8.1,8.1,8.1
17/06/2024,8.1,--,0(0.00 %),0,0,0,0,8.1,8.1,8.1
14/06/2024,8.1,--,-0.4(-4.71 %),"1,200",0.01,0,0,8.1,8.1,8
13/06/2024,8.5,--,0(0.00 %),0,0,0,0,8.5,8.5,8.5
12/06/2024,8.5,--,0.4(4.94 %),"1,200",0.01,0,0,8.2,8.5,8.2
11/06/2024,8.1,--,0.1(1.25 %),100,0,0,0,8.1,8.1,8.1
10/06/2024,8,--,0(0.00 %),0,0,0,0,8,8,8
07/06/2024,8,--,-0.2(-2.44 %),100,0,0,0,8,8,8
06/06/2024,8,--,0.1(1.27 %),200,0,0,0,8.4,8.4,8
05/06/2024,7.9,--,0(0.00 %),100,0,0,0,7.9,7.9,7.9
04/06/2024,7.9,--,0(0.00 %),100,0,0,0,7.9,7.9,7.9
03/06/2024,8.5,--,-0.1(-1.16 %),"1,400",0.01,0,0,8.1,8.5,7.8
31/05/2024,8.6,--,0(0.00 %),0,0,0,0,8.6,8.6,8.6
30/05/2024,8.6,--,0.5(6.17 %),300,0,0,0,8.6,8.6,8.6
29/05/2024,8.1,--,0(0.00 %),0,0,0,0,8.1,8.1,8.1
28/05/2024,8.5,--,0.5(6.25 %),"1,234",0.01,0,0,8,8.5,8
27/05/2024,8,--,0(0.00 %),0,0,0,0,8,8,8
