date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,8.2 ( 0 %),3,800,266.67,4,"1,000",250,-200
11/09/2024,8.2 ( 0 %),2,600,300,3,"1,200",400,-600
10/09/2024,8.2 ( -6.82 %),3,900,300,6,"1,900",317,"-1,000"
09/09/2024,8.9 ( 7.23 %),5,"1,200",240,8,"2,200",275,"-1,000"
06/09/2024,8.3 ( 0 %),3,800,266.67,4,"1,200",300,-400
05/09/2024,8.3 ( 0 %),4,"1,800",450,6,"3,400",567,"-1,600"
04/09/2024,8.3 ( 0 %),5,900,180,4,"1,600",400,-700
30/08/2024,8.3 ( 0 %),3,500,166.67,6,"2,500",417,"-2,000"
29/08/2024,8.3 ( -7.78 %),4,"2,600",650,5,"1,500",300,"1,100"
28/08/2024,9 ( 0 %),3,400,133.33,3,"1,200",400,-800
27/08/2024,9 ( 0 %),5,500,100,5,"1,800",360,"-1,300"
26/08/2024,9 ( 0 %),5,800,160,9,"2,800",311,"-2,000"
23/08/2024,9 ( 9.76 %),7,900,128.57,5,"2,100",420,"-1,200"
22/08/2024,8.2 ( 0 %),5,900,180,4,"1,400",350,-500
21/08/2024,8.2 ( 0 %),3,500,166.67,4,"2,400",600,"-1,900"
20/08/2024,8.2 ( 0 %),3,"1,000",333.33,2,"1,600",800,-600
19/08/2024,8.2 ( 0 %),3,700,233.33,2,"2,600","1,300","-1,900"
16/08/2024,8.2 ( 0 %),2,400,200,4,"2,400",600,"-2,000"
15/08/2024,8.2 ( 0 %),2,400,200,1,600,600,-200
14/08/2024,8.2 ( 0 %),2,400,200,4,"2,400",600,"-2,000"
13/08/2024,8.2 ( 0 %),2,400,200,4,"3,100",775,"-2,700"
12/08/2024,8.2 ( 0 %),2,400,200,2,"1,100",550,-700
09/08/2024,8.2 ( 0 %),3,400,133.33,3,"2,100",700,"-1,700"
08/08/2024,8.2 ( 0 %),3,700,233.33,2,"1,600",800,-900
07/08/2024,8.2 ( 0 %),2,500,250,2,"1,500",750,"-1,000"
06/08/2024,8.2 ( 0 %),2,500,250,1,500,500,0
05/08/2024,8.2 ( 0 %),3,"2,700",900,1,500,500,"2,200"
02/08/2024,8.2 ( 0 %),2,500,250,2,"1,000",500,-500
01/08/2024,8.2 ( 0 %),2,500,250,1,500,500,0
31/07/2024,8.2 ( 0 %),3,"2,700",900,2,"2,300","1,150",400
30/07/2024,8.2 ( 0 %),2,500,250,1,500,500,0
29/07/2024,8.2 ( 0 %),2,500,250,1,500,500,0
26/07/2024,8.2 ( 0 %),3,900,300,1,500,500,400
25/07/2024,8.2 ( 0 %),2,500,250,1,500,500,0
24/07/2024,8.2 ( 0 %),3,500,166.67,1,500,500,0
23/07/2024,8.2 ( 0 %),3,"2,500",833.33,2,"2,300","1,150",200
22/07/2024,8.2 ( 0 %),2,500,250,1,500,500,0
19/07/2024,8.2 ( 0 %),3,"1,500",500,3,"2,300",767,-800
18/07/2024,8.2 ( -1.2 %),3,700,233.33,2,600,300,100
17/07/2024,8.3 ( 0 %),2,600,300,3,"1,100",367,-500
16/07/2024,8.3 ( 0 %),2,600,300,1,500,500,100
15/07/2024,8.3 ( 0 %),2,600,300,6,"3,700",617,"-3,100"
12/07/2024,8.3 ( 0 %),3,"1,600",533.33,2,"1,000",500,600
11/07/2024,8.3 ( 0 %),3,700,233.33,3,"1,400",467,-700
10/07/2024,8.3 ( 0 %),2,600,300,2,"1,000",500,-400
09/07/2024,8.3 ( 0 %),2,600,300,2,"2,300","1,150","-1,700"
08/07/2024,8.3 ( 0 %),3,200,66.67,2,"1,000",500,-800
05/07/2024,8.3 ( 0 %),3,400,133.33,2,200,100,200
04/07/2024,8.3 ( 0 %),7,"1,100",157.14,1,300,300,800
03/07/2024,8.3 ( -8.79 %),5,"1,500",300,6,"2,900",483,"-1,400"
02/07/2024,9.1 ( 0 %),5,"1,900",380,4,"2,000",500,-100
01/07/2024,9.1 ( 0 %),4,"1,200",300,2,900,450,300
28/06/2024,9.1 ( 0 %),5,"1,300",260,3,"2,400",800,"-1,100"
27/06/2024,9.1 ( 1.11 %),7,"1,500",214.29,3,"1,000",333,500
26/06/2024,9 ( 5.88 %),8,"2,000",250,3,900,300,"1,100"
25/06/2024,8.5 ( 0 %),5,800,160,2,600,300,200
24/06/2024,8.5 ( 0 %),7,"2,200",314.29,2,"2,300","1,150",-100
21/06/2024,8.5 ( 1.19 %),10,"1,300",130,5,"3,000",600,"-1,700"
20/06/2024,8.1 ( 0 %),6,"1,100",183.33,4,"1,600",400,-500
19/06/2024,8.1 ( 0 %),5,"1,200",240,4,"2,100",525,-900
18/06/2024,8.1 ( 0 %),4,600,150,4,"2,000",500,"-1,400"
17/06/2024,8.1 ( 0 %),9,600,66.67,2,"1,000",500,-400
14/06/2024,8.1 ( -4.71 %),9,"2,000",222.22,7,"2,200",314,-200
13/06/2024,8.5 ( 0 %),5,"1,300",260,5,"2,000",400,-700
12/06/2024,8.5 ( 4.94 %),11,"12,600","1,145.45",8,"3,600",450,"9,000"
11/06/2024,8.1 ( 1.25 %),4,"2,700",675,6,"2,800",467,-100
10/06/2024,8 ( 0 %),8,"1,500",187.5,4,"1,700",425,-200
07/06/2024,8 ( -2.44 %),8,"1,600",200,4,"1,300",325,300
06/06/2024,8 ( 1.27 %),11,"1,600",145.45,8,"2,600",325,"-1,000"
05/06/2024,7.9 ( 0 %),7,"1,200",171.43,3,700,233,500
04/06/2024,7.9 ( 0 %),5,"2,200",440,3,700,233,"1,500"
03/06/2024,8.5 ( -1.16 %),6,"1,900",316.67,8,"4,000",500,"-2,100"
31/05/2024,8.6 ( 0 %),5,200,40,3,"2,300",767,"-2,100"
30/05/2024,8.6 ( 6.17 %),9,"1,200",133.33,5,"4,800",960,"-3,600"
29/05/2024,8.1 ( 0 %),5,"1,300",260,1,"1,500","1,500",-200
28/05/2024,8.5 ( 6.25 %),11,"3,200",290.91,4,"2,700",675,500
27/05/2024,8 ( 0 %),3,"1,300",433.33,4,"3,000",750,"-1,700"
24/05/2024,8 ( 0 %),8,"3,100",387.5,3,"1,700",567,"1,400"
23/05/2024,8 ( 1.27 %),8,"13,700","1,712.5",6,"3,700",617,"10,000"
22/05/2024,7.6 ( -11.63 %),5,"3,200",640,8,"4,900",612,"-1,700"
21/05/2024,8.6 ( 0 %),2,600,300,4,"4,000","1,000","-3,400"
20/05/2024,8.6 ( 0 %),4,700,175,3,"2,700",900,"-2,000"
17/05/2024,8.6 ( 14.67 %),5,"1,500",300,1,"1,800","1,800",-300
16/05/2024,8.2 ( -4.65 %),3,"1,000",333.33,3,"3,800","1,267","-2,800"
15/05/2024,8.6 ( 0 %),1,500,500,4,"4,100","1,025","-3,600"
14/05/2024,8.6 ( 0 %),1,500,500,3,"3,800","1,267","-3,300"
13/05/2024,8.6 ( 0 %),9,"4,000",444.44,3,"3,800","1,267",200
10/05/2024,8.6 ( 4.88 %),7,"1,300",185.71,4,"4,300","1,075","-3,000"
09/05/2024,8.2 ( 0 %),2,400,200,3,"3,800","1,267","-3,400"
08/05/2024,8.2 ( 0 %),2,200,100,3,"3,300","1,100","-3,100"
07/05/2024,8.2 ( 0 %),2,"2,100","1,050",3,"2,500",833,-400
06/05/2024,8.2 ( 0 %),2,600,300,3,"4,400","1,467","-3,800"
03/05/2024,8.2 ( 0 %),0,0,0,3,"2,500",833,"-2,500"
02/05/2024,8.2 ( 0 %),2,"13,300","6,650",2,"1,100",550,"12,200"
26/04/2024,8.2 ( -3.53 %),1,500,500,4,"1,900",475,"-1,400"
25/04/2024,8.5 ( 0 %),1,500,500,2,"1,500",750,"-1,000"
24/04/2024,8.5 ( 0 %),1,500,500,2,"2,800","1,400","-2,300"
23/04/2024,8.5 ( 0 %),1,500,500,6,"4,200",700,"-3,700"
22/04/2024,8.5 ( 0 %),1,500,500,2,"2,800","1,400","-2,300"
19/04/2024,8.5 ( 0 %),1,500,500,3,"2,100",700,"-1,600"
17/04/2024,8.5 ( 0 %),1,500,500,4,"4,300","1,075","-3,800"
16/04/2024,8.5 ( 0 %),1,500,500,1,"1,000","1,000",-500
15/04/2024,8.5 ( 0 %),3,"1,600",533.33,1,"1,000","1,000",600
12/04/2024,8.5 ( 0 %),3,600,200,3,"3,800","1,267","-3,200"
11/04/2024,8.6 ( 0 %),4,"1,900",475,4,"4,700","1,175","-2,800"
10/04/2024,8.6 ( 0 %),3,500,166.67,3,"2,900",967,"-2,400"
09/04/2024,8.6 ( 0 %),2,600,300,5,"5,800","1,160","-5,200"
08/04/2024,8.6 ( 0 %),2,"2,500","1,250",5,"6,300","1,260","-3,800"
05/04/2024,8.6 ( 1.18 %),3,"2,500",833.33,5,"6,400","1,280","-3,900"
04/04/2024,8.5 ( 0 %),0,0,0,1,"1,000","1,000","-1,000"
03/04/2024,8.5 ( 0 %),1,500,500,2,"2,000","1,000","-1,500"
02/04/2024,8.5 ( 0 %),1,500,500,3,"3,800","1,267","-3,300"
01/04/2024,8.5 ( 0 %),2,600,300,2,"2,000","1,000","-1,400"
29/03/2024,8.5 ( 0 %),1,500,500,3,"3,800","1,267","-3,300"
28/03/2024,8.5 ( 0 %),1,500,500,2,"2,000","1,000","-1,500"
27/03/2024,8.5 ( 0 %),1,500,500,2,"2,000","1,000","-1,500"
26/03/2024,8.5 ( 0 %),1,"1,000","1,000",2,"2,000","1,000","-1,000"
25/03/2024,8.5 ( 0 %),1,500,500,3,"4,500","1,500","-4,000"
22/03/2024,8.5 ( 0 %),1,500,500,2,"2,000","1,000","-1,500"
21/03/2024,8.5 ( 0 %),1,500,500,2,"2,000","1,000","-1,500"
20/03/2024,8.5 ( 0 %),1,300,300,3,"3,800","1,267","-3,500"
19/03/2024,8.5 ( 0 %),1,300,300,1,"1,000","1,000",-700
18/03/2024,8.5 ( 0 %),1,500,500,2,"2,000","1,000","-1,500"
15/03/2024,8.5 ( 0 %),2,"1,000",500,2,"1,500",750,-500
14/03/2024,8.5 ( 0 %),2,200,100,2,"1,000",500,-800
13/03/2024,8.5 ( 2.41 %),3,"1,300",433.33,5,"2,200",440,-900
12/03/2024,8.3 ( 0 %),1,"1,000","1,000",4,"4,700","1,175","-3,700"
11/03/2024,8.3 ( 0 %),1,"1,000","1,000",3,"2,100",700,"-1,100"
08/03/2024,8.3 ( 0 %),2,"3,000","1,500",4,"3,900",975,-900
07/03/2024,8.3 ( 0 %),3,"3,200","1,066.67",6,"4,700",783,"-1,500"
06/03/2024,8.3 ( 0 %),3,"3,000","1,000",3,"2,100",700,900
05/03/2024,8.3 ( 0 %),5,"3,000",600,3,"2,100",700,900
04/03/2024,8.3 ( 1.22 %),4,"4,200","1,050",5,"2,300",460,"1,900"
01/03/2024,8.2 ( 0 %),3,"4,000","1,333.33",3,"2,100",700,"1,900"
29/02/2024,8.2 ( 0 %),3,"4,000","1,333.33",3,"2,100",700,"1,900"
28/02/2024,8.2 ( 0 %),3,"3,000","1,000",3,"2,100",700,900
27/02/2024,8.2 ( 0 %),3,"3,000","1,000",5,"2,100",420,900
26/02/2024,8.2 ( 0 %),5,"3,000",600,6,"3,000",500,0
23/02/2024,8.2 ( 1.23 %),5,"3,300",660,4,"3,900",975,-600
22/02/2024,8.1 ( 0 %),1,"1,000","1,000",3,"3,800","1,267","-2,800"
21/02/2024,8.1 ( 0 %),1,"1,000","1,000",2,"2,000","1,000","-1,000"
20/02/2024,8.1 ( 0 %),2,"1,000",500,2,"2,000","1,000","-1,000"
19/02/2024,8.1 ( 0 %),2,"1,500",750,3,"2,000",667,-500
16/02/2024,8.1 ( 0 %),3,"1,500",500,2,"2,000","1,000",-500
15/02/2024,8.1 ( 0 %),2,"1,500",750,3,"3,800","1,267","-2,300"
07/02/2024,8.1 ( 0 %),2,"1,500",750,3,"3,800","1,267","-2,300"
06/02/2024,8.1 ( 0 %),2,"1,500",750,3,"3,800","1,267","-2,300"
05/02/2024,8.1 ( 0 %),4,"1,500",375,3,"3,800","1,267","-2,300"
02/02/2024,8.1 ( 0 %),2,"1,000",500,4,"4,800","1,200","-3,800"
01/02/2024,8.1 ( 0 %),1,"1,000","1,000",3,"3,800","1,267","-2,800"
31/01/2024,8.1 ( 0 %),1,"1,000","1,000",3,"3,800","1,267","-2,800"
30/01/2024,8.1 ( 0 %),2,"1,200",600,3,"4,400","1,467","-3,200"
29/01/2024,8.1 ( 0 %),1,"1,000","1,000",3,"3,800","1,267","-2,800"
26/01/2024,8.1 ( 0 %),2,"1,500",750,3,"3,800","1,267","-2,300"
25/01/2024,8.1 ( 0 %),3,"2,500",833.33,3,"3,800","1,267","-1,300"
24/01/2024,8.1 ( 0 %),4,"3,500",875,3,"3,800","1,267",-300
23/01/2024,8.1 ( 0 %),3,"3,500","1,166.67",3,"3,800","1,267",-300
22/01/2024,8.1 ( 0 %),3,"2,000",666.67,2,"2,000","1,000",0
19/01/2024,8.1 ( 0 %),3,"2,000",666.67,3,"3,800","1,267","-1,800"
18/01/2024,8.1 ( 0 %),3,"4,500","1,500",5,"6,700","1,340","-2,200"
17/01/2024,8.1 ( 0 %),3,"3,000","1,000",5,"6,700","1,340","-3,700"
16/01/2024,8.1 ( 0 %),3,"2,500",833.33,3,"3,400","1,133",-900
15/01/2024,8.1 ( 0 %),3,"1,900",633.33,4,"5,200","1,300","-3,300"
12/01/2024,8.5 ( 1.19 %),5,"11,200","2,240",5,"16,300","3,260","-5,100"
11/01/2024,8.4 ( 0 %),1,"1,000","1,000",4,"9,200","2,300","-8,200"
10/01/2024,8.4 ( 0 %),3,"3,000","1,000",4,"6,700","1,675","-3,700"
09/01/2024,8.4 ( 0 %),3,"4,000","1,333.33",3,"6,200","2,067","-2,200"
08/01/2024,8.4 ( 0 %),5,"5,900","1,180",4,"7,200","1,800","-1,300"
05/01/2024,8.4 ( 0 %),3,"2,200",733.33,3,"6,200","2,067","-4,000"
04/01/2024,8.4 ( 0 %),3,"3,000","1,000",3,"3,300","1,100",-300
03/01/2024,8.4 ( 0 %),2,"2,000","1,000",4,"6,700","1,675","-4,700"
02/01/2024,8.4 ( 0 %),4,"5,000","1,250",5,"4,300",860,700
