date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,109 ( 0.18 %),629,"561,500",892.69,"1,063","734,200",691,"-172,700"
11/09/2024,108.8 ( 1.87 %),816,"411,700",504.53,895,"551,700",616,"-140,000"
10/09/2024,106.8 ( 4.09 %),"1,016","940,000",925.2,"1,504","957,500",637,"-17,500"
09/09/2024,102.6 ( -1.25 %),355,"160,100",450.99,250,"137,800",551,"22,300"
06/09/2024,103.9 ( 1.86 %),594,"495,400",834.01,428,"286,100",668,"209,300"
05/09/2024,102 ( -1.73 %),354,"158,400",447.46,317,"237,500",749,"-79,100"
04/09/2024,103.8 ( -0.19 %),351,"172,300",490.88,233,"154,200",662,"18,100"
30/08/2024,104 ( 0.87 %),488,"213,900",438.32,241,"162,900",676,"51,000"
29/08/2024,103.1 ( -0.87 %),460,"185,800",403.91,338,"222,200",657,"-36,400"
28/08/2024,104 ( -0.76 %),316,"172,800",546.84,309,"183,700",594,"-10,900"
27/08/2024,104.8 ( 0.29 %),393,"309,800",788.3,386,"295,500",766,"14,300"
26/08/2024,104.5 ( -0.67 %),342,"251,300",734.8,488,"382,900",785,"-131,600"
23/08/2024,105.2 ( -1.68 %),396,"263,700",665.91,544,"347,800",639,"-84,100"
22/08/2024,107 ( 3.48 %),772,"742,200",961.4,"1,187","768,500",647,"-26,300"
21/08/2024,103.4 ( 0.78 %),632,"405,900",642.25,722,"464,200",643,"-58,300"
20/08/2024,102.6 ( 0.88 %),527,"326,300",619.17,662,"446,500",674,"-120,200"
19/08/2024,101.7 ( 0.2 %),366,"237,700",649.45,593,"333,600",563,"-95,900"
16/08/2024,101.5 ( 4.86 %),"1,289","1,072,200",831.81,"1,667","960,700",576,"111,500"
15/08/2024,96.8 ( 0.94 %),450,"261,400",580.89,609,"303,900",499,"-42,500"
14/08/2024,95.9 ( -0.83 %),416,"169,800",408.17,395,"207,100",524,"-37,300"
13/08/2024,96.7 ( -0.31 %),439,"232,500",529.61,515,"244,200",474,"-11,700"
12/08/2024,97 ( 3.52 %),542,"388,400",716.61,497,"220,200",443,"168,200"
08/08/2024,92.9 ( 0 %),484,"272,600",563.22,307,"174,000",567,"98,600"
07/08/2024,92.9 ( -0.11 %),417,"184,000",441.25,219,"131,300",600,"52,700"
06/08/2024,93 ( 2.2 %),535,"324,800",607.1,460,"227,100",494,"97,700"
05/08/2024,91 ( -5.01 %),768,"387,700",504.82,427,"338,900",794,"48,800"
02/08/2024,95.8 ( 0 %),719,"428,100",595.41,396,"266,000",672,"162,100"
01/08/2024,95.8 ( -1.03 %),651,"430,800",661.75,585,"434,900",743,"-4,100"
31/07/2024,96.8 ( 1.15 %),373,"343,100",919.84,369,"261,700",709,"81,400"
30/07/2024,95.7 ( -0.42 %),351,"331,100",943.3,432,"293,000",678,"38,100"
29/07/2024,96.1 ( 1.8 %),482,"402,100",834.23,444,"228,700",515,"173,400"
26/07/2024,94.4 ( 1.29 %),405,"277,800",685.93,319,"184,500",578,"93,300"
25/07/2024,93.2 ( -0.53 %),442,"273,900",619.68,246,"246,900","1,004","27,000"
24/07/2024,93.7 ( 0.11 %),661,"465,400",704.08,573,"457,300",798,"8,100"
22/07/2024,96.5 ( -0.82 %),651,"450,000",691.24,550,"424,500",772,"25,500"
19/07/2024,97.3 ( -1.72 %),669,"405,500",606.13,528,"435,200",824,"-29,700"
18/07/2024,99 ( 0.41 %),415,"310,500",748.19,493,"303,600",616,"6,900"
17/07/2024,0 ( 0 %),983,"1,243,700","1,265.21","1,618","1,125,500",696,"118,200"
16/07/2024,0 ( 0 %),537,"349,800",651.4,404,"292,100",723,"57,700"
15/07/2024,96.2 ( -1.33 %),782,"357,000",456.52,582,"366,200",629,"-9,200"
12/07/2024,97.5 ( 0.1 %),493,"249,100",505.27,306,"195,100",638,"54,000"
11/07/2024,97.4 ( -0.61 %),669,"363,900",543.95,498,"357,900",719,"6,000"
10/07/2024,98 ( -0.31 %),698,"375,800",538.4,467,"323,600",693,"52,200"
09/07/2024,98.3 ( 0.31 %),821,"509,100",620.1,384,"374,000",974,"135,100"
08/07/2024,98 ( -1.21 %),838,"349,000",416.47,481,"228,600",475,"120,400"
05/07/2024,99.2 ( -1 %),672,"272,000",404.76,370,"208,900",565,"63,100"
04/07/2024,100.2 ( -0.79 %),404,"181,700",449.75,390,"213,900",548,"-32,200"
03/07/2024,101 ( 2.54 %),871,"584,800",671.41,495,"259,200",524,"325,600"
02/07/2024,98.5 ( -0.51 %),964,"652,400",676.76,580,"399,500",689,"252,900"
01/07/2024,99 ( -1 %),921,"561,100",609.23,982,"450,700",459,"110,400"
28/06/2024,100 ( -2.91 %),800,"411,100",513.88,826,"389,400",471,"21,700"
27/06/2024,103 ( -1.44 %),507,"240,300",473.96,368,"275,100",748,"-34,800"
26/06/2024,104.5 ( -0.19 %),549,"303,800",553.37,437,"302,600",692,"1,200"
25/06/2024,104.7 ( -0.38 %),419,"312,300",745.35,509,"290,000",570,"22,300"
24/06/2024,105.1 ( -2.23 %),740,"412,600",557.57,425,"360,900",849,"51,700"
21/06/2024,107.5 ( -2.09 %),530,"352,100",664.34,625,"429,000",686,"-76,900"
20/06/2024,109.8 ( 1.2 %),363,"408,200","1,124.52",837,"534,300",638,"-126,100"
19/06/2024,108.5 ( 1.4 %),440,"281,000",638.64,570,"265,600",466,"15,400"
18/06/2024,107 ( 1.13 %),482,"251,200",521.16,521,"193,600",372,"57,600"
17/06/2024,105.8 ( -1.12 %),585,"318,200",543.93,601,"330,100",549,"-11,900"
14/06/2024,107 ( 0 %),537,"348,100",648.23,606,"320,200",528,"27,900"
13/06/2024,107 ( -0.37 %),798,"402,000",503.76,814,"340,800",419,"61,200"
12/06/2024,107.4 ( -0.83 %),876,"450,700",514.5,646,"388,900",602,"61,800"
11/06/2024,108.3 ( -0.46 %),531,"287,900",542.18,549,"306,300",558,"-18,400"
10/06/2024,108.8 ( -0.18 %),737,"346,700",470.42,426,"298,200",700,"48,500"
07/06/2024,109 ( -1.27 %),588,"288,300",490.31,391,"394,400","1,009","-106,100"
06/06/2024,110.4 ( -1.43 %),529,"290,700",549.53,817,"485,700",594,"-195,000"
05/06/2024,112 ( 1.36 %),704,"541,100",768.61,"1,068","662,800",621,"-121,700"
04/06/2024,110.5 ( 2.03 %),530,"404,800",763.77,741,"369,900",499,"34,900"
03/06/2024,108.3 ( 0.19 %),585,"262,500",448.72,617,"267,500",434,"-5,000"
31/05/2024,108.1 ( -0.64 %),386,"181,800",470.98,351,"284,400",810,"-102,600"
30/05/2024,108.8 ( -0.27 %),580,"247,100",426.03,381,"340,700",894,"-93,600"
29/05/2024,109.1 ( -1.71 %),761,"287,300",377.53,609,"366,700",602,"-79,400"
28/05/2024,111 ( 0.91 %),307,"223,400",727.69,682,"568,700",834,"-345,300"
27/05/2024,110 ( 0.18 %),358,"186,000",519.55,409,"268,900",657,"-82,900"
24/05/2024,109.8 ( -1.96 %),781,"456,800",584.89,648,"525,100",810,"-68,300"
23/05/2024,112 ( 2.19 %),603,"508,800",843.78,667,"331,400",497,"177,400"
