date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,9.7 ( 0 %),1,"1,400","1,400",3,"1,200",400,200,bpc
11/09/2024,9.7 ( 0 %),1,100,100,4,"4,100","1,025","-4,000",bpc
10/09/2024,9.7 ( 0 %),1,"1,000","1,000",3,"4,000","1,333","-3,000",bpc
09/09/2024,9.7 ( 0 %),1,"1,000","1,000",2,"2,500","1,250","-1,500",bpc
06/09/2024,9.9 ( 2.06 %),0,0,0,2,"1,100",550,"-1,100",bpc
05/09/2024,9.9 ( 0 %),1,100,100,3,"2,100",700,"-2,000",bpc
04/09/2024,9.9 ( 10 %),15,"21,000","1,400",1,100,100,"20,900",bpc
30/08/2024,9 ( 0 %),6,"6,600","1,100",1,100,100,"6,500",bpc
29/08/2024,9 ( -1.1 %),15,"50,100","3,340",5,"44,400","8,880","5,700",bpc
28/08/2024,9.1 ( -9 %),5,"4,700",940,8,"4,800",600,-100,bpc
27/08/2024,10 ( 8.7 %),8,"5,600",700,5,"2,200",440,"3,400",bpc
26/08/2024,9.2 ( -3.16 %),15,"11,400",760,11,"8,900",809,"2,500",bpc
23/08/2024,9.5 ( 3.26 %),5,"3,600",720,5,"3,100",620,500,bpc
22/08/2024,9.2 ( 0 %),3,"2,500",833.33,4,"3,000",750,-500,bpc
21/08/2024,9.2 ( 0 %),5,"4,800",960,6,"5,300",883,-500,bpc
20/08/2024,9.2 ( 3.37 %),12,"10,700",891.67,8,"7,900",988,"2,800",bpc
19/08/2024,8.9 ( 0 %),19,"15,300",805.26,8,"12,300","1,538","3,000",bpc
16/08/2024,8.9 ( 0 %),19,"7,500",394.74,6,"6,500","1,083","1,000",bpc
15/08/2024,8.9 ( -2.2 %),18,"5,000",277.78,7,"5,200",743,-200,bpc
14/08/2024,9.1 ( 0 %),2,100,50,3,"3,000","1,000","-2,900",bpc
13/08/2024,9.1 ( 9.64 %),10,"6,000",600,7,"6,400",914,-400,bpc
12/08/2024,8.3 ( -6.74 %),9,"1,500",166.67,4,"2,200",550,-700,bpc
09/08/2024,8.9 ( 0 %),3,900,300,2,400,200,500,bpc
08/08/2024,8.9 ( 9.88 %),5,100,20,1,100,100,0,bpc
07/08/2024,8.1 ( -8.99 %),4,"1,200",300,5,"3,300",660,"-2,100",bpc
06/08/2024,8.9 ( 9.88 %),6,"1,800",300,2,700,350,"1,100",bpc
05/08/2024,8.1 ( 1.25 %),10,"3,400",340,2,"2,100","1,050","1,300",bpc
02/08/2024,8 ( -5.88 %),4,400,100,2,200,100,200,bpc
01/08/2024,8.5 ( -9.57 %),3,100,33.33,4,"1,300",325,"-1,200",bpc
31/07/2024,9.4 ( 0 %),2,"2,200","1,100",2,"2,900","1,450",-700,bpc
30/07/2024,9.4 ( 9.3 %),12,200,16.67,1,100,100,100,bpc
29/07/2024,8.6 ( 0 %),3,"2,600",866.67,1,100,100,"2,500",bpc
26/07/2024,8.6 ( 0 %),5,700,140,1,100,100,600,bpc
25/07/2024,8.6 ( 3.61 %),11,"3,700",336.36,3,400,133,"3,300",bpc
24/07/2024,8.3 ( 9.21 %),17,"2,800",164.71,1,100,100,"2,700",bpc
23/07/2024,7.6 ( -7.32 %),7,900,128.57,4,400,100,500,bpc
22/07/2024,8.2 ( -7.87 %),8,300,37.5,2,200,100,100,bpc
19/07/2024,8.9 ( -9.18 %),1,"1,000","1,000",4,800,200,200,bpc
18/07/2024,9.8 ( -1.01 %),3,300,100,6,"4,800",800,"-4,500",bpc
17/07/2024,9.9 ( -1.98 %),4,300,75,6,"4,900",817,"-4,600",bpc
16/07/2024,10.1 ( 1 %),3,"1,000",333.33,5,"4,300",860,"-3,300",bpc
15/07/2024,10 ( -0.99 %),2,500,250,5,"3,500",700,"-3,000",bpc
12/07/2024,10.1 ( 0 %),0,0,0,4,"4,600","1,150","-4,600",bpc
11/07/2024,10.1 ( 0 %),1,100,100,5,"5,100","1,020","-5,000",bpc
10/07/2024,10.1 ( 0 %),1,100,100,5,"4,600",920,"-4,500",bpc
09/07/2024,10.1 ( 0 %),1,100,100,6,"3,700",617,"-3,600",bpc
08/07/2024,10.1 ( 0 %),1,100,100,8,"8,900","1,112","-8,800",bpc
05/07/2024,10.1 ( 3.06 %),2,200,100,7,"3,800",543,"-3,600",bpc
04/07/2024,9.8 ( 7.69 %),5,"4,200",840,4,"2,200",550,"2,000",bpc
03/07/2024,9.1 ( 9.64 %),6,"5,500",916.67,2,"2,100","1,050","3,400",bpc
02/07/2024,8.3 ( -8.79 %),6,"1,200",200,5,"2,300",460,"-1,100",bpc
01/07/2024,9.1 ( 0 %),4,"2,100",525,7,"7,000","1,000","-4,900",bpc
28/06/2024,9.1 ( 0 %),3,"1,600",533.33,6,"13,000","2,167","-11,400",bpc
27/06/2024,9.1 ( 0 %),3,"1,400",466.67,6,"6,400","1,067","-5,000",bpc
26/06/2024,9.1 ( 0 %),8,"4,900",612.5,5,"8,700","1,740","-3,800",bpc
25/06/2024,9.1 ( 5.81 %),18,"18,700","1,038.89",5,"13,200","2,640","5,500",bpc
24/06/2024,8.6 ( -9.47 %),3,"1,000",333.33,5,"11,700","2,340","-10,700",bpc
21/06/2024,9.5 ( 0 %),2,"3,100","1,550",4,"11,600","2,900","-8,500",bpc
20/06/2024,9.5 ( 0 %),2,"3,100","1,550",3,"2,600",867,500,bpc
19/06/2024,9.5 ( 0 %),1,"3,000","3,000",4,"3,000",750,0,bpc
18/06/2024,9.5 ( 0 %),1,"3,000","3,000",4,"3,700",925,-700,bpc
17/06/2024,9.5 ( 0 %),2,"4,000","2,000",4,"3,700",925,300,bpc
14/06/2024,9.5 ( 0 %),3,"3,400","1,133.33",5,"3,000",600,400,bpc
13/06/2024,9.5 ( 5.56 %),4,"3,700",925,5,"1,200",240,"2,500",bpc
12/06/2024,9 ( 0 %),4,"3,500",875,5,"9,500","1,900","-6,000",bpc
11/06/2024,9 ( -10 %),1,100,100,7,"7,300","1,043","-7,200",bpc
10/06/2024,10 ( 7.53 %),5,"4,200",840,4,"1,700",425,"2,500",bpc
07/06/2024,9.3 ( 0 %),2,"1,200",600,5,"3,800",760,"-2,600",bpc
06/06/2024,9.3 ( 0 %),3,"3,100","1,033.33",6,"4,600",767,"-1,500",bpc
05/06/2024,9.3 ( 0 %),5,"5,300","1,060",10,"10,500","1,050","-5,200",bpc
04/06/2024,9.3 ( 0 %),3,"5,200","1,733.33",4,"5,000","1,250",200,bpc
