date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,12.6 ( 0.4 %),27,"55,300","2,048.15",28,"67,400","2,407","-12,100"
11/09/2024,12.55 ( 0.4 %),50,"71,600","1,432",36,"55,000","1,528","16,600"
10/09/2024,12.5 ( -0.79 %),20,"51,500","2,575",29,"49,900","1,721","1,600"
09/09/2024,12.6 ( -0.4 %),28,"37,000","1,321.43",28,"44,600","1,593","-7,600"
06/09/2024,12.65 ( 0.4 %),28,"28,900","1,032.14",26,"66,900","2,573","-38,000"
05/09/2024,12.6 ( -0.4 %),25,"22,900",916,42,"46,100","1,098","-23,200"
04/09/2024,12.65 ( 0.4 %),42,"51,700","1,230.95",46,"84,400","1,835","-32,700"
30/08/2024,12.6 ( 0.8 %),36,"80,800","2,244.44",57,"139,900","2,454","-59,100"
29/08/2024,12.5 ( -0.4 %),27,"21,400",792.59,21,"60,500","2,881","-39,100"
28/08/2024,12.55 ( 0.4 %),50,"46,700",934,38,"79,200","2,084","-32,500"
27/08/2024,12.5 ( -0.4 %),27,"17,000",629.63,26,"45,700","1,758","-28,700"
26/08/2024,12.55 ( -0.4 %),37,"46,900","1,267.57",42,"81,700","1,945","-34,800"
23/08/2024,12.6 ( 1.61 %),53,"70,100","1,322.64",52,"75,100","1,444","-5,000"
22/08/2024,12.4 ( 0 %),45,"84,500","1,877.78",76,"94,600","1,245","-10,100"
21/08/2024,12.4 ( 0 %),37,"38,800","1,048.65",41,"32,200",785,"6,600"
20/08/2024,12.4 ( -0.8 %),44,"50,800","1,154.55",50,"51,400","1,028",-600
19/08/2024,12.5 ( 0 %),38,"42,800","1,126.32",38,"37,800",995,"5,000"
16/08/2024,12.5 ( 2.46 %),34,"40,500","1,191.18",26,"29,100","1,119","11,400"
15/08/2024,12.2 ( 1.67 %),31,"51,000","1,645.16",35,"43,000","1,229","8,000"
14/08/2024,12 ( -0.41 %),31,"40,900","1,319.35",24,"25,600","1,067","15,300"
