date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,12.6(0.40 %),0,0.0,0,0.0,0,0.0,"6,079,588",0.87%,brc
11/09/2024,12.55(0.40 %),"1,600",0.02,"1,600",0.02,0,0.0,"6,079,588",0.87%,brc
10/09/2024,12.5(-0.79 %),0,0.0,0,0.0,0,0.0,"6,081,188",0.86%,brc
09/09/2024,12.6(-0.40 %),0,0.0,0,0.0,0,0.0,"6,081,188",0.86%,brc
06/09/2024,12.65(0.40 %),0,0.0,0,0.0,0,0.0,"6,092,788",0.77%,brc
05/09/2024,12.6(-0.40 %),0,0.0,0,0.0,0,0.0,"6,092,788",0.77%,brc
04/09/2024,12.65(0.40 %),0,0.0,0,0.0,0,0.0,"6,092,788",0.77%,brc
30/08/2024,12.6(0.80 %),0,0.0,0,0.0,0,0.0,"6,092,788",0.77%,brc
29/08/2024,12.5(-0.40 %),0,0.0,0,0.0,0,0.0,"6,092,788",0.77%,brc
28/08/2024,12.55(0.40 %),0,0.0,0,0.0,0,0.0,"6,092,788",0.77%,brc
27/08/2024,12.5(-0.40 %),0,0.0,0,0.0,0,0.0,"6,092,788",0.77%,brc
26/08/2024,12.55(-0.40 %),0,0.0,0,0.0,0,0.0,"6,092,788",0.77%,brc
23/08/2024,12.6(1.61 %),"1,200",0.01,"1,200",0.01,0,0.0,"6,092,788",0.77%,brc
22/08/2024,12.4(0.00 %),100,0.0,100,0.0,0,0.0,"6,093,988",0.76%,brc
21/08/2024,12.4(0.00 %),0,0.0,0,0.0,0,0.0,"6,094,088",0.75%,brc
20/08/2024,12.4(-0.80 %),"1,600",0.02,"1,600",0.02,0,0.0,"6,095,688",0.74%,brc
19/08/2024,12.5(0.00 %),"1,500",0.02,"1,500",0.02,0,0.0,"6,095,688",0.74%,brc
16/08/2024,12.5(2.46 %),900,0.01,900,0.01,0,0.0,"6,097,188",0.73%,brc
15/08/2024,12.2(1.67 %),100,0.0,100,0.0,0,0.0,"6,093,088",0.76%,brc
14/08/2024,12(-0.41 %),"-5,000",-0.06,0,0.0,"5,000",0.06,"6,093,188",0.76%,brc
