date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,25.0,--,0(0.00 %),0,0.0,0,0,25.0,25.0,25.0,brs
11/09/2024,25.0,--,0(0.00 %),0,0.0,0,0,25.0,25.0,25.0,brs
10/09/2024,25.0,--,0(0.00 %),44,0.0,0,0,25.0,25.0,25.0,brs
09/09/2024,25.0,--,1.1(4.60 %),200,0.01,0,0,25.0,25.0,25.0,brs
06/09/2024,23.9,--,0(0.00 %),0,0.0,0,0,23.9,23.9,23.9,brs
05/09/2024,23.9,--,0(0.00 %),200,0.0,0,0,23.9,23.9,23.9,brs
04/09/2024,23.9,--,0(0.00 %),0,0.0,0,0,23.9,23.9,23.9,brs
30/08/2024,24.0,--,0.1(0.42 %),300,0.01,0,0,23.9,24.0,23.8,brs
29/08/2024,23.9,--,0.1(0.42 %),100,0.0,0,0,23.9,23.9,23.9,brs
28/08/2024,23.8,--,0(0.00 %),0,0.0,0,0,23.8,23.8,23.8,brs
27/08/2024,24.0,--,0.5(2.13 %),"1,100",0.03,0,0,23.5,24.0,23.5,brs
26/08/2024,23.5,--,-1(-4.08 %),100,0.0,0,0,23.5,23.5,23.5,brs
23/08/2024,24.5,--,0(0.00 %),0,0.0,0,0,24.5,24.5,24.5,brs
22/08/2024,24.5,--,0.2(0.82 %),500,0.01,0,0,24.5,24.5,24.5,brs
21/08/2024,24.3,--,0.3(1.25 %),"1,500",0.04,0,0,24.2,24.4,24.2,brs
20/08/2024,24.0,--,-1(-4.00 %),"1,400",0.03,0,0,24.5,24.5,24.0,brs
19/08/2024,25.0,--,0.9(3.73 %),201,0.01,0,0,25.0,25.0,25.0,brs
16/08/2024,24.3,--,0.3(1.25 %),"2,205",0.05,0,0,24.0,24.3,24.0,brs
15/08/2024,24.0,--,0(0.00 %),0,0.0,0,0,24.0,24.0,24.0,brs
14/08/2024,24.0,--,0.3(1.27 %),660,0.02,0,0,23.7,24.0,23.7,brs
13/08/2024,23.8,--,1.2(5.31 %),"1,206",0.03,0,0,23.8,23.8,23.7,brs
12/08/2024,22.0,--,1.4(6.80 %),"1,006",0.02,0,0,23.1,23.1,22.0,brs
09/08/2024,22.0,20.6,0(0.00 %),0,0.0,0,0,22.0,22.0,22.0,brs
08/08/2024,22.0,20.6,0(0.00 %),1,0.0,0,0,22.0,22.0,22.0,brs
07/08/2024,22.0,20.6,0(0.00 %),1,0.0,0,0,22.0,22.0,22.0,brs
06/08/2024,22.0,20.6,0(0.00 %),0,0.0,0,0,22.0,22.0,22.0,brs
05/08/2024,22.0,20.6,0(0.00 %),0,0.0,0,0,22.0,22.0,22.0,brs
02/08/2024,22.0,20.6,0(0.00 %),1,0.0,0,0,22.0,22.0,22.0,brs
01/08/2024,22.0,20.6,0(0.00 %),14,0.0,0,0,22.0,22.0,22.0,brs
31/07/2024,22.0,20.6,0.5(2.33 %),800,0.02,0,0,22.0,22.0,22.0,brs
30/07/2024,21.5,20.13,0(0.00 %),100,0.0,0,0,21.5,21.5,21.5,brs
29/07/2024,21.5,20.13,0(0.00 %),1,0.0,0,0,21.5,21.5,21.5,brs
26/07/2024,21.5,20.13,0(0.00 %),100,0.0,0,0,21.5,21.5,21.5,brs
25/07/2024,21.5,20.13,-1.5(-6.52 %),100,0.0,0,0,21.5,21.5,21.5,brs
24/07/2024,23.0,21.54,0(0.00 %),1,0.0,0,0,23.0,23.0,23.0,brs
23/07/2024,23.0,21.54,0(0.00 %),200,0.0,0,0,23.0,23.0,23.0,brs
22/07/2024,23.0,21.54,0(0.00 %),0,0.0,0,0,23.0,23.0,23.0,brs
19/07/2024,23.0,21.54,0(0.00 %),100,0.0,0,0,23.0,23.0,23.0,brs
18/07/2024,23.0,21.54,0(0.00 %),800,0.02,0,0,23.0,23.0,23.0,brs
17/07/2024,23.0,21.54,-1(-4.17 %),400,0.01,0,0,23.0,23.0,23.0,brs
