date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,47.0,--,0(0.00 %),"237,500",11.21,0,0.0,47.4,47.8,47.0,bsi
11/09/2024,47.0,--,0.45(0.97 %),"474,800",22.2,"222,672",10.87,46.55,47.7,46.05,bsi
10/09/2024,46.55,--,-1.25(-2.62 %),"1,041,000",48.84,0,0.0,48.0,48.35,46.25,bsi
09/09/2024,47.8,--,-0.8(-1.65 %),"414,200",19.93,"272,672",13.22,48.05,48.85,47.8,bsi
06/09/2024,48.6,--,-0.2(-0.41 %),"433,400",21.03,0,0.0,48.8,49.3,48.1,bsi
05/09/2024,48.8,--,-0.45(-0.91 %),"917,500",45.54,0,0.0,49.45,50.4,48.6,bsi
04/09/2024,49.25,--,0.1(0.20 %),"581,400",28.39,"45,000",2.17,48.25,49.5,48.2,bsi
30/08/2024,49.15,--,0.1(0.20 %),"515,000",25.46,0,0.0,49.1,49.8,49.05,bsi
29/08/2024,49.05,--,0.25(0.51 %),"616,000",30.33,"20,000",1.0,48.8,50.0,48.8,bsi
28/08/2024,48.8,--,-0.7(-1.41 %),"762,400",37.42,0,0.0,49.6,50.0,48.1,bsi
27/08/2024,49.5,--,-0.35(-0.70 %),"469,900",23.32,"43,000",2.14,49.95,50.0,49.3,bsi
26/08/2024,49.85,--,-0.55(-1.09 %),"812,000",40.83,"50,000",2.52,50.9,51.2,49.85,bsi
23/08/2024,50.4,--,0.3(0.60 %),"973,500",48.94,0,0.0,50.1,51.2,49.55,bsi
22/08/2024,50.1,--,0.5(1.01 %),"602,600",30.21,0,0.0,49.8,50.9,49.6,bsi
21/08/2024,49.6,--,-0.2(-0.40 %),"540,600",26.78,0,0.0,49.5,50.2,49.15,bsi
20/08/2024,49.8,--,-0.05(-0.10 %),"1,363,100",68.13,"50,000",2.49,49.8,51.8,49.1,bsi
19/08/2024,49.85,--,-0.25(-0.50 %),"627,100",31.21,0,0.0,50.1,50.4,49.45,bsi
16/08/2024,50.1,--,3.25(6.94 %),"2,046,100",101.11,"25,000",1.17,47.4,50.1,46.95,bsi
15/08/2024,46.85,--,0.25(0.54 %),"777,200",36.34,"25,000",1.17,46.1,47.4,46.05,bsi
14/08/2024,46.6,--,-1.3(-2.71 %),"740,300",34.95,0,0.0,48.05,48.25,46.6,bsi
13/08/2024,47.9,--,-0.6(-1.24 %),"718,600",34.14,0,0.0,48.5,48.5,47.1,bsi
12/08/2024,48.5,--,-0.05(-0.10 %),"638,900",30.76,0,0.0,48.9,48.9,47.65,bsi
09/08/2024,48.55,--,2.75(6.00 %),"1,506,600",71.77,0,0.0,46.7,48.6,46.2,bsi
08/08/2024,45.8,--,-1.2(-2.55 %),"895,100",41.09,0,0.0,46.5,47.0,45.0,bsi
07/08/2024,47.0,--,0.7(1.51 %),"808,200",37.34,0,0.0,46.9,47.0,45.5,bsi
06/08/2024,46.3,--,3(6.93 %),"1,514,700",68.65,0,0.0,45.0,46.3,43.5,bsi
05/08/2024,43.3,--,0.2(0.46 %),"1,405,500",61.56,0,0.0,41.8,45.15,41.75,bsi
02/08/2024,43.1,--,2.8(6.95 %),"778,200",32.51,0,0.0,40.0,43.1,39.8,bsi
01/08/2024,40.3,--,-2.7(-6.28 %),"602,700",24.82,"50,000",2.3,43.0,43.0,40.1,bsi
31/07/2024,43.0,--,0.35(0.82 %),"339,800",14.57,0,0.0,42.65,43.3,42.3,bsi
30/07/2024,42.65,--,-0.65(-1.50 %),"231,300",9.85,"50,000",2.32,42.4,43.3,42.05,bsi
29/07/2024,43.3,--,0.45(1.05 %),"309,700",13.36,0,0.0,43.0,43.55,42.9,bsi
26/07/2024,42.85,--,-0.15(-0.35 %),"277,500",11.85,0,0.0,42.9,43.85,42.3,bsi
25/07/2024,43.0,--,1(2.38 %),"272,200",11.44,0,0.0,42.0,43.05,41.3,bsi
24/07/2024,42.0,--,1(2.44 %),"666,300",27.3,0,0.0,40.0,42.0,40.0,bsi
23/07/2024,41.0,--,-3.05(-6.92 %),"591,800",25.01,0,0.0,44.5,44.5,41.0,bsi
22/07/2024,44.05,--,-2.3(-4.96 %),"761,800",33.98,0,0.0,45.85,46.1,43.5,bsi
19/07/2024,46.35,--,-1.15(-2.42 %),"353,800",16.51,"110,000",5.55,47.0,47.7,46.2,bsi
18/07/2024,47.5,--,1.2(2.59 %),"342,600",15.99,0,0.0,46.1,47.5,46.0,bsi
17/07/2024,46.3,--,-1.9(-3.94 %),"645,200",30.67,"110,000",5.6,48.5,48.75,46.3,bsi
16/07/2024,48.2,--,-0.1(-0.21 %),"320,000",15.53,0,0.0,48.6,49.0,48.2,bsi
15/07/2024,48.3,--,-0.15(-0.31 %),"155,700",7.55,0,0.0,48.45,49.05,48.1,bsi
12/07/2024,48.45,--,-0.45(-0.92 %),"293,100",14.25,"100,000",5.09,49.0,49.0,48.45,bsi
11/07/2024,48.9,--,0.25(0.51 %),"363,700",17.76,0,0.0,49.3,49.3,48.45,bsi
10/07/2024,48.65,--,-0.85(-1.72 %),"385,500",18.83,"100,000",5.11,49.6,49.6,48.5,bsi
09/07/2024,49.5,--,1.86(3.90 %),"697,000",34.08,0,0.0,47.85,49.75,47.85,bsi
08/07/2024,52.4,47.64,0.1(0.19 %),"576,300",30.25,0,0.0,53.0,53.0,52.0,bsi
05/07/2024,52.3,47.55,-0.6(-1.13 %),"344,200",18.1,0,0.0,52.6,53.1,52.2,bsi
04/07/2024,52.9,48.09,0.2(0.38 %),"379,900",20.14,0,0.0,53.4,53.4,52.5,bsi
03/07/2024,52.7,47.91,0.2(0.38 %),"245,100",12.9,0,0.0,52.5,52.9,52.2,bsi
02/07/2024,52.5,47.73,0.5(0.96 %),"263,100",13.82,0,0.0,52.4,53.0,52.2,bsi
01/07/2024,52.0,47.27,1.2(2.36 %),"360,700",18.44,0,0.0,50.8,52.0,50.5,bsi
28/06/2024,50.8,46.18,-1.2(-2.31 %),"555,900",28.44,0,0.0,52.1,52.2,48.6,bsi
