date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
12/09/2024,47(0.00 %),"-8,100",-0.38,0,0,"8,100",0.38,"133,924,807",39.96%
11/09/2024,47(0.97 %),"1,100",0.03,"23,400",1.09,"22,300",1.05,"133,876,507",39.98%
10/09/2024,46.55(-2.62 %),"7,900",0.33,"56,200",2.62,"48,300",2.29,"133,870,707",39.98%
09/09/2024,47.8(-1.65 %),0,0,0,0,0,0,"133,901,207",39.97%
06/09/2024,48.6(-0.41 %),"-25,700",-1.25,0,0,"25,700",1.25,"133,881,207",39.98%
05/09/2024,48.8(-0.91 %),"40,600",2.02,"64,100",3.19,"23,500",1.17,"133,870,807",39.98%
04/09/2024,49.25(0.20 %),"11,700",0.57,"22,100",1.08,"10,400",0.51,"133,934,907",39.96%
30/08/2024,49.15(0.20 %),"25,200",1.25,"25,200",1.25,0,0,"133,954,107",39.95%
29/08/2024,49.05(0.51 %),"10,100",0.5,"13,000",0.64,"2,900",0.14,"133,932,407",39.96%
28/08/2024,48.8(-1.41 %),"-34,900",-1.74,"12,000",0.58,"46,900",2.32,"133,929,107",39.96%
27/08/2024,49.5(-0.70 %),"-14,500",-0.72,"1,800",0.09,"16,300",0.81,"133,918,507",39.96%
26/08/2024,49.85(-1.09 %),"-16,300",-0.83,"6,300",0.32,"22,600",1.15,"133,908,252",39.97%
23/08/2024,50.4(0.60 %),"41,700",2.1,"53,800",2.7,"12,100",0.6,"133,892,352",39.97%
22/08/2024,50.1(1.01 %),"-5,400",-0.27,"16,800",0.84,"22,200",1.11,"133,921,852",39.96%
21/08/2024,49.6(-0.40 %),"-20,600",-1.02,"3,700",0.18,"24,300",1.2,"133,831,752",40%
20/08/2024,49.8(-0.10 %),"-48,000",-2.47,"58,900",2.93,"106,900",5.41,"133,756,152",40.04%
19/08/2024,49.85(-0.50 %),"-27,100",-1.36,"18,900",0.94,"46,000",2.3,"133,756,152",40.04%
16/08/2024,50.1(6.94 %),"-56,300",-2.83,"35,900",1.74,"92,200",4.56,"133,767,352",40.03%
15/08/2024,46.85(0.54 %),"79,700",3.71,"87,400",4.08,"7,700",0.36,"133,781,152",40.02%
14/08/2024,46.6(-2.71 %),"41,600",1.97,"63,700",3.01,"22,100",1.04,"133,868,552",39.99%
13/08/2024,47.9(-1.24 %),"44,000",2.08,"44,000",2.08,0,0,"133,914,452",39.97%
12/08/2024,48.5(-0.10 %),"40,200",1.93,"58,000",2.79,"17,800",0.86,"133,855,152",39.99%
09/08/2024,48.55(6.00 %),"-28,800",-1.32,"74,500",3.59,"103,300",4.92,"133,814,352",40.01%
08/08/2024,45.8(-2.55 %),"-98,200",-4.53,600,0.03,"98,800",4.56,"133,846,552",40%
07/08/2024,47(1.51 %),"38,500",1.84,"80,800",3.79,"42,300",1.95,"133,812,552",40.01%
06/08/2024,46.3(6.93 %),"3,900",0.2,"38,500",1.75,"34,600",1.55,"133,890,752",39.98%
05/08/2024,43.3(0.46 %),"171,600",7.51,"174,200",7.63,"2,600",0.11,"133,924,552",39.96%
02/08/2024,43.1(6.95 %),"47,700",1.95,"52,400",2.14,"4,700",0.19,"134,082,052",39.89%
01/08/2024,40.3(-6.28 %),"7,300",0.26,"24,000",0.97,"16,700",0.72,"121,910,463",39.88%
31/07/2024,43(0.82 %),"23,400",1.01,"51,600",2.22,"28,200",1.21,"121,889,413",39.89%
30/07/2024,42.65(-1.50 %),"-105,500",-4.55,"4,000",0.17,"109,500",4.72,"121,831,513",39.92%
29/07/2024,43.3(1.05 %),"-105,500",-4.55,"4,000",0.17,"109,500",4.72,"121,786,480",39.94%
24/07/2024,42(2.44 %),"192,900",7.9,"202,500",8.29,"9,600",0.39,"121,860,680",39.91%
23/07/2024,41(-6.92 %),"37,912",1.56,"40,512",1.68,"2,600",0.11,"122,062,380",39.81%
22/07/2024,44.05(-4.96 %),"18,300",0.8,"19,100",0.83,800,0.04,"122,100,892",39.79%
19/07/2024,46.35(-2.42 %),"8,100",0.37,"10,100",0.47,"2,000",0.09,"122,119,992",39.78%
18/07/2024,47.5(2.59 %),"4,200",0.2,"4,200",0.2,0,0,"122,115,992",39.78%
17/07/2024,0(0.00 %),"-13,300",-0.64,800,0.04,"14,100",0.68,"122,117,392",39.78%
16/07/2024,0(0.00 %),"-2,800",-0.14,0,0,"2,800",0.14,"122,096,992",39.79%
15/07/2024,48.3(-0.31 %),"-21,100",-1.03,100,0,"21,200",1.04,"122,091,992",39.79%
12/07/2024,48.45(-0.92 %),"-5,000",-0.24,0,0,"5,000",0.24,"122,029,292",39.82%
11/07/2024,48.9(0.51 %),"-56,600",-2.77,"6,200",0.3,"62,800",3.07,"121,944,292",39.86%
10/07/2024,48.65(-1.72 %),"-84,800",-4.15,200,0.01,"85,000",4.16,"121,948,292",39.86%
08/07/2024,52.4(0.19 %),"80,500",4.23,"80,500",4.23,0,0,"121,964,892",39.85%
04/07/2024,52.9(0.38 %),"-3,500",-0.19,"1,000",0.05,"4,500",0.24,"122,069,108",39.8%
03/07/2024,52.7(0.38 %),"-27,700",-1.46,0,0,"27,700",1.46,"122,062,308",39.81%
02/07/2024,52.5(0.96 %),"-7,800",-0.41,0,0,"7,800",0.41,"122,063,708",39.81%
01/07/2024,52(2.36 %),"26,300",1.34,"26,400",1.35,100,0.01,"122,016,308",39.83%
28/06/2024,50.8(-2.31 %),"-11,400",-0.63,"37,000",1.88,"48,400",2.51,"122,027,008",39.82%
27/06/2024,52(-1.14 %),"-9,700",-0.5,"7,000",0.36,"16,700",0.87,"122,049,053",39.81%
26/06/2024,52.6(-0.57 %),"-14,700",-0.78,300,0.02,"15,000",0.8,"122,056,073",39.81%
25/06/2024,52.9(0.95 %),"4,500",0.24,"4,500",0.24,0,0,"121,973,773",39.85%
24/06/2024,52.4(-6.93 %),"-28,400",-1.57,"54,200",2.92,"82,600",4.49,"121,967,073",39.85%
21/06/2024,56.3(-0.88 %),"2,600",0.15,"13,800",0.78,"11,200",0.63,"122,018,973",39.83%
20/06/2024,56.8(-1.05 %),"-2,300",-0.13,0,0,"2,300",0.13,"122,032,473",39.82%
19/06/2024,57.4(-0.17 %),-300,-0.02,0,0,300,0.02,"122,032,473",39.82%
18/06/2024,57.5(0.35 %),"9,500",0.55,"9,500",0.55,0,0,"122,030,973",39.82%
17/06/2024,0(0.00 %),"1,200",0.07,"2,700",0.16,"1,500",0.09,"121,917,873",39.88%
14/06/2024,0(0.00 %),"-122,600",-7.28,0,0,"122,600",7.28,"121,919,373",39.88%
13/06/2024,60.2(-0.99 %),"-1,200",-0.07,0,0,"1,200",0.07,"121,916,373",39.88%
12/06/2024,60.8(0.66 %),"-2,500",-0.15,500,0.03,"3,000",0.18,"121,911,473",39.88%
11/06/2024,60.4(2.90 %),"202,800",12.09,"207,700",12.38,"4,900",0.29,"122,112,961",39.78%
10/06/2024,58.7(0.69 %),200,0.01,200,0.01,0,0,"122,117,061",39.88%
07/06/2024,58.3(-0.17 %),-200,-0.01,"1,100",0.06,"1,300",0.08,"122,117,261",39.78%
06/06/2024,58.4(-1.35 %),888,0.05,"2,200",0.13,"1,312",0.08,"122,112,961",39.78%
05/06/2024,59.2(0.00 %),"-4,500",-0.27,900,0.05,"5,400",0.32,"122,119,961",39.88%
04/06/2024,59.2(-0.34 %),"-2,900",-0.2,"20,400",1.21,"23,300",1.4,"122,115,461",39.88%
03/06/2024,59.4(2.41 %),"1,400",0.08,"1,400",0.08,0,0,"122,112,561",39.88%
31/05/2024,58(0.52 %),"5,300",0.31,"5,300",0.31,0,0,"122,112,560",39.78%
30/05/2024,57.7(-1.03 %),-300,-0.02,"1,700",0.1,"2,000",0.12,"122,104,960",39.79%
29/05/2024,58.3(-0.34 %),"7,100",0.41,"20,000",1.17,"12,900",0.76,"122,097,816",39.79%
