date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,9.8,--,-0.2(-2.00 %),"1,001",0.01,0,0.0,9.8,9.9,9.8,bsp
11/09/2024,10.0,--,0(0.00 %),0,0.0,0,0.0,10.0,10.0,10.0,bsp
10/09/2024,10.0,--,0(0.00 %),0,0.0,0,0.0,10.0,10.0,10.0,bsp
09/09/2024,10.0,--,0(0.00 %),0,0.0,0,0.0,10.0,10.0,10.0,bsp
06/09/2024,10.0,--,0.5(5.26 %),101,0.0,0,0.0,10.0,10.0,10.0,bsp
05/09/2024,10.0,--,0.2(2.04 %),"1,600",0.02,0,0.0,9.3,10.0,9.3,bsp
04/09/2024,9.8,--,-0.2(-2.00 %),100,0.0,0,0.0,9.8,9.8,9.8,bsp
30/08/2024,10.0,--,0(0.00 %),0,0.0,0,0.0,10.0,10.0,10.0,bsp
29/08/2024,10.0,--,0.1(1.01 %),101,0.0,0,0.0,10.0,10.0,10.0,bsp
28/08/2024,9.9,--,0(0.00 %),0,0.0,0,0.0,9.9,9.9,9.9,bsp
27/08/2024,9.9,--,0.8(8.79 %),501,0.0,0,0.0,10.0,10.0,9.8,bsp
26/08/2024,9.8,--,0.5(5.38 %),300,0.0,0,0.0,8.7,9.8,8.7,bsp
23/08/2024,9.3,--,-0.7(-7.00 %),"15,900",0.15,0,0.0,9.3,9.3,9.3,bsp
22/08/2024,10.0,--,0.2(2.04 %),103,0.0,0,0.0,10.0,10.0,10.0,bsp
21/08/2024,10.1,--,0.2(2.02 %),"4,701",0.05,0,0.0,9.8,10.1,9.8,bsp
20/08/2024,9.9,--,-0.1(-1.00 %),"2,000",0.02,0,0.0,10.0,10.0,9.9,bsp
19/08/2024,10.0,--,0(0.00 %),"1,004",0.01,0,0.0,10.0,10.0,10.0,bsp
16/08/2024,10.0,--,-0.1(-0.99 %),"1,100",0.01,0,0.0,10.0,10.0,10.0,bsp
15/08/2024,10.1,--,0(0.00 %),"1,546",0.02,0,0.0,10.1,10.1,10.1,bsp
14/08/2024,10.1,--,0(0.00 %),0,0.0,0,0.0,10.1,10.1,10.1,bsp
13/08/2024,10.1,--,0(0.00 %),0,0.0,0,0.0,10.1,10.1,10.1,bsp
12/08/2024,10.1,--,0(0.00 %),2,0.0,0,0.0,10.1,10.1,10.1,bsp
09/08/2024,10.1,--,0.1(1.00 %),200,0.0,0,0.0,10.0,10.1,10.0,bsp
08/08/2024,10.0,--,0.5(5.26 %),101,0.0,0,0.0,10.0,10.0,10.0,bsp
07/08/2024,9.3,--,-0.5(-5.10 %),"5,700",0.05,"195,100",1.81,9.7,9.7,9.3,bsp
06/08/2024,9.8,--,-0.3(-2.97 %),"10,000",0.1,0,0.0,9.8,9.8,9.8,bsp
05/08/2024,10.1,--,0(0.00 %),0,0.0,0,0.0,10.1,10.1,10.1,bsp
02/08/2024,10.1,--,0(0.00 %),0,0.0,0,0.0,10.1,10.1,10.1,bsp
01/08/2024,10.2,--,0.2(2.00 %),"1,401",0.01,"227,200",2.27,10.1,10.2,10.1,bsp
31/07/2024,10.0,--,0.1(1.01 %),"10,002",0.1,0,0.0,10.0,10.0,10.0,bsp
30/07/2024,10.0,--,-0.3(-2.91 %),"2,000",0.02,0,0.0,10.0,10.3,9.7,bsp
29/07/2024,10.3,--,0(0.00 %),1,0.0,0,0.0,10.3,10.3,10.3,bsp
26/07/2024,10.3,--,0.1(0.98 %),100,0.0,0,0.0,10.3,10.3,10.3,bsp
25/07/2024,10.2,--,0(0.00 %),0,0.0,0,0.0,10.2,10.2,10.2,bsp
24/07/2024,10.2,--,-0.1(-0.97 %),300,0.0,0,0.0,10.3,10.3,10.2,bsp
23/07/2024,10.3,--,0(0.00 %),105,0.0,0,0.0,10.3,10.3,10.3,bsp
22/07/2024,10.3,--,0.2(1.98 %),212,0.0,0,0.0,10.3,10.3,10.3,bsp
19/07/2024,10.0,--,-0.2(-1.96 %),820,0.01,0,0.0,10.1,10.1,10.0,bsp
18/07/2024,10.2,--,-0.4(-3.77 %),"1,100",0.01,0,0.0,10.2,10.2,10.1,bsp
17/07/2024,10.6,--,0.2(1.92 %),111,0.0,0,0.0,10.6,10.6,10.6,bsp
16/07/2024,10.3,--,0.1(0.98 %),"6,300",0.07,0,0.0,10.6,10.7,10.3,bsp
15/07/2024,10.2,--,-0.5(-4.67 %),100,0.0,0,0.0,10.2,10.2,10.2,bsp
12/07/2024,10.7,--,-0.2(-1.83 %),200,0.0,0,0.0,10.7,10.7,10.7,bsp
11/07/2024,10.9,--,0.2(1.87 %),100,0.0,0,0.0,10.9,10.9,10.9,bsp
10/07/2024,10.8,--,0.3(2.86 %),512,0.01,0,0.0,10.8,10.8,10.1,bsp
09/07/2024,10.7,--,0.2(1.90 %),"2,600",0.03,0,0.0,10.5,10.7,10.5,bsp
08/07/2024,10.5,--,0(0.00 %),0,0.0,0,0.0,10.5,10.5,10.5,bsp
05/07/2024,10.5,--,0(0.00 %),0,0.0,0,0.0,10.5,10.5,10.5,bsp
04/07/2024,10.5,--,0(0.00 %),"2,200",0.02,0,0.0,10.5,10.5,10.5,bsp
03/07/2024,10.5,--,0.2(1.94 %),"2,400",0.03,0,0.0,10.7,10.7,10.5,bsp
02/07/2024,10.5,--,0.3(2.94 %),"1,500",0.02,0,0.0,10.3,10.5,10.3,bsp
01/07/2024,10.2,--,0(0.00 %),0,0.0,0,0.0,10.2,10.2,10.2,bsp
28/06/2024,10.3,--,0.1(0.98 %),"4,201",0.04,0,0.0,10.2,10.3,10.2,bsp
27/06/2024,10.3,--,0(0.00 %),"2,800",0.03,0,0.0,10.2,10.3,10.2,bsp
26/06/2024,10.3,--,-0.3(-2.83 %),700,0.01,0,0.0,10.3,10.3,10.3,bsp
25/06/2024,10.6,--,0(0.00 %),0,0.0,"50,000",0.55,10.6,10.6,10.6,bsp
24/06/2024,10.6,--,0.1(0.95 %),100,0.0,0,0.0,10.6,10.6,10.6,bsp
21/06/2024,10.6,--,0.8(8.16 %),300,0.0,0,0.0,10.5,10.6,10.5,bsp
20/06/2024,10.8,--,-0.1(-0.92 %),"13,500",0.13,0,0.0,10.1,10.9,9.6,bsp
19/06/2024,10.7,--,0.5(4.90 %),501,0.01,0,0.0,11.0,11.0,10.7,bsp
18/06/2024,10.7,--,0.6(5.94 %),"1,800",0.02,0,0.0,10.1,10.9,10.0,bsp
17/06/2024,10.0,--,-1.2(-10.71 %),200,0.0,0,0.0,10.1,10.1,10.0,bsp
