date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,9.8 ( -2 %),13,"3,900",300,9,"5,800",644,"-1,900"
11/09/2024,10 ( 0 %),8,"2,700",337.5,11,"15,400","1,400","-12,700"
10/09/2024,10 ( 0 %),8,500,62.5,6,"3,800",633,"-3,300"
09/09/2024,10 ( 0 %),5,"1,700",340,7,"3,400",486,"-1,700"
06/09/2024,10 ( 5.26 %),10,"1,700",170,9,"22,900","2,544","-21,200"
05/09/2024,10 ( 2.04 %),15,"7,200",480,11,"24,900","2,264","-17,700"
04/09/2024,9.8 ( -2 %),9,"1,900",211.11,6,"25,300","4,217","-23,400"
30/08/2024,10 ( 0 %),9,"1,400",155.56,10,"25,400","2,540","-24,000"
29/08/2024,10 ( 1.01 %),11,"6,800",618.18,8,"24,600","3,075","-17,800"
28/08/2024,9.9 ( 0 %),14,"2,700",192.86,6,"2,500",417,200
27/08/2024,9.9 ( 8.79 %),13,"7,300",561.54,12,"12,100","1,008","-4,800"
26/08/2024,9.8 ( 5.38 %),12,"6,600",550,10,"5,100",510,"1,500"
23/08/2024,9.3 ( -7 %),27,"21,500",796.3,6,"17,800","2,967","3,700"
22/08/2024,10 ( 2.04 %),9,"5,900",655.56,5,"27,600","5,520","-21,700"
21/08/2024,10.1 ( 2.02 %),10,"9,300",930,6,"11,300","1,883","-2,000"
20/08/2024,9.9 ( -1 %),12,"5,700",475,5,"4,300",860,"1,400"
19/08/2024,10 ( 0 %),7,"4,500",642.86,7,"9,000","1,286","-4,500"
16/08/2024,10 ( -0.99 %),10,"7,100",710,6,"4,800",800,"2,300"
15/08/2024,10.1 ( 0 %),6,"3,800",633.33,12,"16,700","1,392","-12,900"
14/08/2024,10.1 ( 0 %),4,500,125,10,"14,200","1,420","-13,700"
13/08/2024,10.1 ( 0 %),5,600,120,5,"4,100",820,"-3,500"
12/08/2024,10.1 ( 0 %),4,"2,300",575,9,"9,300","1,033","-7,000"
09/08/2024,10.1 ( 1 %),8,"1,400",175,8,"2,900",362,"-1,500"
08/08/2024,10 ( 5.26 %),11,"4,400",400,9,"9,900","1,100","-5,500"
07/08/2024,9.3 ( -5.1 %),15,"6,300",420,21,"17,500",833,"-11,200"
06/08/2024,9.8 ( -2.97 %),10,"12,500","1,250",11,"24,100","2,191","-11,600"
05/08/2024,10.1 ( 0 %),10,"14,200","1,420",8,"11,400","1,425","2,800"
02/08/2024,10.1 ( 0 %),6,400,66.67,9,"11,200","1,244","-10,800"
01/08/2024,10.2 ( 2 %),12,"5,500",458.33,11,"14,000","1,273","-8,500"
31/07/2024,10 ( 1.01 %),9,"10,700","1,188.89",11,"12,500","1,136","-1,800"
30/07/2024,10 ( -2.91 %),19,"2,600",136.84,20,"6,000",300,"-3,400"
29/07/2024,10.3 ( 0 %),3,400,133.33,13,"37,600","2,892","-37,200"
26/07/2024,10.3 ( 0.98 %),8,"2,900",362.5,9,"13,500","1,500","-10,600"
25/07/2024,10.2 ( 0 %),12,500,41.67,8,"4,300",538,"-3,800"
24/07/2024,10.2 ( -0.97 %),8,"1,200",150,8,"6,500",812,"-5,300"
23/07/2024,10.3 ( 0 %),9,"2,400",266.67,7,"6,700",957,"-4,300"
22/07/2024,10.3 ( 1.98 %),9,"10,900","1,211.11",7,"5,900",843,"5,000"
19/07/2024,10 ( -1.96 %),13,"5,000",384.62,9,"3,200",356,"1,800"
18/07/2024,10.2 ( -3.77 %),21,"3,600",171.43,14,"4,200",300,-600
17/07/2024,10.6 ( 1.92 %),7,"3,100",442.86,16,"13,900",869,"-10,800"
16/07/2024,10.3 ( 0.98 %),21,"9,500",452.38,15,"23,700","1,580","-14,200"
15/07/2024,10.2 ( -4.67 %),8,"3,200",400,17,"15,000",882,"-11,800"
12/07/2024,10.7 ( -1.83 %),8,"2,800",350,13,"10,400",800,"-7,600"
11/07/2024,10.9 ( 1.87 %),11,"5,600",509.09,16,"10,800",675,"-5,200"
10/07/2024,10.8 ( 2.86 %),13,"3,400",261.54,17,"16,000",941,"-12,600"
09/07/2024,10.7 ( 1.9 %),14,"7,600",542.86,17,"15,300",900,"-7,700"
08/07/2024,10.5 ( 0 %),11,"6,900",627.27,15,"16,200","1,080","-9,300"
05/07/2024,10.5 ( 0 %),13,"8,900",684.62,12,"15,500","1,292","-6,600"
04/07/2024,10.5 ( 0 %),10,"5,500",550,11,"14,000","1,273","-8,500"
03/07/2024,10.5 ( 1.94 %),13,"4,900",376.92,14,"17,600","1,257","-12,700"
02/07/2024,10.5 ( 2.94 %),16,"8,300",518.75,10,"5,900",590,"2,400"
01/07/2024,10.2 ( 0 %),14,"6,400",457.14,14,"14,300","1,021","-7,900"
28/06/2024,10.3 ( 0.98 %),21,"12,200",580.95,22,"25,900","1,177","-13,700"
27/06/2024,10.3 ( 0 %),12,"6,200",516.67,14,"18,300","1,307","-12,100"
