date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,18.6 ( -9.27 %),20,"12,300",615,7,"9,900","1,414","2,400",bsq
11/09/2024,20.3 ( -0.98 %),10,"7,500",750,6,"9,900","1,650","-2,400",bsq
10/09/2024,20.5 ( -0.49 %),7,"10,700","1,528.57",7,"21,200","3,029","-10,500",bsq
09/09/2024,20.6 ( 0 %),7,"6,900",985.71,7,"14,500","2,071","-7,600",bsq
06/09/2024,20.6 ( 0 %),11,"14,500","1,318.18",7,"14,700","2,100",-200,bsq
05/09/2024,20.6 ( 0.98 %),13,"7,500",576.92,13,"15,200","1,169","-7,700",bsq
04/09/2024,20.5 ( 1.49 %),9,"11,000","1,222.22",17,"30,800","1,812","-19,800",bsq
30/08/2024,20.2 ( 0.5 %),7,"10,200","1,457.14",8,"11,700","1,462","-1,500",bsq
29/08/2024,20.1 ( 0 %),9,"10,500","1,166.67",4,"15,200","3,800","-4,700",bsq
28/08/2024,20.1 ( 0 %),6,"10,600","1,766.67",5,"10,300","2,060",300,bsq
27/08/2024,20.1 ( 1.01 %),12,"11,900",991.67,10,"10,800","1,080","1,100",bsq
26/08/2024,19.8 ( -3.41 %),9,"21,000","2,333.33",8,"9,000","1,125","12,000",bsq
23/08/2024,20.5 ( 0 %),14,"21,000","1,500",12,"21,600","1,800",-600,bsq
22/08/2024,20.5 ( -2.38 %),8,"14,400","1,800",10,"21,600","2,160","-7,200",bsq
21/08/2024,21 ( 0 %),9,"11,500","1,277.78",6,"6,600","1,100","4,900",bsq
20/08/2024,21 ( 5 %),14,"22,900","1,635.71",11,"7,900",718,"15,000",bsq
19/08/2024,20 ( 1.01 %),7,"26,800","3,828.57",10,"20,200","2,020","6,600",bsq
16/08/2024,19.8 ( 0.51 %),13,"35,100","2,700",8,"8,100","1,012","27,000",bsq
15/08/2024,20 ( 1.52 %),5,"19,700","3,940",6,"5,300",883,"14,400",bsq
14/08/2024,20 ( 2.56 %),15,"31,100","2,073.33",11,"14,000","1,273","17,100",bsq
13/08/2024,19.5 ( 0 %),6,"11,500","1,916.67",6,"11,800","1,967",-300,bsq
12/08/2024,19.7 ( 0.51 %),8,"32,500","4,062.5",8,"13,800","1,725","18,700",bsq
09/08/2024,19.6 ( 0 %),5,"11,800","2,360",5,"2,300",460,"9,500",bsq
08/08/2024,19.6 ( 0 %),7,"10,800","1,542.86",5,"3,200",640,"7,600",bsq
07/08/2024,19.6 ( 0 %),5,"10,800","2,160",8,"4,000",500,"6,800",bsq
06/08/2024,19.6 ( 0 %),11,"45,700","4,154.55",17,"18,600","1,094","27,100",bsq
05/08/2024,19.7 ( 0.51 %),10,"23,500","2,350",25,"20,600",824,"2,900",bsq
02/08/2024,19.6 ( 0 %),8,"69,700","8,712.5",11,"12,500","1,136","57,200",bsq
01/08/2024,19.6 ( 0 %),15,"2,600",173.33,12,"10,400",867,"-7,800",bsq
31/07/2024,19.6 ( 0 %),8,"53,900","6,737.5",10,"9,300",930,"44,600",bsq
30/07/2024,19.6 ( 0 %),4,"49,100","12,275",10,"5,100",510,"44,000",bsq
29/07/2024,19.6 ( 0 %),4,"49,100","12,275",10,"10,000","1,000","39,100",bsq
26/07/2024,19.6 ( -1.01 %),9,"11,600","1,288.89",15,"12,100",807,-500,bsq
25/07/2024,19.8 ( 2.06 %),8,"9,200","1,150",9,"8,500",944,700,bsq
24/07/2024,19.4 ( -3 %),9,"16,400","1,822.22",17,"22,600","1,329","-6,200",bsq
23/07/2024,19.6 ( 1.55 %),21,"21,900","1,042.86",28,"27,200",971,"-5,300",bsq
22/07/2024,19.2 ( -4 %),15,"15,500","1,033.33",16,"17,700","1,106","-2,200",bsq
19/07/2024,20 ( 0 %),7,"1,100",157.14,15,"14,600",973,"-13,500",bsq
18/07/2024,20 ( 0 %),9,"2,100",233.33,9,"16,800","1,867","-14,700",bsq
17/07/2024,20 ( 0 %),12,"2,400",200,19,"22,500","1,184","-20,100",bsq
16/07/2024,20 ( 0 %),13,"14,500","1,115.38",19,"32,700","1,721","-18,200",bsq
15/07/2024,20 ( 1.01 %),14,"35,400","2,528.57",21,"33,900","1,614","1,500",bsq
12/07/2024,20 ( 1.01 %),11,"27,000","2,454.55",18,"25,700","1,428","1,300",bsq
11/07/2024,19.8 ( 1.02 %),16,"28,600","1,787.5",15,"22,900","1,527","5,700",bsq
10/07/2024,20.4 ( 5.7 %),21,"29,900","1,423.81",15,"21,700","1,447","8,200",bsq
09/07/2024,19.3 ( 0 %),13,"24,500","1,884.62",13,"19,800","1,523","4,700",bsq
08/07/2024,19 ( -3.55 %),9,"28,500","3,166.67",16,"18,300","1,144","10,200",bsq
05/07/2024,19.7 ( 0 %),6,"5,400",900,12,"14,200","1,183","-8,800",bsq
