date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
12/09/2024,18.6(-9.27 %),0,0,0,0,0,0,"22,494,900",0.01%
11/09/2024,20.3(-0.98 %),0,0,0,0,0,0,"22,494,900",0.01%
10/09/2024,20.5(-0.49 %),0,0,0,0,0,0,"22,494,900",0.01%
09/09/2024,20.6(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
06/09/2024,20.6(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
05/09/2024,20.6(0.98 %),0,0,0,0,0,0,"22,494,900",0.01%
04/09/2024,20.5(1.49 %),0,0,0,0,0,0,"22,494,900",0.01%
30/08/2024,20.2(0.50 %),0,0,0,0,0,0,"22,494,900",0.01%
29/08/2024,20.1(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
28/08/2024,20.1(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
27/08/2024,20.1(1.01 %),0,0,0,0,0,0,"22,494,900",0.01%
26/08/2024,19.8(-3.41 %),0,0,0,0,0,0,"22,494,900",0.01%
23/08/2024,20.5(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
22/08/2024,20.5(-2.38 %),0,0,0,0,0,0,"22,494,900",0.01%
21/08/2024,21(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
20/08/2024,21(5.00 %),0,0,0,0,0,0,"22,494,900",0.01%
19/08/2024,20(1.01 %),0,0,0,0,0,0,"22,494,900",0.01%
16/08/2024,19.8(0.51 %),0,0,0,0,0,0,"22,494,900",0.01%
15/08/2024,20(1.52 %),0,0,0,0,0,0,"22,494,900",0.01%
14/08/2024,20(2.56 %),0,0,0,0,0,0,"22,494,900",0.01%
13/08/2024,19.5(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
12/08/2024,19.7(0.51 %),0,0,0,0,0,0,"22,494,900",0.01%
09/08/2024,19.6(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
08/08/2024,19.6(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
07/08/2024,19.6(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
06/08/2024,19.6(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
05/08/2024,19.7(0.51 %),0,0,0,0,0,0,"22,494,900",0.01%
02/08/2024,19.6(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
01/08/2024,19.6(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
31/07/2024,19.6(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
30/07/2024,19.6(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
29/07/2024,19.6(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
24/07/2024,19.4(-3.00 %),0,0,0,0,0,0,"22,494,900",0.01%
23/07/2024,19.6(1.55 %),0,0,0,0,0,0,"22,494,900",0.01%
22/07/2024,19.2(-4.00 %),0,0,0,0,0,0,"22,494,900",0.01%
19/07/2024,20(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
18/07/2024,20(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
17/07/2024,0(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
16/07/2024,0(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
15/07/2024,20(1.01 %),0,0,0,0,0,0,"22,494,900",0.01%
12/07/2024,20(1.01 %),0,0,0,0,0,0,"22,494,900",0.01%
11/07/2024,19.8(1.02 %),0,0,0,0,0,0,"22,494,900",0.01%
10/07/2024,20.4(5.70 %),0,0,0,0,0,0,"22,494,900",0.01%
08/07/2024,19(-3.55 %),0,0,0,0,0,0,"22,494,900",0.01%
04/07/2024,19.7(2.07 %),0,0,0,0,0,0,"22,494,900",0.01%
03/07/2024,19.3(0.00 %),0,0,0,0,0,0,"22,494,900",0%
02/07/2024,19.3(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
01/07/2024,19.3(-3.98 %),0,0,0,0,0,0,"22,494,900",0.01%
28/06/2024,20.1(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
27/06/2024,20.1(-0.50 %),0,0,0,0,0,0,"22,494,900",0.01%
26/06/2024,20.5(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
25/06/2024,20.5(1.49 %),0,0,0,0,0,0,"22,494,900",0.01%
24/06/2024,20.2(-0.98 %),0,0,0,0,0,0,"22,494,900",0.01%
21/06/2024,20.4(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
20/06/2024,20.3(-0.98 %),0,0,0,0,0,0,"22,494,900",0.01%
19/06/2024,20.5(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
18/06/2024,20.6(0.49 %),0,0,0,0,0,0,"22,494,900",0.01%
17/06/2024,0(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
14/06/2024,0(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
13/06/2024,21(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
12/06/2024,21(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
11/06/2024,21(1.45 %),0,0,0,0,0,0,"22,494,900",0%
10/06/2024,20.8(1.46 %),0,0,0,0,0,0,"22,494,900",0%
07/06/2024,20.5(-2.38 %),0,0,0,0,0,0,"22,494,900",0.01%
06/06/2024,21(0.00 %),0,0,0,0,0,0,"22,494,900",0.01%
05/06/2024,21.8(9.55 %),0,0,0,0,0,0,"22,494,900",0%
04/06/2024,19.9(1.02 %),0,0,0,0,0,0,"22,494,900",0%
03/06/2024,19.9(3.65 %),0,0,0,0,0,0,"22,494,900",0%
31/05/2024,19.3(2.66 %),0,0,0,0,0,0,"22,494,900",0.01%
30/05/2024,18.8(-0.53 %),0,0,0,0,0,0,"22,494,900",0.01%
29/05/2024,19(2.15 %),0,0,0,0,0,0,"22,494,900",0.01%
28/05/2024,18.8(1.08 %),0,0,0,0,0,0,"22,494,900",0.01%
27/05/2024,18.5(0.54 %),0,0,0,0,0,0,"22,494,900",0.01%
24/05/2024,18.5(0.54 %),0,0,0,0,0,0,"22,494,900",0%
23/05/2024,18.5(1.09 %),0,0,0,0,0,0,"22,494,900",0.01%
22/05/2024,18.4(3.37 %),0,0,0,0,0,0,"22,494,900",0.01%
21/05/2024,19.5(-1.02 %),0,0,0,0,0,0,"22,494,900",0.01%
20/05/2024,19.6(-0.51 %),0,0,0,0,0,0,"22,494,900",0.01%
17/05/2024,19.9(3.65 %),0,0,0,0,0,0,"22,494,900",0.01%
16/05/2024,19(1.06 %),0,0,0,0,0,0,"22,494,900",0%
15/05/2024,19(1.06 %),0,0,0,0,0,0,"22,494,900",0%
14/05/2024,18.8(0.00 %),0,0,0,0,0,0,"22,494,900",0%
