date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,14 ( -3.45 %),9,"2,000",222.22,10,"3,000",300,"-1,000"
11/09/2024,14.5 ( 0 %),5,"1,100",220,7,"2,000",286,-900
10/09/2024,14.5 ( 0 %),5,400,80,9,"1,500",167,"-1,100"
09/09/2024,14.5 ( 3.57 %),10,"3,400",340,6,"3,200",533,200
06/09/2024,14 ( 1.45 %),12,"3,400",283.33,10,"4,800",480,"-1,400"
05/09/2024,13.8 ( 0 %),6,"2,700",450,5,"1,700",340,"1,000"
04/09/2024,13.8 ( 0 %),7,"3,700",528.57,5,"3,600",720,100
30/08/2024,13.8 ( 0 %),4,"1,700",425,4,"2,900",725,"-1,200"
29/08/2024,13.8 ( 0 %),4,"1,800",450,6,"4,500",750,"-2,700"
28/08/2024,13.8 ( 0 %),7,"1,900",271.43,8,"2,700",338,-800
27/08/2024,13.8 ( 0 %),7,"1,900",271.43,5,"1,700",340,200
26/08/2024,13.8 ( 0 %),4,"1,700",425,5,"3,900",780,"-2,200"
23/08/2024,13.8 ( -4.83 %),4,900,225,9,"3,500",389,"-2,600"
22/08/2024,14.5 ( 0 %),3,800,266.67,7,"6,000",857,"-5,200"
21/08/2024,14.5 ( 5.07 %),6,"1,400",233.33,6,"1,500",250,-100
20/08/2024,13.8 ( 0 %),3,900,300,5,"9,600","1,920","-8,700"
19/08/2024,13.8 ( 0 %),3,"1,000",333.33,4,"1,600",400,-600
16/08/2024,13.8 ( 0 %),3,"1,000",333.33,4,"1,500",375,-500
15/08/2024,13.8 ( 0 %),3,"1,000",333.33,3,"1,000",333,0
14/08/2024,13.8 ( -6.12 %),2,200,100,7,"2,400",343,"-2,200"
13/08/2024,14.7 ( 0 %),2,100,50,7,"2,000",286,"-1,900"
12/08/2024,14.7 ( 0 %),1,100,100,5,"1,900",380,"-1,800"
09/08/2024,14.7 ( 0 %),1,100,100,6,"1,700",283,"-1,600"
08/08/2024,14.7 ( 0 %),1,100,100,5,"1,300",260,"-1,200"
07/08/2024,14.7 ( 0 %),1,100,100,6,"2,000",333,"-1,900"
06/08/2024,14.7 ( 0 %),3,300,100,7,"3,000",429,"-2,700"
05/08/2024,14.7 ( 0 %),3,500,166.67,7,"5,900",843,"-5,400"
02/08/2024,14.7 ( 0 %),3,700,233.33,7,"2,500",357,"-1,800"
01/08/2024,14.7 ( 0 %),2,200,100,7,"3,900",557,"-3,700"
31/07/2024,14.7 ( 0 %),3,600,200,8,"2,500",312,"-1,900"
30/07/2024,14.7 ( -3.29 %),4,500,125,13,"2,700",208,"-2,200"
29/07/2024,15.2 ( -0.65 %),2,100,50,10,"3,100",310,"-3,000"
26/07/2024,15.3 ( -0.65 %),2,"1,000",500,11,"4,000",364,"-3,000"
25/07/2024,15.4 ( 1.32 %),3,500,166.67,8,"2,100",262,"-1,600"
24/07/2024,15.2 ( 0 %),2,400,200,9,"2,400",267,"-2,000"
23/07/2024,15.2 ( 0 %),1,100,100,11,"3,400",309,"-3,300"
22/07/2024,15.2 ( 9.35 %),5,"1,100",220,4,"1,100",275,0
19/07/2024,13.9 ( 0 %),4,"1,800",450,5,"3,200",640,"-1,400"
18/07/2024,13.9 ( 0 %),4,"1,200",300,4,"1,200",300,0
17/07/2024,13.9 ( 0 %),5,"1,100",220,4,"2,900",725,"-1,800"
16/07/2024,13.9 ( 0 %),7,"1,600",228.57,4,"3,000",750,"-1,400"
15/07/2024,13.9 ( 0 %),6,"1,200",200,5,"2,300",460,"-1,100"
12/07/2024,13.9 ( 0 %),4,"1,100",275,4,"2,100",525,"-1,000"
11/07/2024,13.9 ( -9.74 %),1,100,100,11,"3,800",345,"-3,700"
10/07/2024,15.4 ( 10 %),6,"1,300",216.67,7,"4,000",571,"-2,700"
09/07/2024,14 ( 0 %),6,"5,100",850,6,"5,400",900,-300
08/07/2024,14 ( -9.68 %),5,"40,600","8,120",13,"44,700","3,438","-4,100"
05/07/2024,15.5 ( 0 %),0,0,0,9,"4,200",467,"-4,200"
04/07/2024,15.5 ( 0 %),0,0,0,12,"5,700",475,"-5,700"
03/07/2024,15.5 ( 0 %),1,"1,000","1,000",13,"5,800",446,"-4,800"
02/07/2024,15.5 ( 0.65 %),3,800,266.67,13,"7,500",577,"-6,700"
01/07/2024,15.4 ( 0 %),2,500,250,10,"6,200",620,"-5,700"
28/06/2024,15.4 ( 0 %),2,500,250,8,"2,900",362,"-2,400"
27/06/2024,15.4 ( 0 %),2,900,450,10,"3,200",320,"-2,300"
26/06/2024,15.4 ( 0.65 %),5,"1,000",200,8,"3,000",375,"-2,000"
25/06/2024,15.3 ( 5.52 %),9,"4,600",511.11,12,"5,900",492,"-1,300"
24/06/2024,14.5 ( 0 %),4,"3,300",825,6,"2,100",350,"1,200"
21/06/2024,14.5 ( 0.69 %),8,"3,700",462.5,6,"3,000",500,700
20/06/2024,14.4 ( 0 %),8,"5,400",675,6,"3,000",500,"2,400"
19/06/2024,14.4 ( 9.92 %),17,"4,500",264.71,2,"1,000",500,"3,500"
18/06/2024,13.1 ( -7.09 %),25,"10,300",412,7,"2,900",414,"7,400"
17/06/2024,14.1 ( 0 %),5,"2,600",520,4,"1,300",325,"1,300"
14/06/2024,14.1 ( 0 %),8,"2,700",337.5,6,"2,100",350,600
13/06/2024,14.1 ( -2.08 %),22,"5,200",236.36,8,"3,300",412,"1,900"
12/06/2024,14.4 ( -8.86 %),7,"2,300",328.57,16,"9,400",588,"-7,100"
11/06/2024,15.8 ( 0 %),1,500,500,12,"5,700",475,"-5,200"
10/06/2024,15.8 ( 4.64 %),5,"1,500",300,11,"4,500",409,"-3,000"
07/06/2024,15.1 ( 0 %),5,"1,000",200,10,"3,400",340,"-2,400"
06/06/2024,15.1 ( -6.79 %),6,800,133.33,12,"4,800",400,"-4,000"
05/06/2024,16.2 ( 8 %),21,"5,100",242.86,10,"2,800",280,"2,300"
04/06/2024,15 ( 9.49 %),19,"3,200",168.42,4,"1,300",325,"1,900"
03/06/2024,13.7 ( -8.67 %),21,"5,100",242.86,7,"4,600",657,500
31/05/2024,15 ( -6.83 %),9,"4,100",455.56,11,"5,900",536,"-1,800"
30/05/2024,16.1 ( -9.55 %),7,"2,000",285.71,15,"12,500",833,"-10,500"
29/05/2024,17.8 ( 0 %),0,0,0,11,"5,600",509,"-5,600"
28/05/2024,17.8 ( 0 %),0,0,0,6,"4,700",783,"-4,700"
27/05/2024,17.8 ( 0 %),0,0,0,13,"8,300",638,"-8,300"
24/05/2024,17.8 ( 0 %),0,0,0,8,"4,700",588,"-4,700"
23/05/2024,17.8 ( 0 %),0,0,0,13,"9,200",708,"-9,200"
22/05/2024,17.8 ( 0 %),0,0,0,16,"9,000",562,"-9,000"
21/05/2024,17.8 ( 8.54 %),1,100,100,14,"11,200",800,"-11,100"
20/05/2024,16.4 ( 0 %),1,200,200,11,"7,900",718,"-7,700"
17/05/2024,16.4 ( 0 %),2,300,150,7,"4,200",600,"-3,900"
16/05/2024,16.4 ( 7.89 %),6,"2,400",400,15,"4,800",320,"-2,400"
15/05/2024,15.2 ( 4.11 %),8,"2,300",287.5,12,"3,500",292,"-1,200"
14/05/2024,14.6 ( 0 %),7,"2,200",314.29,6,"4,100",683,"-1,900"
13/05/2024,14.6 ( 0.69 %),14,"3,500",250,9,"2,900",322,600
10/05/2024,14.5 ( -8.23 %),7,"1,100",157.14,13,"5,100",392,"-4,000"
09/05/2024,15.8 ( -5.39 %),1,100,100,13,"4,500",346,"-4,400"
08/05/2024,16.7 ( 0.6 %),6,"1,500",250,27,"7,300",270,"-5,800"
07/05/2024,16.6 ( 2.47 %),7,"1,100",157.14,15,"7,400",493,"-6,300"
06/05/2024,16.2 ( 0.62 %),6,700,116.67,18,"8,400",467,"-7,700"
03/05/2024,16.1 ( 8.78 %),10,"2,700",270,9,"2,300",256,400
02/05/2024,14.8 ( 9.63 %),11,"4,300",390.91,9,"2,100",233,"2,200"
26/04/2024,13.5 ( -6.25 %),9,"1,200",133.33,5,"1,400",280,-200
25/04/2024,14.4 ( 0 %),7,"1,000",142.86,4,"1,600",400,-600
24/04/2024,14.4 ( -8.86 %),6,"1,300",216.67,10,"3,900",390,"-2,600"
23/04/2024,15.8 ( 3.27 %),6,700,116.67,8,"3,100",388,"-2,400"
22/04/2024,15.3 ( 0 %),3,500,166.67,5,"2,200",440,"-1,700"
19/04/2024,15.3 ( 3.38 %),6,"1,300",216.67,4,"1,200",300,100
17/04/2024,14.8 ( 7.25 %),14,"2,500",178.57,12,"2,100",175,400
16/04/2024,13.8 ( -1.43 %),7,"2,100",300,6,"1,800",300,300
15/04/2024,14 ( -3.45 %),13,"3,800",292.31,13,"2,600",200,"1,200"
12/04/2024,14.5 ( -8.23 %),10,"2,100",210,12,"2,900",242,-800
11/04/2024,15.8 ( 3.27 %),9,"5,400",600,12,"5,300",442,100
10/04/2024,15.3 ( 2.68 %),4,"1,100",275,11,"5,100",464,"-4,000"
09/04/2024,14.9 ( 0 %),3,"1,100",366.67,6,"1,900",317,-800
08/04/2024,14.9 ( -1.32 %),3,"1,400",466.67,9,"4,500",500,"-3,100"
05/04/2024,15.1 ( 1.34 %),6,"3,300",550,7,"3,400",486,-100
04/04/2024,14.9 ( 2.76 %),14,"8,000",571.43,11,"5,300",482,"2,700"
03/04/2024,14.5 ( -0.68 %),8,"9,200","1,150",8,"3,800",475,"5,400"
02/04/2024,14.6 ( -0.68 %),8,"12,000","1,500",11,"5,800",527,"6,200"
01/04/2024,14.7 ( -0.68 %),9,"3,900",433.33,12,"6,200",517,"-2,300"
29/03/2024,14.8 ( 4.23 %),10,"5,000",500,14,"5,500",393,-500
28/03/2024,14.2 ( 0.71 %),11,"3,600",327.27,8,"3,200",400,400
27/03/2024,14.1 ( -2.76 %),16,"2,500",156.25,18,"7,700",428,"-5,200"
26/03/2024,14.5 ( -5.23 %),11,"1,600",145.45,13,"4,300",331,"-2,700"
25/03/2024,15.3 ( 7.75 %),10,"1,800",180,7,"5,800",829,"-4,000"
22/03/2024,14.2 ( -8.39 %),18,"18,300","1,016.67",19,"17,000",895,"1,300"
21/03/2024,15.5 ( 0 %),6,"1,000",166.67,10,"6,100",610,"-5,100"
20/03/2024,15.5 ( 0 %),3,500,166.67,5,"1,900",380,"-1,400"
19/03/2024,15.5 ( 0 %),3,400,133.33,8,"6,600",825,"-6,200"
18/03/2024,15.5 ( 0.65 %),3,400,133.33,5,"4,400",880,"-4,000"
15/03/2024,15.4 ( 0 %),3,500,166.67,8,"11,000","1,375","-10,500"
14/03/2024,15.4 ( 4.76 %),5,800,160,4,"1,400",350,-600
13/03/2024,14.7 ( -2 %),4,"1,500",375,6,"2,600",433,"-1,100"
12/03/2024,15 ( 2.74 %),4,700,175,7,"6,900",986,"-6,200"
11/03/2024,14.6 ( 0 %),8,"1,300",162.5,4,"1,700",425,-400
08/03/2024,14.6 ( -8.75 %),4,900,225,9,"7,200",800,"-6,300"
07/03/2024,16 ( 0.63 %),11,800,72.73,15,"7,700",513,"-6,900"
06/03/2024,15.9 ( 1.92 %),7,"5,800",828.57,12,"4,000",333,"1,800"
05/03/2024,15.6 ( 0 %),3,700,233.33,6,"4,000",667,"-3,300"
04/03/2024,15.6 ( 4.7 %),7,"2,400",342.86,11,"3,400",309,"-1,000"
