date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,14(-3.45 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
11/09/2024,14.5(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
10/09/2024,14.5(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
09/09/2024,14.5(3.57 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
06/09/2024,14(1.45 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
05/09/2024,13.8(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
04/09/2024,13.8(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
30/08/2024,13.8(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
29/08/2024,13.8(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
28/08/2024,13.8(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
27/08/2024,13.8(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
26/08/2024,13.8(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
23/08/2024,13.8(-4.83 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
22/08/2024,14.5(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
21/08/2024,14.5(5.07 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
20/08/2024,13.8(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
19/08/2024,13.8(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
16/08/2024,13.8(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
15/08/2024,13.8(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
14/08/2024,13.8(-6.12 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
13/08/2024,14.7(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
12/08/2024,14.7(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
09/08/2024,14.7(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
08/08/2024,14.7(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
07/08/2024,14.7(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
06/08/2024,14.7(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
05/08/2024,14.7(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
02/08/2024,14.7(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
01/08/2024,14.7(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
31/07/2024,14.7(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
30/07/2024,14.7(-3.29 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
29/07/2024,15.2(-0.65 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
24/07/2024,15.2(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
23/07/2024,15.2(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
22/07/2024,15.2(9.35 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
19/07/2024,13.9(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
18/07/2024,13.9(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
17/07/2024,0(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
16/07/2024,0(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
15/07/2024,13.9(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
12/07/2024,13.9(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
11/07/2024,13.9(-9.74 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
10/07/2024,15.4(10.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
08/07/2024,14(-9.68 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
04/07/2024,15.5(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
03/07/2024,15.5(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
02/07/2024,15.5(0.65 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
01/07/2024,15.4(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
28/06/2024,15.4(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
27/06/2024,15.4(0.00 %),0,0.0,0,0,0,0.0,"535,674",0.3%,bst
