date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,13.5 ( 0 %),4,100,25,3,500,167,-400,bt1
11/09/2024,13.5 ( 1.5 %),7,"30,800","4,400",3,"30,400","10,133",400,bt1
10/09/2024,13.3 ( 0 %),4,600,150,2,400,200,200,bt1
09/09/2024,13.3 ( 0 %),3,500,166.67,2,400,200,100,bt1
06/09/2024,13.3 ( 0 %),3,400,133.33,3,600,200,-200,bt1
05/09/2024,13.3 ( -2.21 %),2,500,250,5,"1,600",320,"-1,100",bt1
04/09/2024,13.6 ( 0 %),1,100,100,3,"2,100",700,"-2,000",bt1
30/08/2024,13.6 ( 0 %),3,500,166.67,2,300,150,200,bt1
29/08/2024,13.6 ( 0.74 %),2,300,150,3,"2,100",700,"-1,800",bt1
28/08/2024,13.5 ( 0 %),1,100,100,2,300,150,-200,bt1
27/08/2024,13.5 ( 0 %),3,500,166.67,3,500,167,0,bt1
26/08/2024,13.5 ( 0 %),1,100,100,1,100,100,0,bt1
23/08/2024,13.5 ( 0 %),1,100,100,1,100,100,0,bt1
22/08/2024,13.5 ( 0 %),1,100,100,1,100,100,0,bt1
21/08/2024,13.5 ( 0 %),1,100,100,3,"2,100",700,"-2,000",bt1
20/08/2024,13.5 ( 0 %),1,100,100,2,300,150,-200,bt1
19/08/2024,13.5 ( 1.5 %),2,200,100,2,200,100,0,bt1
16/08/2024,13.3 ( 0 %),1,100,100,2,"2,000","1,000","-1,900",bt1
15/08/2024,13.3 ( 0 %),2,200,100,2,200,100,0,bt1
14/08/2024,13.3 ( 0 %),2,200,100,4,"2,200",550,"-2,000",bt1
13/08/2024,13.3 ( 0 %),2,600,300,1,100,100,500,bt1
12/08/2024,13.3 ( 0 %),2,600,300,2,"2,000","1,000","-1,400",bt1
09/08/2024,13.3 ( 0 %),2,200,100,1,100,100,100,bt1
08/08/2024,13.3 ( 0 %),2,600,300,1,100,100,500,bt1
07/08/2024,13.3 ( 0 %),5,900,180,3,"2,200",733,"-1,300",bt1
06/08/2024,13.3 ( -0.75 %),4,700,175,4,"1,000",250,-300,bt1
05/08/2024,13.4 ( 0 %),2,200,100,4,"4,400","1,100","-4,200",bt1
02/08/2024,13.4 ( 0 %),2,600,300,3,"4,300","1,433","-3,700",bt1
01/08/2024,13.4 ( -4.29 %),3,"1,100",366.67,5,"5,300","1,060","-4,200",bt1
31/07/2024,14 ( 0 %),2,600,300,3,"3,800","1,267","-3,200",bt1
30/07/2024,14 ( 0 %),1,100,100,2,300,150,-200,bt1
29/07/2024,14 ( 0 %),2,600,300,4,"9,800","2,450","-9,200",bt1
26/07/2024,14 ( 0 %),2,600,300,4,"10,300","2,575","-9,700",bt1
25/07/2024,14 ( 0 %),2,200,100,3,"3,800","1,267","-3,600",bt1
24/07/2024,14 ( 0 %),2,600,300,3,"3,800","1,267","-3,200",bt1
23/07/2024,14 ( 0 %),3,700,233.33,2,700,350,0,bt1
22/07/2024,14 ( 0 %),1,100,100,3,"10,700","3,567","-10,600",bt1
19/07/2024,14 ( 0 %),4,"1,100",275,2,"1,100",550,0,bt1
18/07/2024,14 ( 0 %),3,600,200,2,600,300,0,bt1
17/07/2024,14 ( 0 %),2,600,300,3,"1,700",567,"-1,100",bt1
16/07/2024,14 ( 0 %),2,600,300,3,700,233,-100,bt1
15/07/2024,14 ( 0 %),2,600,300,3,"4,700","1,567","-4,100",bt1
12/07/2024,14 ( 0 %),2,600,300,2,"2,100","1,050","-1,500",bt1
11/07/2024,14 ( 0 %),3,700,233.33,2,400,200,300,bt1
10/07/2024,14 ( 0 %),2,600,300,2,"2,100","1,050","-1,500",bt1
09/07/2024,14 ( 0 %),4,"1,100",275,4,"6,700","1,675","-5,600",bt1
08/07/2024,14 ( 0 %),4,"1,600",400,3,"5,600","1,867","-4,000",bt1
05/07/2024,14 ( 0 %),2,"1,100",550,1,100,100,"1,000",bt1
04/07/2024,14 ( 0 %),1,100,100,1,100,100,0,bt1
03/07/2024,14 ( 0 %),1,100,100,1,100,100,0,bt1
02/07/2024,14 ( 0 %),1,100,100,2,200,100,-100,bt1
01/07/2024,14 ( 0 %),2,200,100,2,"10,100","5,050","-9,900",bt1
28/06/2024,14 ( 9.37 %),4,500,125,2,"10,100","5,050","-9,600",bt1
27/06/2024,12.8 ( 0 %),3,300,100,4,300,75,0,bt1
26/06/2024,12.8 ( 0 %),3,300,100,1,100,100,200,bt1
25/06/2024,13.6 ( 6.25 %),2,200,100,1,100,100,100,bt1
