date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,20.5,--,0(0.00 %),0,0.0,0,0.0,20.5,20.5,20.5,btd
11/09/2024,20.5,--,0(0.00 %),0,0.0,0,0.0,20.5,20.5,20.5,btd
10/09/2024,20.5,--,0(0.00 %),0,0.0,0,0.0,20.5,20.5,20.5,btd
09/09/2024,20.5,--,0(0.00 %),0,0.0,0,0.0,20.5,20.5,20.5,btd
06/09/2024,20.5,--,0(0.00 %),0,0.0,0,0.0,20.5,20.5,20.5,btd
05/09/2024,20.5,--,0(0.00 %),0,0.0,0,0.0,20.5,20.5,20.5,btd
04/09/2024,20.5,--,0(0.00 %),10,0.0,0,0.0,20.5,20.5,20.5,btd
30/08/2024,20.5,--,0(0.00 %),0,0.0,0,0.0,20.5,20.5,20.5,btd
29/08/2024,20.5,--,0(0.00 %),0,0.0,0,0.0,20.5,20.5,20.5,btd
28/08/2024,20.5,--,0(0.00 %),0,0.0,0,0.0,20.5,20.5,20.5,btd
27/08/2024,20.5,--,0(0.00 %),0,0.0,0,0.0,20.5,20.5,20.5,btd
26/08/2024,20.5,--,-0.9(-4.21 %),100,0.0,0,0.0,20.5,20.5,20.5,btd
23/08/2024,21.4,--,0(0.00 %),0,0.0,0,0.0,21.4,21.4,21.4,btd
22/08/2024,21.4,--,0(0.00 %),0,0.0,0,0.0,21.4,21.4,21.4,btd
21/08/2024,21.4,--,0(0.00 %),0,0.0,0,0.0,21.4,21.4,21.4,btd
20/08/2024,21.4,--,0(0.00 %),68,0.0,0,0.0,21.4,21.4,21.4,btd
19/08/2024,21.4,--,0(0.00 %),0,0.0,0,0.0,21.4,21.4,21.4,btd
16/08/2024,21.4,--,0(0.00 %),0,0.0,0,0.0,21.4,21.4,21.4,btd
15/08/2024,21.4,--,0(0.00 %),53,0.0,0,0.0,21.4,21.4,21.4,btd
14/08/2024,21.4,--,0(0.00 %),0,0.0,0,0.0,21.4,21.4,21.4,btd
13/08/2024,21.4,--,0(0.00 %),14,0.0,0,0.0,21.4,21.4,21.4,btd
12/08/2024,21.4,--,1(4.90 %),100,0.0,0,0.0,21.4,21.4,21.4,btd
09/08/2024,20.4,--,0(0.00 %),5,0.0,0,0.0,20.4,20.4,20.4,btd
08/08/2024,20.4,--,2.6(14.61 %),100,0.0,0,0.0,20.4,20.4,20.4,btd
07/08/2024,17.8,--,0(0.00 %),0,0.0,0,0.0,17.8,17.8,17.8,btd
06/08/2024,17.0,--,-1(-5.56 %),572,0.01,0,0.0,20.7,20.7,17.0,btd
05/08/2024,18.0,--,-1.9(-9.55 %),200,0.0,0,0.0,18.0,18.0,18.0,btd
02/08/2024,19.9,--,0(0.00 %),0,0.0,0,0.0,19.9,19.9,19.9,btd
01/08/2024,19.9,--,0(0.00 %),0,0.0,0,0.0,19.9,19.9,19.9,btd
31/07/2024,20.5,--,-1(-4.65 %),300,0.01,0,0.0,18.8,20.5,18.8,btd
30/07/2024,21.5,--,0(0.00 %),0,0.0,0,0.0,21.5,21.5,21.5,btd
29/07/2024,21.5,--,0(0.00 %),0,0.0,0,0.0,21.5,21.5,21.5,btd
26/07/2024,22.0,--,2.1(10.55 %),200,0.0,0,0.0,21.0,22.0,21.0,btd
25/07/2024,19.9,--,0(0.00 %),0,0.0,0,0.0,19.9,19.9,19.9,btd
24/07/2024,19.9,--,0(0.00 %),0,0.0,0,0.0,19.9,19.9,19.9,btd
23/07/2024,19.9,--,1.1(5.85 %),100,0.0,0,0.0,19.9,19.9,19.9,btd
22/07/2024,18.8,--,-3.2(-14.55 %),200,0.0,0,0.0,18.7,18.8,18.7,btd
19/07/2024,22.0,--,0(0.00 %),0,0.0,0,0.0,22.0,22.0,22.0,btd
18/07/2024,22.0,--,0(0.00 %),0,0.0,0,0.0,22.0,22.0,22.0,btd
17/07/2024,22.0,--,2(10.00 %),100,0.0,0,0.0,22.0,22.0,22.0,btd
16/07/2024,20.0,--,2.5(14.29 %),100,0.0,0,0.0,20.0,20.0,20.0,btd
15/07/2024,17.5,--,-2.4(-12.06 %),500,0.01,0,0.0,17.5,17.5,17.5,btd
12/07/2024,19.9,--,0(0.00 %),0,0.0,0,0.0,19.9,19.9,19.9,btd
11/07/2024,19.9,--,0(0.00 %),0,0.0,0,0.0,19.9,19.9,19.9,btd
10/07/2024,19.9,--,0.7(3.65 %),100,0.0,0,0.0,19.9,19.9,19.9,btd
09/07/2024,20.0,19.2,0.1(0.50 %),400,0.01,0,0.0,20.0,20.0,20.0,btd
08/07/2024,20.8,19.97,0.8(4.00 %),300,0.01,0,0.0,18.0,20.8,18.0,btd
05/07/2024,20.0,19.2,0(0.00 %),0,0.0,0,0.0,20.0,20.0,20.0,btd
04/07/2024,20.0,19.2,-0.7(-3.38 %),600,0.01,0,0.0,20.0,20.0,20.0,btd
03/07/2024,20.7,19.87,0(0.00 %),0,0.0,0,0.0,20.7,20.7,20.7,btd
02/07/2024,20.7,19.87,0(0.00 %),0,0.0,0,0.0,20.7,20.7,20.7,btd
01/07/2024,20.7,19.87,1.8(9.52 %),100,0.0,0,0.0,20.7,20.7,20.7,btd
28/06/2024,18.9,18.14,0(0.00 %),"1,100",0.02,0,0.0,18.9,19.0,18.9,btd
