date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,20.5 ( 0 %),1,100,100,4,"1,000",250,-900,btd
11/09/2024,20.5 ( 0 %),2,200,100,5,"1,400",280,"-1,200",btd
10/09/2024,20.5 ( 0 %),2,200,100,5,"2,100",420,"-1,900",btd
09/09/2024,20.5 ( 0 %),3,"2,200",733.33,5,"3,100",620,-900,btd
06/09/2024,20.5 ( 0 %),2,200,100,7,"2,600",371,"-2,400",btd
05/09/2024,20.5 ( 0 %),2,200,100,5,"2,100",420,"-1,900",btd
04/09/2024,20.5 ( 0 %),3,400,133.33,4,"1,100",275,-700,btd
30/08/2024,20.5 ( 0 %),4,500,125,6,"1,500",250,"-1,000",btd
29/08/2024,20.5 ( 0 %),2,300,150,3,900,300,-600,btd
28/08/2024,20.5 ( 0 %),2,200,100,6,"2,700",450,"-2,500",btd
27/08/2024,20.5 ( 0 %),2,200,100,5,"2,900",580,"-2,700",btd
26/08/2024,20.5 ( -4.21 %),5,600,120,8,"2,500",312,"-1,900",btd
23/08/2024,21.4 ( 0 %),4,500,125,4,"1,300",325,-800,btd
22/08/2024,21.4 ( 0 %),5,500,100,5,"1,400",280,-900,btd
21/08/2024,21.4 ( 0 %),6,"2,100",350,6,"2,500",417,-400,btd
20/08/2024,21.4 ( 0 %),5,"3,400",680,5,"3,300",660,100,btd
19/08/2024,21.4 ( 0 %),2,200,100,4,"2,200",550,"-2,000",btd
16/08/2024,21.4 ( 0 %),2,200,100,7,"2,700",386,"-2,500",btd
15/08/2024,21.4 ( 0 %),2,200,100,8,"2,700",338,"-2,500",btd
14/08/2024,21.4 ( 0 %),3,300,100,10,"3,700",370,"-3,400",btd
13/08/2024,21.4 ( 0 %),2,200,100,5,"1,400",280,"-1,200",btd
12/08/2024,21.4 ( 4.9 %),4,400,100,9,"2,600",289,"-2,200",btd
09/08/2024,20.4 ( 0 %),4,400,100,10,"4,500",450,"-4,100",btd
08/08/2024,20.4 ( 14.61 %),5,900,180,9,"1,800",200,-900,btd
07/08/2024,17.8 ( 0 %),6,"1,600",266.67,4,"1,900",475,-300,btd
06/08/2024,17 ( -5.56 %),9,"2,000",222.22,12,"2,100",175,-100,btd
05/08/2024,18 ( -9.55 %),3,800,266.67,11,"2,700",245,"-1,900",btd
02/08/2024,19.9 ( 0 %),1,100,100,6,"1,300",217,"-1,200",btd
01/08/2024,19.9 ( 0 %),2,200,100,7,"2,000",286,"-1,800",btd
31/07/2024,20.5 ( -4.65 %),7,900,128.57,11,"3,100",282,"-2,200",btd
30/07/2024,21.5 ( 0 %),3,300,100,7,"3,900",557,"-3,600",btd
29/07/2024,21.5 ( 0 %),1,100,100,7,"1,900",271,"-1,800",btd
26/07/2024,22 ( 10.55 %),5,500,100,11,"3,900",355,"-3,400",btd
25/07/2024,19.9 ( 0 %),3,700,233.33,4,"4,700","1,175","-4,000",btd
24/07/2024,19.9 ( 0 %),2,200,100,7,"5,200",743,"-5,000",btd
23/07/2024,19.9 ( 5.85 %),5,"1,400",280,6,"4,300",717,"-2,900",btd
22/07/2024,18.8 ( -14.55 %),5,600,120,9,"7,200",800,"-6,600",btd
19/07/2024,22 ( 0 %),2,"1,100",550,11,"9,100",827,"-8,000",btd
18/07/2024,22 ( 0 %),2,"1,100",550,11,"12,000","1,091","-10,900",btd
17/07/2024,22 ( 10 %),9,"1,400",155.56,17,"9,400",553,"-8,000",btd
16/07/2024,20 ( 14.29 %),9,"3,900",433.33,7,"4,900",700,"-1,000",btd
15/07/2024,17.5 ( -12.06 %),11,"3,600",327.27,6,"1,800",300,"1,800",btd
12/07/2024,19.9 ( 0 %),5,"1,400",280,6,"5,200",867,"-3,800",btd
11/07/2024,19.9 ( 0 %),5,"1,700",340,8,"5,800",725,"-4,100",btd
10/07/2024,19.9 ( 3.65 %),9,"1,300",144.44,9,"5,600",622,"-4,300",btd
09/07/2024,20 ( 0.5 %),8,"2,200",275,7,"5,800",829,"-3,600",btd
08/07/2024,20.8 ( 4 %),6,"1,200",200,5,"1,400",280,-200,btd
05/07/2024,20 ( 0 %),4,800,200,7,"1,800",257,"-1,000",btd
