date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,20.5(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
11/09/2024,20.5(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
10/09/2024,20.5(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
09/09/2024,20.5(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
06/09/2024,20.5(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
05/09/2024,20.5(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
04/09/2024,20.5(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
30/08/2024,20.5(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
29/08/2024,20.5(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
28/08/2024,20.5(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
27/08/2024,20.5(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
26/08/2024,20.5(-4.21 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
23/08/2024,21.4(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
22/08/2024,21.4(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
21/08/2024,21.4(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
20/08/2024,21.4(0.00 %),0,0.0,0,0.0,0,0,-23,0.36%,btd
19/08/2024,21.4(0.00 %),0,0.0,0,0.0,0,0,-23,0.36%,btd
16/08/2024,21.4(0.00 %),0,0.0,0,0.0,0,0,-23,0.36%,btd
15/08/2024,21.4(0.00 %),0,0.0,0,0.0,0,0,-23,0.36%,btd
14/08/2024,21.4(0.00 %),0,0.0,0,0.0,0,0,-23,0.36%,btd
13/08/2024,21.4(0.00 %),0,0.0,0,0.0,0,0,-23,0.36%,btd
12/08/2024,21.4(4.90 %),0,0.0,0,0.0,0,0,-23,0.36%,btd
09/08/2024,20.4(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
08/08/2024,20.4(14.61 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
07/08/2024,17.8(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
06/08/2024,17(-5.56 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
05/08/2024,18(-9.55 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
02/08/2024,19.9(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
01/08/2024,19.9(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
31/07/2024,20.5(-4.65 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
30/07/2024,21.5(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
29/07/2024,21.5(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
24/07/2024,19.9(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
23/07/2024,19.9(5.85 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
22/07/2024,18.8(-14.55 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
19/07/2024,22(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
18/07/2024,22(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
17/07/2024,0(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
16/07/2024,0(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
15/07/2024,17.5(-12.06 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
12/07/2024,19.9(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
11/07/2024,19.9(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
10/07/2024,19.9(3.65 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
08/07/2024,20.8(4.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
04/07/2024,20(-3.38 %),0,0.0,0,0.0,0,0,-23,0.36%,btd
03/07/2024,20.7(0.00 %),0,0.0,0,0.0,0,0,0,49%,btd
02/07/2024,20.7(0.00 %),0,0.0,0,0.0,0,0,-23,0.36%,btd
01/07/2024,20.7(9.52 %),0,0.0,0,0.0,0,0,-23,0.36%,btd
28/06/2024,18.9(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
27/06/2024,18.9(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
26/06/2024,19.1(-1.55 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
25/06/2024,19.4(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
24/06/2024,19.4(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
21/06/2024,19.4(-3.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
20/06/2024,20(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
19/06/2024,20(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
18/06/2024,20(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
17/06/2024,0(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
14/06/2024,0(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
13/06/2024,20(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
12/06/2024,20(0.00 %),0,0.0,0,0.0,0,0,"-23,000",0.36%,btd
11/06/2024,20(-3.85 %),0,0.0,0,0.0,0,0,0,49%,btd
