date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,7.7,--,-1.2(-13.48 %),200,0.0,0,0,7.7,7.7,7.7,btg
11/09/2024,8.9,--,0.6(7.23 %),"2,020",0.02,0,0,8.9,8.9,8.9,btg
10/09/2024,8.3,--,1(13.70 %),"1,000",0.01,0,0,8.3,8.3,8.3,btg
09/09/2024,7.3,--,-0.7(-8.75 %),500,0.0,0,0,7.3,7.3,7.3,btg
06/09/2024,8.0,--,-1(-11.11 %),200,0.0,0,0,8.0,8.0,8.0,btg
05/09/2024,9.0,--,0.6(7.14 %),"1,000",0.01,0,0,9.0,9.0,9.0,btg
04/09/2024,8.4,--,0.3(3.70 %),"5,000",0.04,0,0,8.4,8.4,8.4,btg
30/08/2024,8.1,--,0.1(1.25 %),"1,071",0.01,0,0,8.1,8.1,8.1,btg
29/08/2024,8.0,--,1(14.29 %),"7,606",0.06,0,0,8.0,8.0,8.0,btg
28/08/2024,7.0,--,-1.2(-14.63 %),"1,004",0.01,0,0,7.0,7.0,7.0,btg
27/08/2024,8.2,--,0(0.00 %),0,0.0,0,0,8.2,8.2,8.2,btg
26/08/2024,8.2,--,0(0.00 %),0,0.0,0,0,8.2,8.2,8.2,btg
23/08/2024,8.2,--,1(13.89 %),201,0.0,0,0,8.2,8.2,8.2,btg
22/08/2024,7.2,--,0.9(14.29 %),204,0.0,0,0,7.2,7.2,7.2,btg
21/08/2024,6.3,--,0.8(14.55 %),503,0.0,0,0,6.3,6.3,6.3,btg
20/08/2024,5.5,--,-3.3(-37.50 %),500,0.0,0,0,5.5,5.5,5.5,btg
19/08/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
16/08/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
15/08/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
14/08/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
13/08/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
12/08/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
09/08/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
08/08/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
07/08/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
06/08/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
05/08/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
02/08/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
01/08/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
31/07/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
30/07/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
29/07/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
26/07/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
25/07/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
24/07/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
23/07/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
22/07/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
19/07/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
18/07/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
17/07/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
16/07/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
15/07/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
12/07/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
11/07/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
10/07/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
09/07/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
08/07/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
05/07/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
04/07/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
03/07/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
02/07/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
01/07/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
28/06/2024,8.8,--,0(0.00 %),0,0.0,0,0,8.8,8.8,8.8,btg
27/06/2024,8.8,--,-1.4(-13.73 %),500,0.0,0,0,8.8,8.8,8.8,btg
26/06/2024,10.2,--,0(0.00 %),0,0.0,0,0,10.2,10.2,10.2,btg
25/06/2024,10.2,--,0(0.00 %),0,0.0,0,0,10.2,10.2,10.2,btg
24/06/2024,10.2,--,0(0.00 %),0,0.0,0,0,10.2,10.2,10.2,btg
21/06/2024,10.2,--,0(0.00 %),0,0.0,0,0,10.2,10.2,10.2,btg
20/06/2024,10.2,--,-1.8(-15.00 %),"4,000",0.04,0,0,10.2,10.2,10.2,btg
19/06/2024,12.0,--,0(0.00 %),0,0.0,0,0,12.0,12.0,12.0,btg
18/06/2024,12.0,--,0(0.00 %),0,0.0,0,0,12.0,12.0,12.0,btg
17/06/2024,12.0,--,0(0.00 %),0,0.0,0,0,12.0,12.0,12.0,btg
14/06/2024,12.0,--,0(0.00 %),1,0.0,0,0,12.0,12.0,12.0,btg
13/06/2024,12.0,--,0(0.00 %),0,0.0,0,0,12.0,12.0,12.0,btg
12/06/2024,12.0,--,0(0.00 %),0,0.0,0,0,12.0,12.0,12.0,btg
11/06/2024,12.0,--,0(0.00 %),0,0.0,0,0,12.0,12.0,12.0,btg
10/06/2024,12.0,--,0(0.00 %),69,0.0,0,0,12.0,12.0,12.0,btg
07/06/2024,12.0,--,0(0.00 %),0,0.0,0,0,12.0,12.0,12.0,btg
06/06/2024,12.0,--,0(0.00 %),40,0.0,0,0,12.0,12.0,12.0,btg
05/06/2024,12.0,--,0(0.00 %),0,0.0,0,0,12.0,12.0,12.0,btg
04/06/2024,12.0,--,0(0.00 %),0,0.0,0,0,12.0,12.0,12.0,btg
03/06/2024,12.0,--,0(0.00 %),0,0.0,0,0,12.0,12.0,12.0,btg
31/05/2024,12.0,--,0(0.00 %),0,0.0,0,0,12.0,12.0,12.0,btg
