date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,7.7 ( -13.48 %),3,"1,100",366.67,3,"3,400","1,133","-2,300"
11/09/2024,8.9 ( 7.23 %),4,"5,500","1,375",3,"7,200","2,400","-1,700"
10/09/2024,8.3 ( 13.7 %),6,"4,200",700,1,"1,000","1,000","3,200"
09/09/2024,7.3 ( -8.75 %),7,"4,100",585.71,3,"3,500","1,167",600
06/09/2024,8 ( -11.11 %),5,"1,600",320,3,"7,200","2,400","-5,600"
05/09/2024,9 ( 7.14 %),6,"2,200",366.67,5,"9,000","1,800","-6,800"
04/09/2024,8.4 ( 3.7 %),9,"8,900",988.89,4,"6,700","1,675","2,200"
30/08/2024,8.1 ( 1.25 %),9,"5,800",644.44,5,"3,200",640,"2,600"
29/08/2024,8 ( 14.29 %),12,"14,500","1,208.33",5,"7,600","1,520","6,900"
28/08/2024,7 ( -14.63 %),5,"1,800",360,3,"2,200",733,-400
27/08/2024,8.2 ( 0 %),3,400,133.33,1,500,500,-100
26/08/2024,8.2 ( 0 %),6,800,133.33,1,300,300,500
23/08/2024,8.2 ( 13.89 %),11,"11,400","1,036.36",1,200,200,"11,200"
22/08/2024,7.2 ( 14.29 %),10,"1,600",160,1,200,200,"1,400"
21/08/2024,6.3 ( 14.55 %),7,"2,300",328.57,1,500,500,"1,800"
20/08/2024,5.5 ( -37.5 %),1,"1,000","1,000",2,"2,500","1,250","-1,500"
19/08/2024,8.8 ( 0 %),0,0,0,0,0,0,0
16/08/2024,8.8 ( 0 %),0,0,0,0,0,0,0
15/08/2024,8.8 ( 0 %),0,0,0,0,0,0,0
14/08/2024,8.8 ( 0 %),0,0,0,0,0,0,0
13/08/2024,8.8 ( 0 %),0,0,0,0,0,0,0
12/08/2024,8.8 ( 0 %),0,0,0,0,0,0,0
09/08/2024,8.8 ( 0 %),1,100,100,0,0,0,100
08/08/2024,8.8 ( 0 %),3,0,0,0,0,0,0
07/08/2024,8.8 ( 0 %),0,0,0,0,0,0,0
06/08/2024,8.8 ( 0 %),0,0,0,0,0,0,0
05/08/2024,8.8 ( 0 %),0,0,0,0,0,0,0
02/08/2024,8.8 ( 0 %),0,0,0,0,0,0,0
01/08/2024,8.8 ( 0 %),1,0,0,0,0,0,0
31/07/2024,8.8 ( 0 %),0,0,0,0,0,0,0
30/07/2024,8.8 ( 0 %),0,0,0,0,0,0,0
29/07/2024,8.8 ( 0 %),1,0,0,0,0,0,0
26/07/2024,8.8 ( 0 %),0,0,0,0,0,0,0
25/07/2024,8.8 ( 0 %),1,100,100,0,0,0,100
24/07/2024,8.8 ( 0 %),1,100,100,0,0,0,100
23/07/2024,8.8 ( 0 %),2,200,100,0,0,0,200
22/07/2024,8.8 ( 0 %),1,"1,000","1,000",0,0,0,"1,000"
19/07/2024,8.8 ( 0 %),1,100,100,0,0,0,100
18/07/2024,8.8 ( 0 %),2,200,100,0,0,0,200
17/07/2024,8.8 ( 0 %),2,100,50,0,0,0,100
16/07/2024,8.8 ( 0 %),2,200,100,0,0,0,200
15/07/2024,8.8 ( 0 %),2,200,100,0,0,0,200
