date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,32.2,--,-5.6(-14.81 %),"1,800",0.06,0,0,32.3,32.3,32.2
11/09/2024,35.5,--,-2.3(-6.08 %),1,0,0,0,37.8,37.8,37.8
10/09/2024,35.5,--,0(0.00 %),200,0.01,0,0,40,40,35.5
09/09/2024,38,--,-0.4(-1.04 %),"1,602",0.06,0,0,33.3,38,33
06/09/2024,38.4,--,4.6(13.61 %),100,0,0,0,38.4,38.4,38.4
05/09/2024,33.8,--,-5.9(-14.86 %),558,0.02,0,0,33.8,33.8,33.8
04/09/2024,37,--,-2(-5.13 %),305,0.01,0,0,44,44,37
30/08/2024,39,--,0(0.00 %),0,0,0,0,39,39,39
29/08/2024,39,--,3.9(11.11 %),103,0,0,0,39,39,39
28/08/2024,35,--,-0.2(-0.57 %),"1,500",0.05,0,0,35,35.2,35
27/08/2024,37,--,4.7(14.55 %),"2,300",0.08,0,0,32.3,37,32.3
26/08/2024,32.3,--,0(0.00 %),453,0.01,0,0,32.3,32.3,32.3
23/08/2024,32.3,--,0(0.00 %),0,0,0,0,32.3,32.3,32.3
22/08/2024,32.3,--,0.3(0.94 %),900,0.03,0,0,32.2,32.5,32.2
21/08/2024,32.4,--,2.4(8.00 %),"2,701",0.09,0,0,31.9,32.5,31.5
20/08/2024,30,--,1.4(4.90 %),701,0.02,0,0,30,30.1,30
19/08/2024,28.6,--,0.4(1.42 %),100,0,0,0,28.6,28.6,28.6
16/08/2024,28.2,--,-1.2(-4.08 %),"1,201",0.03,0,0,28,29,28
15/08/2024,29.4,--,2(7.30 %),200,0.01,0,0,29.4,29.4,29.4
14/08/2024,27.2,--,-0.4(-1.45 %),700,0.02,0,0,27.9,27.9,27.2
13/08/2024,27.9,--,-0.5(-1.76 %),500,0.01,0,0,27.2,27.9,27.2
12/08/2024,29.2,--,0.5(1.74 %),202,0.01,0,0,27.6,29.2,27.6
09/08/2024,29.4,--,1.7(6.14 %),"1,300",0.04,0,0,28,29.4,28
08/08/2024,27.2,--,-2.1(-7.17 %),"3,300",0.09,0,0,28.3,28.3,27.1
07/08/2024,30,--,1(3.45 %),"5,500",0.16,0,0,29.3,31,29
06/08/2024,29,--,0(0.00 %),"1,100",0.03,0,0,29,29,29
05/08/2024,29,--,-3.8(-11.59 %),700,0.02,0,0,29,29,29
02/08/2024,32.8,--,3.3(11.19 %),200,0.01,0,0,32.8,32.8,32.8
