date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,32.2(-14.81 %),0,0.0,0,0,0,0.0,"12,249,147",0%,bth
11/09/2024,35.5(-6.08 %),0,0.0,0,0,0,0.0,"12,249,147",0%,bth
10/09/2024,35.5(0.00 %),0,0.0,0,0,0,0.0,"12,249,147",0%,bth
09/09/2024,38(-1.04 %),0,0.0,0,0,0,0.0,"12,249,147",0%,bth
06/09/2024,38.4(13.61 %),0,0.0,0,0,0,0.0,"12,249,147",0%,bth
05/09/2024,33.8(-14.86 %),0,0.0,0,0,0,0.0,"12,249,147",0%,bth
04/09/2024,37(-5.13 %),0,0.0,0,0,0,0.0,"12,249,147",0%,bth
30/08/2024,39(0.00 %),0,0.0,0,0,0,0.0,"12,249,147",0%,bth
29/08/2024,39(11.11 %),0,0.0,0,0,0,0.0,"12,249,147",0%,bth
28/08/2024,35(-0.57 %),0,0.0,0,0,0,0.0,"12,249,147",0%,bth
27/08/2024,37(14.55 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
26/08/2024,32.3(0.00 %),-53,-0.0,0,0,53,0.0,"12,249,094",0%,bth
23/08/2024,32.3(0.00 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
22/08/2024,32.3(0.94 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
21/08/2024,32.4(8.00 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
20/08/2024,30(4.90 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
19/08/2024,28.6(1.42 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
16/08/2024,28.2(-4.08 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
15/08/2024,29.4(7.30 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
14/08/2024,27.2(-1.45 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
13/08/2024,27.9(-1.76 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
12/08/2024,29.2(1.74 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
09/08/2024,29.4(6.14 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
08/08/2024,27.2(-7.17 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
07/08/2024,30(3.45 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
06/08/2024,29(0.00 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
05/08/2024,29(-11.59 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
02/08/2024,32.8(11.19 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
01/08/2024,33(-2.37 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
31/07/2024,34(0.00 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
30/07/2024,34(-3.68 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
29/07/2024,36.1(-7.44 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
24/07/2024,33(14.98 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
23/07/2024,28.7(14.80 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
22/07/2024,25(-13.19 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
19/07/2024,28.8(0.00 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
18/07/2024,28.8(0.00 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
17/07/2024,0(0.00 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
16/07/2024,0(0.00 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
15/07/2024,28.8(0.00 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
12/07/2024,28.8(0.00 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
11/07/2024,28.8(0.00 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
10/07/2024,28.8(0.00 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
08/07/2024,28.8(0.00 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
04/07/2024,28.8(0.00 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
03/07/2024,28.8(0.00 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
02/07/2024,28.8(0.00 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
01/07/2024,28.8(0.00 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
28/06/2024,28.8(0.00 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
27/06/2024,28.8(0.00 %),0,0.0,0,0,0,0.0,"12,249,094",0%,bth
