date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,5.3,--,0(0.00 %),50,0.0,0,0,5.3,5.3,5.3,bts
11/09/2024,5.3,--,0(0.00 %),"3,121",0.02,0,0,5.2,5.3,5.2,bts
10/09/2024,5.3,--,0(0.00 %),564,0.0,0,0,5.2,5.3,5.2,bts
09/09/2024,5.3,--,0(0.00 %),"14,164",0.07,0,0,5.2,5.3,5.2,bts
06/09/2024,5.3,--,-0.1(-1.85 %),"11,914",0.06,0,0,5.3,5.4,5.2,bts
05/09/2024,5.4,--,0(0.00 %),"10,224",0.06,0,0,5.4,5.4,5.4,bts
04/09/2024,5.4,--,0(0.00 %),"3,220",0.02,0,0,5.4,5.4,5.3,bts
30/08/2024,5.4,--,0(0.00 %),"13,561",0.07,0,0,5.3,5.4,5.2,bts
29/08/2024,5.4,--,0(0.00 %),"2,164",0.01,0,0,5.3,5.4,5.3,bts
28/08/2024,5.4,--,0(0.00 %),"1,874",0.01,0,0,5.3,5.4,5.3,bts
27/08/2024,5.4,--,0(0.00 %),"4,070",0.02,0,0,5.3,5.4,5.3,bts
26/08/2024,5.4,--,0(0.00 %),"11,859",0.06,0,0,5.4,5.4,5.3,bts
23/08/2024,5.4,--,0(0.00 %),"9,561",0.05,0,0,5.4,5.4,5.3,bts
22/08/2024,5.4,--,-0.1(-1.82 %),"3,398",0.02,0,0,5.5,5.5,5.3,bts
21/08/2024,5.5,--,0.1(1.85 %),"9,003",0.05,0,0,5.4,5.5,5.4,bts
20/08/2024,5.4,--,0.1(1.89 %),"56,735",0.31,0,0,5.3,5.4,5.3,bts
19/08/2024,5.3,--,-0.1(-1.85 %),"14,101",0.07,0,0,5.3,5.4,5.3,bts
16/08/2024,5.4,--,0(0.00 %),"9,415",0.05,0,0,5.3,5.4,5.2,bts
15/08/2024,5.4,--,0(0.00 %),"1,652",0.01,0,0,5.4,5.4,5.3,bts
14/08/2024,5.4,--,0(0.00 %),"1,030",0.01,0,0,5.3,5.4,5.3,bts
13/08/2024,5.4,--,0(0.00 %),"2,696",0.01,0,0,5.3,5.4,5.3,bts
12/08/2024,5.4,--,0(0.00 %),"2,366",0.01,0,0,5.4,5.4,5.4,bts
09/08/2024,5.4,--,0.1(1.89 %),"3,033",0.02,0,0,5.3,5.4,5.3,bts
08/08/2024,5.3,--,-0.1(-1.85 %),"6,284",0.03,0,0,5.3,5.4,5.3,bts
07/08/2024,5.4,--,0.1(1.89 %),"1,670",0.01,0,0,5.3,5.4,5.3,bts
06/08/2024,5.3,--,0.1(1.92 %),"7,323",0.04,0,0,5.1,5.3,5.1,bts
05/08/2024,5.2,--,-0.1(-1.89 %),"2,063",0.01,0,0,5.3,5.4,5.2,bts
02/08/2024,5.3,--,0(0.00 %),"24,438",0.13,0,0,5.2,5.3,5.0,bts
01/08/2024,5.3,--,0(0.00 %),"18,038",0.1,0,0,5.3,5.4,5.2,bts
31/07/2024,5.3,--,-0.2(-3.64 %),"16,624",0.09,0,0,5.5,5.5,5.3,bts
30/07/2024,5.5,--,0(0.00 %),"2,906",0.02,0,0,5.5,5.5,5.4,bts
