date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,15.2,--,0(0.00 %),0,0,0,0,15.2,15.2,15.2
11/09/2024,15.2,--,0(0.00 %),0,0,0,0,15.2,15.2,15.2
10/09/2024,15.2,--,0(0.00 %),0,0,0,0,15.2,15.2,15.2
09/09/2024,15.2,--,0(0.00 %),0,0,0,0,15.2,15.2,15.2
06/09/2024,15.2,--,0(0.00 %),0,0,0,0,15.2,15.2,15.2
05/09/2024,15.2,--,0(0.00 %),0,0,0,0,15.2,15.2,15.2
04/09/2024,14.5,--,-1(-6.45 %),300,0,0,0,16.5,16.5,14.5
30/08/2024,15.5,--,1.5(10.71 %),101,0,0,0,15.5,15.5,15.5
29/08/2024,14,--,0(0.00 %),0,0,0,0,14,14,14
28/08/2024,14.5,--,0(0.00 %),200,0,0,0,13.5,14.5,13.5
27/08/2024,14.5,--,0(0.00 %),300,0,0,0,14.5,14.5,14.5
26/08/2024,14.5,--,-2(-12.12 %),100,0,0,0,14.5,14.5,14.5
23/08/2024,16.5,--,0(0.00 %),0,0,0,0,16.5,16.5,16.5
22/08/2024,16.5,--,1.5(10.00 %),110,0,0,0,16.5,16.5,16.5
21/08/2024,15,--,-2.5(-14.29 %),300,0,0,0,15,15,15
20/08/2024,17.5,--,0(0.00 %),1,0,0,0,17.5,17.5,17.5
19/08/2024,17.5,--,0(0.00 %),0,0,0,0,17.5,17.5,17.5
16/08/2024,17.5,--,0(0.00 %),0,0,0,0,17.5,17.5,17.5
15/08/2024,17.5,--,0(0.00 %),1,0,0,0,17.5,17.5,17.5
14/08/2024,17.5,--,0(0.00 %),0,0,0,0,17.5,17.5,17.5
13/08/2024,17.5,--,0.3(1.74 %),100,0,0,0,17.5,17.5,17.5
12/08/2024,17.2,--,0(0.00 %),0,0,0,0,17.2,17.2,17.2
09/08/2024,17.2,--,0(0.00 %),0,0,0,0,17.2,17.2,17.2
08/08/2024,17.2,--,0(0.00 %),0,0,0,0,17.2,17.2,17.2
07/08/2024,17.2,--,0(0.00 %),0,0,0,0,17.2,17.2,17.2
06/08/2024,17.2,--,0(0.00 %),0,0,0,0,17.2,17.2,17.2
05/08/2024,17.2,--,0(0.00 %),0,0,0,0,17.2,17.2,17.2
02/08/2024,17.2,--,0(0.00 %),0,0,0,0,17.2,17.2,17.2
01/08/2024,17.2,--,0(0.00 %),0,0,0,0,17.2,17.2,17.2
31/07/2024,17.2,--,0.7(4.24 %),100,0,0,0,17.2,17.2,17.2
30/07/2024,16.5,--,0(0.00 %),0,0,0,0,16.5,16.5,16.5
29/07/2024,16.5,--,1(6.45 %),100,0,0,0,16.5,16.5,16.5
26/07/2024,15.5,--,0(0.00 %),0,0,0,0,15.5,15.5,15.5
25/07/2024,15.5,--,0(0.00 %),0,0,0,0,15.5,15.5,15.5
24/07/2024,15.5,--,0(0.00 %),0,0,0,0,15.5,15.5,15.5
23/07/2024,15.5,--,0(0.00 %),0,0,0,0,15.5,15.5,15.5
22/07/2024,15.5,--,0(0.00 %),0,0,0,0,15.5,15.5,15.5
19/07/2024,15.5,--,0(0.00 %),0,0,0,0,15.5,15.5,15.5
18/07/2024,15.5,--,0(0.00 %),0,0,0,0,15.5,15.5,15.5
17/07/2024,16.5,15.5,0(0.00 %),200,0,0,0,16.5,16.5,16.5
16/07/2024,16.5,15.5,0(0.00 %),"2,200",0.04,0,0,16.5,16.5,16.5
15/07/2024,16.5,15.5,0.5(3.12 %),101,0,0,0,16.5,16.5,16.5
12/07/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
11/07/2024,16,15.03,1.2(8.11 %),700,0.01,0,0,16,16,16
10/07/2024,14.8,13.9,0(0.00 %),0,0,0,0,14.8,14.8,14.8
09/07/2024,14.8,13.9,0(0.00 %),0,0,0,0,14.8,14.8,14.8
08/07/2024,14.8,13.9,0(0.00 %),0,0,0,0,14.8,14.8,14.8
05/07/2024,14.8,13.9,0(0.00 %),100,0,0,0,14.8,14.8,14.8
04/07/2024,14.8,13.9,0(0.00 %),200,0,0,0,14.8,14.8,14.8
03/07/2024,14.8,13.9,0(0.00 %),0,0,0,0,14.8,14.8,14.8
02/07/2024,14.8,13.9,0(0.00 %),0,0,0,0,14.8,14.8,14.8
01/07/2024,14.8,13.9,0(0.00 %),0,0,0,0,14.8,14.8,14.8
28/06/2024,14.8,13.9,0(0.00 %),0,0,0,0,14.8,14.8,14.8
27/06/2024,14.8,13.9,0(0.00 %),"1,700",0.03,0,0,14.8,14.8,14.8
26/06/2024,14.8,13.9,0(0.00 %),100,0,0,0,14.8,14.8,14.8
25/06/2024,14.8,13.9,0(0.00 %),0,0,0,0,14.8,14.8,14.8
24/06/2024,14.8,13.9,-1.2(-7.50 %),100,0,0,0,14.8,14.8,14.8
21/06/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
20/06/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
19/06/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
18/06/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
17/06/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
14/06/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
13/06/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
12/06/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
11/06/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
10/06/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
07/06/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
06/06/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
05/06/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
04/06/2024,16,15.03,2(14.29 %),100,0,0,0,16,16,16
03/06/2024,14,13.15,0.5(3.70 %),100,0,0,0,14,14,14
31/05/2024,16,15.03,0(0.00 %),200,0,0,0,11,16,11
30/05/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
29/05/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
28/05/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
27/05/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
24/05/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
23/05/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
22/05/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
21/05/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
20/05/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
17/05/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
16/05/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
15/05/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
14/05/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
13/05/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
10/05/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
09/05/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
08/05/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
07/05/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
06/05/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
03/05/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
02/05/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
26/04/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
25/04/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
24/04/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
23/04/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
22/04/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
19/04/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
17/04/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
16/04/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
15/04/2024,16,15.03,0(0.00 %),1,0,0,0,16,16,16
12/04/2024,16,15.03,0(0.00 %),400,0.01,0,0,16,16,16
11/04/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
10/04/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
09/04/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
08/04/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
05/04/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
04/04/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
03/04/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
02/04/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
01/04/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
29/03/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
28/03/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
27/03/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
26/03/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
25/03/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
22/03/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
21/03/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
20/03/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
19/03/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
18/03/2024,16,15.03,0(0.00 %),0,0,0,0,16,16,16
