date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,15.2(0.00 %),0,0,0,0,0,0,"-1,000",0.03%,btu
11/09/2024,15.2(0.00 %),0,0,0,0,0,0,"-1,000",0.03%,btu
10/09/2024,15.2(0.00 %),0,0,0,0,0,0,"-1,000",0.03%,btu
09/09/2024,15.2(0.00 %),0,0,0,0,0,0,"-1,000",0.03%,btu
06/09/2024,15.2(0.00 %),0,0,0,0,0,0,"-1,000",0.03%,btu
05/09/2024,15.2(0.00 %),0,0,0,0,0,0,"-1,000",0.03%,btu
04/09/2024,14.5(-6.45 %),0,0,0,0,0,0,"-1,000",0.03%,btu
30/08/2024,15.5(10.71 %),0,0,0,0,0,0,"-1,000",0.03%,btu
29/08/2024,14(0.00 %),0,0,0,0,0,0,"-1,000",0.03%,btu
28/08/2024,14.5(0.00 %),0,0,0,0,0,0,"-1,000",0.03%,btu
27/08/2024,14.5(0.00 %),0,0,0,0,0,0,"-1,000",0.03%,btu
26/08/2024,14.5(-12.12 %),0,0,0,0,0,0,"-1,000",0.03%,btu
23/08/2024,16.5(0.00 %),0,0,0,0,0,0,"-1,000",0.03%,btu
22/08/2024,16.5(10.00 %),0,0,0,0,0,0,"-1,000",0.03%,btu
21/08/2024,15(-14.29 %),0,0,0,0,0,0,"-1,000",0.03%,btu
20/08/2024,17.5(0.00 %),0,0,0,0,0,0,-1,0.03%,btu
19/08/2024,17.5(0.00 %),0,0,0,0,0,0,-1,0.03%,btu
16/08/2024,17.5(0.00 %),0,0,0,0,0,0,-1,0.03%,btu
15/08/2024,17.5(0.00 %),0,0,0,0,0,0,-1,0.03%,btu
14/08/2024,17.5(0.00 %),0,0,0,0,0,0,-1,0.03%,btu
13/08/2024,17.5(1.74 %),0,0,0,0,0,0,-1,0.03%,btu
12/08/2024,17.2(0.00 %),0,0,0,0,0,0,-1,0.03%,btu
09/08/2024,17.2(0.00 %),0,0,0,0,0,0,"-1,000",0.03%,btu
08/08/2024,17.2(0.00 %),0,0,0,0,0,0,"-1,000",0.03%,btu
