date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,12.3,--,0(0.00 %),0,0.0,0,0.0,12.3,12.3,12.3,btv
11/09/2024,12.3,--,0(0.00 %),0,0.0,0,0.0,12.3,12.3,12.3,btv
10/09/2024,12.3,--,0(0.00 %),0,0.0,0,0.0,12.3,12.3,12.3,btv
09/09/2024,12.3,--,-0.2(-1.60 %),101,0.0,0,0.0,12.3,12.3,12.3,btv
06/09/2024,12.5,--,0(0.00 %),0,0.0,0,0.0,12.5,12.5,12.5,btv
05/09/2024,12.5,--,0(0.00 %),0,0.0,0,0.0,12.5,12.5,12.5,btv
04/09/2024,12.5,--,0(0.00 %),0,0.0,0,0.0,12.5,12.5,12.5,btv
30/08/2024,12.5,--,0(0.00 %),0,0.0,0,0.0,12.5,12.5,12.5,btv
29/08/2024,12.5,--,0(0.00 %),0,0.0,0,0.0,12.5,12.5,12.5,btv
28/08/2024,12.5,--,0(0.00 %),0,0.0,0,0.0,12.5,12.5,12.5,btv
27/08/2024,12.5,--,0(0.00 %),1,0.0,0,0.0,12.5,12.5,12.5,btv
26/08/2024,12.5,--,0(0.00 %),0,0.0,0,0.0,12.5,12.5,12.5,btv
23/08/2024,12.5,--,0(0.00 %),0,0.0,0,0.0,12.5,12.5,12.5,btv
22/08/2024,12.5,--,0(0.00 %),20,0.0,0,0.0,12.5,12.5,12.5,btv
21/08/2024,12.5,--,0(0.00 %),0,0.0,"4,800",0.05,12.5,12.5,12.5,btv
20/08/2024,12.5,--,0(0.00 %),0,0.0,0,0.0,12.5,12.5,12.5,btv
19/08/2024,12.5,--,0(0.00 %),0,0.0,0,0.0,12.5,12.5,12.5,btv
16/08/2024,12.5,--,0(0.00 %),8,0.0,0,0.0,12.5,12.5,12.5,btv
15/08/2024,12.5,--,0(0.00 %),0,0.0,0,0.0,12.5,12.5,12.5,btv
14/08/2024,12.5,--,0(0.00 %),0,0.0,0,0.0,12.5,12.5,12.5,btv
13/08/2024,12.5,--,0(0.00 %),21,0.0,0,0.0,12.5,12.5,12.5,btv
12/08/2024,12.5,--,0(0.00 %),0,0.0,0,0.0,12.5,12.5,12.5,btv
09/08/2024,12.5,--,0(0.00 %),0,0.0,0,0.0,12.5,12.5,12.5,btv
08/08/2024,12.5,--,0(0.00 %),0,0.0,0,0.0,12.5,12.5,12.5,btv
07/08/2024,12.5,--,0(0.00 %),0,0.0,0,0.0,12.5,12.5,12.5,btv
06/08/2024,12.5,--,0(0.00 %),0,0.0,0,0.0,12.5,12.5,12.5,btv
05/08/2024,12.5,--,0(0.00 %),3,0.0,0,0.0,12.5,12.5,12.5,btv
02/08/2024,12.5,--,0(0.00 %),100,0.0,0,0.0,12.5,12.5,12.5,btv
01/08/2024,12.5,--,0(0.00 %),100,0.0,0,0.0,12.5,12.5,12.5,btv
31/07/2024,12.5,--,0(0.00 %),0,0.0,0,0.0,12.5,12.5,12.5,btv
30/07/2024,12.5,--,0(0.00 %),110,0.0,0,0.0,12.5,12.5,12.5,btv
29/07/2024,12.5,--,1.2(10.62 %),100,0.0,0,0.0,12.5,12.5,12.5,btv
26/07/2024,11.3,--,0(0.00 %),0,0.0,0,0.0,11.3,11.3,11.3,btv
25/07/2024,11.3,--,0(0.00 %),0,0.0,0,0.0,11.3,11.3,11.3,btv
24/07/2024,11.3,--,0(0.00 %),0,0.0,0,0.0,11.3,11.3,11.3,btv
23/07/2024,11.5,--,0.2(1.77 %),1,0.0,0,0.0,11.3,11.3,11.3,btv
22/07/2024,11.5,--,0.2(1.77 %),11,0.0,0,0.0,11.3,11.3,11.3,btv
19/07/2024,11.5,--,0.4(3.60 %),200,0.0,0,0.0,11.1,11.5,11.1,btv
18/07/2024,11.1,--,0(0.00 %),0,0.0,0,0.0,11.1,11.1,11.1,btv
17/07/2024,11.2,--,-0.6(-5.08 %),"1,260",0.01,0,0.0,11.1,11.2,11.1,btv
16/07/2024,11.7,--,-2(-14.60 %),206,0.0,0,0.0,11.8,11.8,11.7,btv
15/07/2024,13.7,--,-0.7(-4.86 %),"1,210",0.02,0,0.0,13.7,13.7,13.7,btv
12/07/2024,14.4,--,1.8(14.29 %),"1,260",0.02,0,0.0,14.4,14.4,14.4,btv
11/07/2024,12.6,--,1.6(14.55 %),"3,422",0.04,0,0.0,12.5,12.6,12.5,btv
10/07/2024,11.0,--,-0.7(-5.98 %),300,0.0,"28,300",0.28,11.0,11.0,11.0,btv
09/07/2024,10.1,--,-1.6(-13.68 %),0,0.0,"1,182,350",11.82,11.7,11.7,11.7,btv
08/07/2024,10.1,--,-1.6(-13.68 %),1,0.0,0,0.0,11.7,11.7,11.7,btv
05/07/2024,10.1,--,-1.6(-13.68 %),0,0.0,"1,150,000",11.5,11.7,11.7,11.7,btv
04/07/2024,10.1,--,-0.2(-1.94 %),"1,600",0.02,0,0.0,11.8,11.8,10.1,btv
03/07/2024,10.1,--,-0.5(-4.72 %),200,0.0,0,0.0,10.5,10.5,10.1,btv
02/07/2024,10.6,--,-1.4(-11.67 %),100,0.0,0,0.0,10.6,10.6,10.6,btv
01/07/2024,10.9,--,-1.7(-13.49 %),"10,401",0.12,0,0.0,12.0,12.0,10.9,btv
28/06/2024,12.6,--,0(0.00 %),0,0.0,0,0.0,12.6,12.6,12.6,btv
27/06/2024,12.6,--,0(0.00 %),0,0.0,0,0.0,12.6,12.6,12.6,btv
26/06/2024,12.6,--,0(0.00 %),0,0.0,"1,200,000",13.2,12.6,12.6,12.6,btv
25/06/2024,12.6,--,0(0.00 %),0,0.0,0,0.0,12.6,12.6,12.6,btv
24/06/2024,12.6,--,0(0.00 %),1,0.0,0,0.0,12.6,12.6,12.6,btv
21/06/2024,12.6,--,1.6(14.55 %),500,0.01,0,0.0,12.6,12.6,12.6,btv
20/06/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
19/06/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
18/06/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
17/06/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
14/06/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
13/06/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
12/06/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
11/06/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
10/06/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
07/06/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
06/06/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
05/06/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
04/06/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
03/06/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
31/05/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
30/05/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
29/05/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
28/05/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
27/05/2024,11.0,--,0(0.00 %),2,0.0,0,0.0,11.0,11.0,11.0,btv
24/05/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
23/05/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
22/05/2024,11.0,--,0(0.00 %),100,0.0,0,0.0,11.0,11.0,11.0,btv
21/05/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
20/05/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
17/05/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
16/05/2024,11.0,--,0(0.00 %),400,0.0,0,0.0,11.0,11.0,11.0,btv
15/05/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
14/05/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
13/05/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
10/05/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
09/05/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
08/05/2024,11.0,--,0(0.00 %),40,0.0,0,0.0,11.0,11.0,11.0,btv
07/05/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
06/05/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
03/05/2024,11.0,--,0(0.00 %),0,0.0,0,0.0,11.0,11.0,11.0,btv
02/05/2024,11.0,--,0(0.00 %),10,0.0,0,0.0,11.0,11.0,11.0,btv
26/04/2024,11.0,--,0.9(8.91 %),100,0.0,0,0.0,11.0,11.0,11.0,btv
25/04/2024,10.1,--,0(0.00 %),0,0.0,0,0.0,10.1,10.1,10.1,btv
24/04/2024,10.1,--,0(0.00 %),0,0.0,0,0.0,10.1,10.1,10.1,btv
23/04/2024,10.1,--,0(0.00 %),0,0.0,0,0.0,10.1,10.1,10.1,btv
22/04/2024,10.1,--,0(0.00 %),2,0.0,0,0.0,10.1,10.1,10.1,btv
19/04/2024,10.1,--,0(0.00 %),0,0.0,0,0.0,10.1,10.1,10.1,btv
17/04/2024,10.1,--,0(0.00 %),1,0.0,0,0.0,10.1,10.1,10.1,btv
16/04/2024,10.1,--,0(0.00 %),0,0.0,0,0.0,10.1,10.1,10.1,btv
15/04/2024,10.1,--,0(0.00 %),0,0.0,0,0.0,10.1,10.1,10.1,btv
12/04/2024,10.1,--,0(0.00 %),0,0.0,0,0.0,10.1,10.1,10.1,btv
11/04/2024,10.1,--,0(0.00 %),0,0.0,0,0.0,10.1,10.1,10.1,btv
10/04/2024,10.1,--,0(0.00 %),0,0.0,0,0.0,10.1,10.1,10.1,btv
09/04/2024,10.1,--,0(0.00 %),0,0.0,0,0.0,10.1,10.1,10.1,btv
08/04/2024,10.1,--,0(0.00 %),0,0.0,0,0.0,10.1,10.1,10.1,btv
05/04/2024,10.1,--,0(0.00 %),440,0.0,0,0.0,10.1,10.1,10.1,btv
04/04/2024,10.1,--,0.1(1.00 %),100,0.0,0,0.0,10.1,10.1,10.1,btv
03/04/2024,10.0,--,0(0.00 %),0,0.0,0,0.0,10.0,10.0,10.0,btv
02/04/2024,10.0,--,0(0.00 %),100,0.0,0,0.0,10.0,10.0,10.0,btv
01/04/2024,10.0,--,0(0.00 %),0,0.0,0,0.0,10.0,10.0,10.0,btv
29/03/2024,10.0,--,0(0.00 %),0,0.0,0,0.0,10.0,10.0,10.0,btv
28/03/2024,10.0,--,0(0.00 %),0,0.0,0,0.0,10.0,10.0,10.0,btv
27/03/2024,10.0,--,0(0.00 %),0,0.0,0,0.0,10.0,10.0,10.0,btv
26/03/2024,10.0,--,0(0.00 %),0,0.0,0,0.0,10.0,10.0,10.0,btv
25/03/2024,10.0,--,0(0.00 %),0,0.0,0,0.0,10.0,10.0,10.0,btv
22/03/2024,10.0,--,0(0.00 %),0,0.0,0,0.0,10.0,10.0,10.0,btv
21/03/2024,10.0,--,-1.6(-13.79 %),200,0.0,0,0.0,10.0,10.0,10.0,btv
20/03/2024,11.6,--,0(0.00 %),0,0.0,0,0.0,11.6,11.6,11.6,btv
19/03/2024,11.6,--,0(0.00 %),0,0.0,0,0.0,11.6,11.6,11.6,btv
18/03/2024,11.5,--,-0.4(-3.36 %),322,0.0,0,0.0,11.9,11.9,11.5,btv
