date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,12.3 ( 0 %),2,200,100,6,"2,200",367,"-2,000"
11/09/2024,12.3 ( 0 %),2,200,100,4,"1,000",250,-800
10/09/2024,12.3 ( 0 %),3,300,100,8,"3,200",400,"-2,900"
09/09/2024,12.3 ( -1.6 %),2,200,100,5,"2,000",400,"-1,800"
06/09/2024,12.5 ( 0 %),2,200,100,4,800,200,-600
05/09/2024,12.5 ( 0 %),1,100,100,1,300,300,-200
04/09/2024,12.5 ( 0 %),1,100,100,3,600,200,-500
30/08/2024,12.5 ( 0 %),2,"1,800",900,4,"1,700",425,100
29/08/2024,12.5 ( 0 %),2,"1,800",900,2,800,400,"1,000"
28/08/2024,12.5 ( 0 %),2,200,100,3,"1,400",467,"-1,200"
27/08/2024,12.5 ( 0 %),4,"2,000",500,3,600,200,"1,400"
26/08/2024,12.5 ( 0 %),3,300,100,2,400,200,-100
23/08/2024,12.5 ( 0 %),3,400,133.33,4,"1,800",450,"-1,400"
22/08/2024,12.5 ( 0 %),3,400,133.33,4,"1,500",375,"-1,100"
21/08/2024,12.5 ( 0 %),1,100,100,2,600,300,-500
20/08/2024,12.5 ( 0 %),2,400,200,3,600,200,-200
19/08/2024,12.5 ( 0 %),2,300,150,5,"1,800",360,"-1,500"
16/08/2024,12.5 ( 0 %),5,"1,500",300,5,"1,900",380,-400
15/08/2024,12.5 ( 0 %),3,600,200,2,400,200,200
14/08/2024,12.5 ( 0 %),4,700,175,5,"1,200",240,-500
13/08/2024,12.5 ( 0 %),1,200,200,5,"2,100",420,"-1,900"
12/08/2024,12.5 ( 0 %),1,600,600,4,"1,100",275,-500
09/08/2024,12.5 ( 0 %),1,600,600,1,100,100,500
08/08/2024,12.5 ( 0 %),4,900,225,3,800,267,100
07/08/2024,12.5 ( 0 %),3,900,300,5,"2,000",400,"-1,100"
06/08/2024,12.5 ( 0 %),2,700,350,4,"1,900",475,"-1,200"
05/08/2024,12.5 ( 0 %),2,700,350,4,"1,800",450,"-1,100"
02/08/2024,12.5 ( 0 %),4,300,75,6,"1,800",300,"-1,500"
01/08/2024,12.5 ( 0 %),4,"1,000",250,4,"1,700",425,-700
31/07/2024,12.5 ( 0 %),3,900,300,4,800,200,100
30/07/2024,12.5 ( 0 %),3,900,300,6,"1,800",300,-900
29/07/2024,12.5 ( 10.62 %),7,"2,100",300,4,"1,500",375,600
26/07/2024,11.3 ( 0 %),4,"2,300",575,3,700,233,"1,600"
25/07/2024,11.3 ( 0 %),3,"1,800",600,3,"1,000",333,800
24/07/2024,11.3 ( 0 %),4,"1,800",450,4,"1,200",300,600
23/07/2024,11.5 ( 1.77 %),4,"1,800",450,3,"1,400",467,400
22/07/2024,11.5 ( 1.77 %),5,"1,900",380,3,500,167,"1,400"
19/07/2024,11.5 ( 3.6 %),6,"2,200",366.67,4,500,125,"1,700"
18/07/2024,11.1 ( 0 %),3,"2,300",766.67,1,100,100,"2,200"
17/07/2024,11.2 ( -5.08 %),5,"3,200",640,5,"2,000",400,"1,200"
16/07/2024,11.7 ( -14.6 %),2,200,100,7,"3,100",443,"-2,900"
15/07/2024,13.7 ( -4.86 %),3,"1,300",433.33,11,"3,900",355,"-2,600"
12/07/2024,14.4 ( 14.29 %),16,"6,800",425,7,"1,600",229,"5,200"
11/07/2024,12.6 ( 14.55 %),16,"8,100",506.25,8,"3,400",425,"4,700"
10/07/2024,11 ( -5.98 %),10,"6,500",650,5,"3,600",720,"2,900"
09/07/2024,10.1 ( -13.68 %),3,300,100,2,"4,400","2,200","-4,100"
08/07/2024,10.1 ( -13.68 %),6,400,66.67,2,"2,800","1,400","-2,400"
05/07/2024,10.1 ( -13.68 %),5,800,160,2,"2,800","1,400","-2,000"
04/07/2024,10.1 ( -1.94 %),9,"8,200",911.11,2,"1,600",800,"6,600"
03/07/2024,10.1 ( -4.72 %),5,"3,500",700,3,"1,700",567,"1,800"
02/07/2024,10.6 ( -11.67 %),3,300,100,4,"3,700",925,"-3,400"
01/07/2024,10.9 ( -13.49 %),7,"20,500","2,928.57",11,"20,600","1,873",-100
28/06/2024,12.6 ( 0 %),2,600,300,3,"3,400","1,133","-2,800"
27/06/2024,12.6 ( 0 %),2,100,50,4,"3,700",925,"-3,600"
26/06/2024,12.6 ( 0 %),2,200,100,6,"7,100","1,183","-6,900"
25/06/2024,12.6 ( 0 %),1,100,100,4,"6,100","1,525","-6,000"
24/06/2024,12.6 ( 0 %),2,200,100,6,"7,300","1,217","-7,100"
21/06/2024,12.6 ( 14.55 %),2,600,300,6,"4,400",733,"-3,800"
20/06/2024,11 ( 0 %),1,100,100,4,"5,000","1,250","-4,900"
19/06/2024,11 ( 0 %),1,100,100,3,"2,500",833,"-2,400"
18/06/2024,11 ( 0 %),1,100,100,3,"4,800","1,600","-4,700"
17/06/2024,11 ( 0 %),1,100,100,2,"1,700",850,"-1,600"
14/06/2024,11 ( 0 %),2,200,100,3,"2,500",833,"-2,300"
13/06/2024,11 ( 0 %),1,100,100,2,"2,200","1,100","-2,100"
12/06/2024,11 ( 0 %),3,300,100,4,"3,700",925,"-3,400"
11/06/2024,11 ( 0 %),1,100,100,2,"1,700",850,"-1,600"
10/06/2024,11 ( 0 %),3,300,100,2,"1,700",850,"-1,400"
07/06/2024,11 ( 0 %),0,0,0,3,"2,700",900,"-2,700"
06/06/2024,11 ( 0 %),2,600,300,3,"1,900",633,"-1,300"
05/06/2024,11 ( 0 %),2,200,100,2,"2,200","1,100","-2,000"
04/06/2024,11 ( 0 %),3,700,233.33,4,"4,400","1,100","-3,700"
03/06/2024,11 ( 0 %),2,600,300,4,"4,400","1,100","-3,800"
31/05/2024,11 ( 0 %),2,200,100,2,"1,700",850,"-1,500"
30/05/2024,11 ( 0 %),4,"1,100",275,3,"1,800",600,-700
29/05/2024,11 ( 0 %),4,600,150,3,"1,800",600,"-1,200"
28/05/2024,11 ( 0 %),2,200,100,2,"1,800",900,"-1,600"
27/05/2024,11 ( 0 %),1,100,100,3,400,133,-300
24/05/2024,11 ( 0 %),2,200,100,2,"1,700",850,"-1,500"
23/05/2024,11 ( 0 %),2,"1,200",600,2,800,400,400
22/05/2024,11 ( 0 %),2,600,300,5,"1,900",380,"-1,300"
21/05/2024,11 ( 0 %),2,700,350,2,"1,600",800,-900
20/05/2024,11 ( 0 %),2,600,300,2,300,150,300
17/05/2024,11 ( 0 %),2,"1,700",850,2,"1,600",800,100
16/05/2024,11 ( 0 %),1,"2,000","2,000",7,"2,300",329,-300
15/05/2024,11 ( 0 %),1,0,0,4,"1,900",475,"-1,900"
14/05/2024,11 ( 0 %),3,400,133.33,4,"1,800",450,"-1,400"
13/05/2024,11 ( 0 %),2,200,100,3,"1,900",633,"-1,700"
10/05/2024,11 ( 0 %),1,100,100,3,"1,800",600,"-1,700"
09/05/2024,11 ( 0 %),1,100,100,2,"1,600",800,"-1,500"
08/05/2024,11 ( 0 %),1,100,100,3,500,167,-400
07/05/2024,11 ( 0 %),1,100,100,2,"1,600",800,"-1,500"
06/05/2024,11 ( 0 %),2,200,100,4,"2,000",500,"-1,800"
03/05/2024,11 ( 0 %),2,200,100,2,"1,600",800,"-1,400"
02/05/2024,11 ( 0 %),1,100,100,4,"2,000",500,"-1,900"
26/04/2024,11 ( 8.91 %),3,300,100,3,"1,700",567,"-1,400"
25/04/2024,10.1 ( 0 %),2,200,100,3,700,233,-500
24/04/2024,10.1 ( 0 %),2,200,100,1,100,100,100
23/04/2024,10.1 ( 0 %),1,100,100,2,200,100,-100
22/04/2024,10.1 ( 0 %),1,100,100,1,100,100,0
19/04/2024,10.1 ( 0 %),1,100,100,1,100,100,0
17/04/2024,10.1 ( 0 %),1,100,100,1,100,100,0
16/04/2024,10.1 ( 0 %),1,100,100,1,100,100,0
