date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,46.8,--,-5.1(-9.83 %),503,0.02,0,0,46.8,46.8,46.8
11/09/2024,51.9,--,-5.7(-9.90 %),100,0.01,0,0,51.9,51.9,51.9
10/09/2024,57.6,--,3.6(6.67 %),"2,312",0.12,0,0,48.6,58,48.6
09/09/2024,54,--,4.1(8.22 %),101,0.01,0,0,54,54,54
06/09/2024,49.9,--,-2.4(-4.59 %),"1,306",0.06,0,0,47.1,51.9,47.1
05/09/2024,52.3,--,4.4(9.19 %),"1,500",0.07,0,0,43.2,52.4,43.2
04/09/2024,47.9,--,-1.1(-2.24 %),200,0.01,0,0,44.1,47.9,44.1
30/08/2024,49,--,4.1(9.13 %),"2,700",0.12,0,0,41.3,49.1,41
29/08/2024,45.8,44.88,4.1(9.83 %),500,0.02,0,0,41.7,45.8,41
28/08/2024,41.7,40.87,3.7(9.74 %),"1,100",0.04,0,0,36.6,41.7,36.6
27/08/2024,38,37.24,0(0.00 %),0,0,0,0,38,38,38
26/08/2024,38,37.24,1.6(4.40 %),101,0,0,0,38,38,38
23/08/2024,36.4,35.67,0(0.00 %),0,0,0,0,36.4,36.4,36.4
22/08/2024,36.4,35.67,0(0.00 %),0,0,0,0,36.4,36.4,36.4
21/08/2024,36.4,35.67,0(0.00 %),0,0,0,0,36.4,36.4,36.4
20/08/2024,36.4,35.67,0(0.00 %),0,0,0,0,36.4,36.4,36.4
19/08/2024,36.4,35.67,0(0.00 %),0,0,0,0,36.4,36.4,36.4
16/08/2024,36.4,35.67,0.3(0.83 %),300,0.01,0,0,36.4,36.4,36.4
15/08/2024,36.1,35.38,0(0.00 %),0,0,0,0,36.1,36.1,36.1
14/08/2024,36.1,35.38,0(0.00 %),0,0,0,0,36.1,36.1,36.1
13/08/2024,36.1,35.38,0(0.00 %),0,0,0,0,36.1,36.1,36.1
12/08/2024,36.1,35.38,0(0.00 %),0,0,0,0,36.1,36.1,36.1
09/08/2024,36.1,35.38,0(0.00 %),0,0,0,0,36.1,36.1,36.1
08/08/2024,36.1,35.38,0(0.00 %),0,0,0,0,36.1,36.1,36.1
07/08/2024,36.1,35.38,0(0.00 %),0,0,0,0,36.1,36.1,36.1
06/08/2024,36.1,35.38,-0.1(-0.28 %),100,0,0,0,36.1,36.1,36.1
05/08/2024,36.2,35.48,0(0.00 %),0,0,0,0,36.2,36.2,36.2
02/08/2024,36.2,35.48,0(0.00 %),0,0,0,0,36.2,36.2,36.2
01/08/2024,36.2,35.48,0(0.00 %),0,0,0,0,36.2,36.2,36.2
31/07/2024,36.2,35.48,0(0.00 %),0,0,0,0,36.2,36.2,36.2
30/07/2024,36.2,35.48,0(0.00 %),0,0,0,0,36.2,36.2,36.2
29/07/2024,36.2,35.48,0(0.00 %),0,0,0,0,36.2,36.2,36.2
26/07/2024,36.2,35.48,0(0.00 %),0,0,0,0,36.2,36.2,36.2
25/07/2024,36.2,35.48,-3.9(-9.73 %),100,0,0,0,36.2,36.2,36.2
24/07/2024,40.1,39.3,3.6(9.86 %),200,0.01,0,0,40.1,40.1,40.1
23/07/2024,36.5,35.77,0(0.00 %),0,0,0,0,36.5,36.5,36.5
22/07/2024,36.5,35.77,-1.3(-3.44 %),"1,000",0.04,0,0,36,36.5,36
19/07/2024,37.8,37.04,-0.9(-2.33 %),"3,000",0.11,0,0,37.8,37.8,37.8
18/07/2024,38.7,37.93,-4(-9.37 %),100,0,0,0,38.7,38.7,38.7
17/07/2024,42.7,41.85,3.8(9.77 %),100,0,0,0,42.7,42.7,42.7
16/07/2024,38.9,38.12,0(0.00 %),0,0,0,0,38.9,38.9,38.9
15/07/2024,38.9,38.12,0(0.00 %),0,0,0,0,38.9,38.9,38.9
12/07/2024,38.9,38.12,0(0.00 %),0,0,0,0,38.9,38.9,38.9
11/07/2024,38.9,38.12,0(0.00 %),0,0,0,0,38.9,38.9,38.9
10/07/2024,38.9,38.12,0(0.00 %),0,0,0,0,38.9,38.9,38.9
09/07/2024,38.9,38.12,0(0.00 %),0,0,0,0,38.9,38.9,38.9
08/07/2024,38.9,38.12,0(0.00 %),0,0,0,0,38.9,38.9,38.9
05/07/2024,38.9,38.12,0(0.00 %),0,0,0,0,38.9,38.9,38.9
04/07/2024,38.9,38.12,0(0.00 %),0,0,0,0,38.9,38.9,38.9
03/07/2024,38.9,38.12,0(0.00 %),0,0,0,0,38.9,38.9,38.9
02/07/2024,38.9,38.12,0(0.00 %),0,0,0,0,38.9,38.9,38.9
01/07/2024,38.9,38.12,0(0.00 %),0,0,0,0,38.9,38.9,38.9
28/06/2024,38.9,38.12,0(0.00 %),0,0,0,0,38.9,38.9,38.9
27/06/2024,38.9,38.12,-3.8(-8.90 %),100,0,0,0,38.9,38.9,38.9
26/06/2024,42.7,41.85,3.8(9.77 %),101,0,0,0,42.7,42.7,42.7
25/06/2024,38.9,38.12,0(0.00 %),0,0,0,0,38.9,38.9,38.9
24/06/2024,38.9,38.12,-4(-9.32 %),100,0,0,0,38.9,38.9,38.9
21/06/2024,42.9,42.04,3.9(10.00 %),100,0,0,0,42.9,42.9,42.9
20/06/2024,39,38.22,0(0.00 %),0,0,0,0,39,39,39
19/06/2024,39,38.22,0(0.00 %),1,0,0,0,39,39,39
18/06/2024,39,38.22,0(0.00 %),100,0,0,0,39,39,39
17/06/2024,39,38.22,0(0.00 %),0,0,0,0,39,39,39
14/06/2024,39,38.22,0(0.00 %),0,0,0,0,39,39,39
13/06/2024,39,38.22,0(0.00 %),200,0.01,0,0,39,39,39
12/06/2024,39,38.22,0(0.00 %),0,0,0,0,39,39,39
11/06/2024,39,38.22,0(0.00 %),0,0,0,0,39,39,39
10/06/2024,39,38.22,1.2(3.17 %),"4,600",0.18,0,0,39,39,39
07/06/2024,37.8,37.04,0(0.00 %),0,0,0,0,37.8,37.8,37.8
06/06/2024,37.8,37.04,0(0.00 %),100,0,0,0,37.8,37.8,37.8
05/06/2024,37.8,37.04,0(0.00 %),"4,500",0.17,0,0,37.8,37.8,37.8
04/06/2024,37.8,37.04,0(0.00 %),14,0,0,0,37.8,37.8,37.8
03/06/2024,37.8,37.04,0(0.00 %),0,0,0,0,37.8,37.8,37.8
31/05/2024,37.8,37.04,0.1(0.27 %),620,0.02,0,0,37.8,37.8,37.8
30/05/2024,37.7,36.95,-0.1(-0.26 %),100,0,0,0,37.7,37.7,37.7
29/05/2024,37.8,37.04,1.8(5.00 %),100,0,0,0,37.8,37.8,37.8
28/05/2024,36,35.28,0(0.00 %),0,0,0,0,36,36,36
27/05/2024,36,35.28,0(0.00 %),0,0,0,0,36,36,36
24/05/2024,36,35.28,0(0.00 %),0,0,0,0,36,36,36
23/05/2024,36,35.28,0(0.00 %),0,0,0,0,36,36,36
22/05/2024,36,35.28,0(0.00 %),0,0,0,0,36,36,36
21/05/2024,36,35.28,0(0.00 %),0,0,0,0,36,36,36
20/05/2024,36,35.28,0(0.00 %),0,0,0,0,36,36,36
17/05/2024,36,35.28,-1.2(-3.23 %),"1,000",0.04,0,0,36.1,36.1,36
16/05/2024,38.5,36.36,0(0.00 %),200,0.01,0,0,36,38.5,36
15/05/2024,38.5,36.36,0(0.00 %),"1,000",0.04,0,0,35.5,38.5,35.5
14/05/2024,38.5,36.36,3.4(9.69 %),100,0,0,0,38.5,38.5,38.5
13/05/2024,35.1,33.15,0(0.00 %),0,0,0,0,35.1,35.1,35.1
10/05/2024,35.1,33.15,0(0.00 %),0,0,0,0,35.1,35.1,35.1
09/05/2024,35.1,33.15,-1.4(-3.84 %),"1,000",0.04,0,0,36.5,36.5,35.1
08/05/2024,36.5,34.48,-1(-2.67 %),200,0.01,0,0,36.5,36.5,36.5
