date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,46.8 ( -9.83 %),1,500,500,3,700,233,-200
11/09/2024,51.9 ( -9.9 %),4,100,25,6,"1,000",167,-900
10/09/2024,57.6 ( 6.67 %),8,"3,300",412.5,15,"3,100",207,200
09/09/2024,54 ( 8.22 %),2,700,350,9,"1,900",211,"-1,200"
06/09/2024,49.9 ( -4.59 %),6,"5,300",883.33,11,"4,300",391,"1,000"
05/09/2024,52.3 ( 9.19 %),16,"15,100",943.75,16,"5,800",362,"9,300"
04/09/2024,47.9 ( -2.24 %),2,200,100,8,"4,000",500,"-3,800"
30/08/2024,49 ( 9.13 %),7,"3,700",528.57,10,"6,100",610,"-2,400"
29/08/2024,45.8 ( 9.83 %),12,"1,400",116.67,6,"3,900",650,"-2,500"
28/08/2024,41.7 ( 9.74 %),16,"8,300",518.75,6,"1,300",217,"7,000"
27/08/2024,38 ( 0 %),6,"3,900",650,1,200,200,"3,700"
26/08/2024,38 ( 4.4 %),8,"5,100",637.5,3,"3,200","1,067","1,900"
23/08/2024,36.4 ( 0 %),14,"8,100",578.57,2,"3,100","1,550","5,000"
22/08/2024,36.4 ( 0 %),10,"8,300",830,1,100,100,"8,200"
21/08/2024,36.4 ( 0 %),9,"6,000",666.67,2,"3,100","1,550","2,900"
20/08/2024,36.4 ( 0 %),9,"13,400","1,488.89",2,"3,100","1,550","10,300"
19/08/2024,36.4 ( 0 %),9,"13,800","1,533.33",1,100,100,"13,700"
16/08/2024,36.4 ( 0.83 %),7,"10,700","1,528.57",2,400,200,"10,300"
15/08/2024,36.1 ( 0 %),6,"11,100","1,850",1,100,100,"11,000"
14/08/2024,36.1 ( 0 %),5,"10,100","2,020",1,100,100,"10,000"
13/08/2024,36.1 ( 0 %),8,"10,300","1,287.5",1,100,100,"10,200"
12/08/2024,36.1 ( 0 %),8,"10,500","1,312.5",1,100,100,"10,400"
09/08/2024,36.1 ( 0 %),6,"7,200","1,200",1,100,100,"7,100"
08/08/2024,36.1 ( 0 %),6,"7,200","1,200",1,100,100,"7,100"
07/08/2024,36.1 ( 0 %),7,"7,400","1,057.14",1,100,100,"7,300"
06/08/2024,36.1 ( -0.28 %),6,"7,400","1,233.33",2,200,100,"7,200"
05/08/2024,36.2 ( 0 %),8,"6,300",787.5,1,100,100,"6,200"
02/08/2024,36.2 ( 0 %),7,"6,000",857.14,1,100,100,"5,900"
01/08/2024,36.2 ( 0 %),9,"8,400",933.33,1,100,100,"8,300"
31/07/2024,36.2 ( 0 %),8,"8,100","1,012.5",2,200,100,"7,900"
30/07/2024,36.2 ( 0 %),7,"7,200","1,028.57",1,100,100,"7,100"
29/07/2024,36.2 ( 0 %),9,"7,300",811.11,1,100,100,"7,200"
26/07/2024,36.2 ( 0 %),6,"5,800",966.67,1,100,100,"5,700"
25/07/2024,36.2 ( -9.73 %),3,600,200,2,300,150,300
24/07/2024,40.1 ( 9.86 %),9,"5,500",611.11,3,600,200,"4,900"
23/07/2024,36.5 ( 0 %),6,"5,200",866.67,1,200,200,"5,000"
22/07/2024,36.5 ( -3.44 %),12,"10,800",900,4,"1,200",300,"9,600"
19/07/2024,37.8 ( -2.33 %),12,"27,900","2,325",3,"3,100","1,033","24,800"
18/07/2024,38.7 ( -9.37 %),5,300,60,3,"3,200","1,067","-2,900"
17/07/2024,42.7 ( 9.77 %),8,"7,000",875,2,200,100,"6,800"
16/07/2024,38.9 ( 0 %),5,"7,100","1,420",1,100,100,"7,000"
15/07/2024,38.9 ( 0 %),4,"6,600","1,650",1,100,100,"6,500"
12/07/2024,38.9 ( 0 %),6,"6,900","1,150",1,100,100,"6,800"
11/07/2024,38.9 ( 0 %),4,"3,800",950,1,200,200,"3,600"
10/07/2024,38.9 ( 0 %),4,"3,700",925,2,"3,100","1,550",600
09/07/2024,38.9 ( 0 %),5,"3,800",760,1,100,100,"3,700"
08/07/2024,38.9 ( 0 %),6,"4,000",666.67,1,100,100,"3,900"
05/07/2024,38.9 ( 0 %),5,"3,900",780,1,100,100,"3,800"
04/07/2024,38.9 ( 0 %),6,"11,100","1,850",1,100,100,"11,000"
03/07/2024,38.9 ( 0 %),5,"10,800","2,160",2,"3,100","1,550","7,700"
02/07/2024,38.9 ( 0 %),6,"20,900","3,483.33",1,100,100,"20,800"
01/07/2024,38.9 ( 0 %),6,"20,900","3,483.33",1,100,100,"20,800"
28/06/2024,38.9 ( 0 %),6,"20,800","3,466.67",2,200,100,"20,600"
27/06/2024,38.9 ( -8.9 %),5,500,100,2,200,100,300
26/06/2024,42.7 ( 9.77 %),8,"21,100","2,637.5",2,300,150,"20,800"
25/06/2024,38.9 ( 0 %),5,"20,800","4,160",1,100,100,"20,700"
24/06/2024,38.9 ( -9.32 %),3,900,300,2,200,100,700
21/06/2024,42.9 ( 10 %),5,"20,400","4,080",3,600,200,"19,800"
20/06/2024,39 ( 0 %),3,"20,200","6,733.33",1,200,200,"20,000"
19/06/2024,39 ( 0 %),3,"20,300","6,766.67",1,200,200,"20,100"
18/06/2024,39 ( 0 %),4,"20,300","5,075",2,300,150,"20,000"
17/06/2024,39 ( 0 %),6,"20,400","3,400",1,200,200,"20,200"
14/06/2024,39 ( 0 %),4,"20,300","5,075",1,200,200,"20,100"
13/06/2024,39 ( 0 %),6,"20,500","3,416.67",2,400,200,"20,100"
12/06/2024,39 ( 0 %),3,"20,200","6,733.33",2,400,200,"19,800"
11/06/2024,39 ( 0 %),4,"20,400","5,100",1,200,200,"20,200"
10/06/2024,39 ( 3.17 %),11,"27,500","2,500",3,"4,800","1,600","22,700"
07/06/2024,37.8 ( 0 %),5,"22,200","4,440",1,200,200,"22,000"
06/06/2024,37.8 ( 0 %),6,"22,300","3,716.67",2,300,150,"22,000"
05/06/2024,37.8 ( 0 %),7,"31,700","4,528.57",2,"4,700","2,350","27,000"
04/06/2024,37.8 ( 0 %),5,"26,500","5,300",1,200,200,"26,300"
03/06/2024,37.8 ( 0 %),8,"29,800","3,725",1,200,200,"29,600"
31/05/2024,37.8 ( 0.27 %),7,"27,400","3,914.29",4,800,200,"26,600"
30/05/2024,37.7 ( -0.26 %),6,"35,300","5,883.33",3,400,133,"34,900"
29/05/2024,37.8 ( 5 %),9,"47,400","5,266.67",3,400,133,"47,000"
28/05/2024,36 ( 0 %),9,"39,400","4,377.78",2,300,150,"39,100"
27/05/2024,36 ( 0 %),5,"37,200","7,440",2,200,100,"37,000"
24/05/2024,36 ( 0 %),6,"37,200","6,200",2,300,150,"36,900"
23/05/2024,36 ( 0 %),5,"37,200","7,440",2,300,150,"36,900"
22/05/2024,36 ( 0 %),4,"37,100","9,275",2,400,200,"36,700"
21/05/2024,36 ( 0 %),6,"37,300","6,216.67",2,300,150,"37,000"
20/05/2024,36 ( 0 %),4,"37,200","9,300",2,200,100,"37,000"
17/05/2024,36 ( -3.23 %),10,"37,400","3,740",9,"1,300",144,"36,100"
16/05/2024,38.5 ( 0 %),12,"35,200","2,933.33",3,300,100,"34,900"
15/05/2024,38.5 ( 0 %),11,"39,400","3,581.82",3,"1,100",367,"38,300"
14/05/2024,38.5 ( 9.69 %),11,"40,100","3,645.45",3,"1,100",367,"39,000"
13/05/2024,35.1 ( 0 %),8,"39,500","4,937.5",1,100,100,"39,400"
10/05/2024,35.1 ( 0 %),8,"39,300","4,912.5",0,0,0,"39,300"
09/05/2024,35.1 ( -3.84 %),16,"42,800","2,675",2,"1,100",550,"41,700"
08/05/2024,36.5 ( -2.67 %),8,"40,800","5,100",2,300,150,"40,500"
07/05/2024,37.5 ( 0 %),7,"38,800","5,542.86",0,0,0,"38,800"
06/05/2024,37.5 ( 3.31 %),9,"38,300","4,255.56",1,100,100,"38,200"
03/05/2024,36.3 ( 0 %),7,"37,700","5,385.71",0,0,0,"37,700"
02/05/2024,36.3 ( 0 %),8,"38,000","4,750",1,100,100,"37,900"
26/04/2024,36.3 ( 0 %),7,"38,200","5,457.14",1,100,100,"38,100"
25/04/2024,36.3 ( 0 %),6,"37,300","6,216.67",1,100,100,"37,200"
24/04/2024,36.3 ( 0 %),8,"37,800","4,725",0,0,0,"37,800"
23/04/2024,36.3 ( 0 %),7,"37,600","5,371.43",1,100,100,"37,500"
22/04/2024,36.3 ( 0 %),7,"37,700","5,385.71",0,0,0,"37,700"
19/04/2024,36.3 ( -9.02 %),3,500,166.67,3,500,167,0
17/04/2024,39.9 ( 0 %),2,300,150,3,100,33,200
16/04/2024,39.9 ( 6.12 %),8,"37,600","4,700",4,300,75,"37,300"
15/04/2024,37.6 ( 0 %),7,"37,000","5,285.71",4,300,75,"36,700"
12/04/2024,37.6 ( 0 %),8,"38,000","4,750",4,300,75,"37,700"
11/04/2024,37.6 ( 0 %),7,"38,200","5,457.14",4,400,100,"37,800"
10/04/2024,37.6 ( 0 %),4,"37,200","9,300",2,200,100,"37,000"
09/04/2024,37.6 ( 9.62 %),9,"37,700","4,188.89",3,200,67,"37,500"
08/04/2024,34.3 ( 0 %),6,"39,400","6,566.67",2,200,100,"39,200"
05/04/2024,34.3 ( 0 %),10,"39,300","3,930",2,200,100,"39,100"
04/04/2024,34.3 ( -8.29 %),13,"41,100","3,161.54",3,300,100,"40,800"
03/04/2024,37.4 ( 0 %),7,"38,300","5,471.43",2,200,100,"38,100"
02/04/2024,37.4 ( -9.88 %),6,"2,300",383.33,6,400,67,"1,900"
01/04/2024,41.5 ( 9.79 %),7,"40,000","5,714.29",7,"3,000",429,"37,000"
29/03/2024,37.8 ( 1.07 %),6,"37,300","6,216.67",5,"1,200",240,"36,100"
28/03/2024,37.4 ( 10 %),10,"39,700","3,970",1,300,300,"39,400"
27/03/2024,34 ( 0 %),6,"38,700","6,450",0,0,0,"38,700"
26/03/2024,34 ( 1.49 %),6,"39,200","6,533.33",2,"1,000",500,"38,200"
25/03/2024,33.5 ( 0 %),5,"36,100","7,220",2,"1,100",550,"35,000"
22/03/2024,33.5 ( 0 %),4,"35,800","8,950",1,100,100,"35,700"
21/03/2024,33.5 ( 0 %),4,"35,500","8,875",1,100,100,"35,400"
20/03/2024,33.5 ( 0 %),3,"35,600","11,866.67",0,0,0,"35,600"
19/03/2024,33.5 ( 0 %),3,"35,600","11,866.67",1,100,100,"35,500"
18/03/2024,33.5 ( 0 %),3,"35,600","11,866.67",1,100,100,"35,500"
15/03/2024,33.5 ( 0 %),3,"35,600","11,866.67",0,0,0,"35,600"
14/03/2024,33.5 ( 0 %),3,"35,600","11,866.67",0,0,0,"35,600"
13/03/2024,33.5 ( 0 %),4,"35,700","8,925",1,"5,000","5,000","30,700"
12/03/2024,33.5 ( 0 %),2,"35,500","17,750",0,0,0,"35,500"
11/03/2024,33.5 ( 0 %),3,"1,300",433.33,0,0,0,"1,300"
08/03/2024,33.5 ( 0 %),1,500,500,0,0,0,500
07/03/2024,33.5 ( 0 %),2,600,300,0,0,0,600
06/03/2024,33.5 ( 0 %),2,600,300,0,0,0,600
05/03/2024,33.5 ( 0 %),1,500,500,0,0,0,500
04/03/2024,33.5 ( 0 %),2,600,300,0,0,0,600
01/03/2024,33.5 ( 0 %),1,500,500,0,0,0,500
29/02/2024,33.5 ( 0 %),1,500,500,0,0,0,500
28/02/2024,33.5 ( 0 %),1,500,500,0,0,0,500
27/02/2024,33.5 ( 0 %),3,700,233.33,0,0,0,700
26/02/2024,33.5 ( 0 %),2,500,250,0,0,0,500
23/02/2024,33.5 ( 0 %),2,600,300,0,0,0,600
22/02/2024,33.5 ( 0 %),2,600,300,0,0,0,600
21/02/2024,33.5 ( 0 %),2,600,300,0,0,0,600
20/02/2024,33.5 ( 0 %),2,"1,500",750,0,0,0,"1,500"
19/02/2024,33.5 ( 0 %),2,600,300,0,0,0,600
16/02/2024,33.5 ( 0 %),2,600,300,0,0,0,600
15/02/2024,33.5 ( 0 %),2,500,250,0,0,0,500
07/02/2024,33.5 ( 0 %),3,600,200,0,0,0,600
06/02/2024,33.5 ( 0 %),2,500,250,0,0,0,500
05/02/2024,33.5 ( 0 %),3,600,200,0,0,0,600
02/02/2024,33.5 ( 0 %),3,600,200,0,0,0,600
01/02/2024,33.5 ( 0 %),3,600,200,0,0,0,600
