date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
12/09/2024,46.8(-9.83 %),0,0,0,0,0,0,"2,545,381",21.81%
11/09/2024,51.9(-9.90 %),-100,-0.01,0,0,100,0.01,"2,545,281",21.81%
10/09/2024,57.6(6.67 %),900,0.04,"1,000",0.05,100,0,"2,545,281",21.81%
09/09/2024,54(8.22 %),0,0,0,0,0,0,"2,546,181",21.8%
06/09/2024,49.9(-4.59 %),900,0.04,"1,000",0.05,100,0,"2,546,081",21.8%
05/09/2024,52.3(9.19 %),400,0.02,500,0.02,100,0,"2,546,981",21.79%
04/09/2024,47.9(-2.24 %),-100,-0,0,0,100,0,"2,547,381",21.78%
30/08/2024,49(9.13 %),900,0.04,"1,000",0.04,100,0,"2,547,281",21.79%
29/08/2024,45.8(9.83 %),-100,-0,0,0,100,0,"2,548,281",21.77%
28/08/2024,41.7(9.74 %),500,0.02,500,0.02,0,0,"2,548,281",21.77%
27/08/2024,38(0.00 %),0,0,0,0,0,0,"2,548,781",21.77%
26/08/2024,38(4.40 %),0,0,0,0,0,0,"2,548,781",21.77%
23/08/2024,36.4(0.00 %),0,0,0,0,0,0,"2,548,781",21.77%
22/08/2024,36.4(0.00 %),0,0,0,0,0,0,"2,548,781",21.77%
21/08/2024,36.4(0.00 %),0,0,0,0,0,0,"2,548,781",21.77%
20/08/2024,36.4(0.00 %),0,0,0,0,0,0,"2,548,781",21.77%
19/08/2024,36.4(0.00 %),0,0,0,0,0,0,"2,548,781",21.77%
16/08/2024,36.4(0.83 %),0,0,0,0,0,0,"2,548,781",21.77%
15/08/2024,36.1(0.00 %),0,0,0,0,0,0,"2,548,781",21.77%
14/08/2024,36.1(0.00 %),0,0,0,0,0,0,"2,548,781",21.77%
13/08/2024,36.1(0.00 %),0,0,0,0,0,0,"2,548,781",21.77%
12/08/2024,36.1(0.00 %),0,0,0,0,0,0,"2,548,781",21.77%
09/08/2024,36.1(0.00 %),0,0,0,0,0,0,"2,548,781",21.77%
08/08/2024,36.1(0.00 %),0,0,0,0,0,0,"2,548,781",21.77%
07/08/2024,36.1(0.00 %),0,0,0,0,0,0,"2,548,681",21.77%
06/08/2024,36.1(-0.28 %),0,0,100,0,100,0,"2,548,681",21.77%
05/08/2024,36.2(0.00 %),0,0,0,0,0,0,"2,548,781",21.77%
02/08/2024,36.2(0.00 %),0,0,0,0,0,0,"2,548,781",21.77%
01/08/2024,36.2(0.00 %),0,0,0,0,0,0,"2,548,781",21.77%
31/07/2024,36.2(0.00 %),0,0,0,0,0,0,"2,548,781",21.77%
30/07/2024,36.2(0.00 %),0,0,0,0,0,0,"2,548,781",21.77%
29/07/2024,36.2(0.00 %),0,0,0,0,0,0,"2,548,781",21.77%
24/07/2024,40.1(9.86 %),0,0,0,0,0,0,"2,548,681",21.77%
23/07/2024,36.5(0.00 %),0,0,0,0,0,0,"2,548,681",21.77%
