date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,2.2,--,0(0.00 %),0,0,0,0,2.2,2.2,2.2
11/09/2024,2.2,--,0(0.00 %),0,0,0,0,2.2,2.2,2.2
10/09/2024,2.2,--,0(0.00 %),0,0,0,0,2.2,2.2,2.2
09/09/2024,2.2,--,0(0.00 %),0,0,0,0,2.2,2.2,2.2
06/09/2024,2.2,--,0(0.00 %),"9,837",0.02,0,0,2.3,2.3,2.2
05/09/2024,2.2,--,0(0.00 %),0,0,0,0,2.2,2.2,2.2
04/09/2024,2.2,--,0(0.00 %),0,0,0,0,2.2,2.2,2.2
30/08/2024,2.2,--,0.1(4.76 %),"39,408",0.09,0,0,2.2,2.3,2.2
29/08/2024,2.1,--,0(0.00 %),0,0,0,0,2.1,2.1,2.1
28/08/2024,2.1,--,0(0.00 %),0,0,0,0,2.1,2.1,2.1
27/08/2024,2.1,--,0(0.00 %),0,0,0,0,2.1,2.1,2.1
26/08/2024,2.1,--,0(0.00 %),0,0,0,0,2.1,2.1,2.1
23/08/2024,2.1,--,0.1(5.00 %),"41,547",0.09,0,0,2,2.2,2
22/08/2024,2,--,0(0.00 %),0,0,0,0,2,2,2
21/08/2024,2,--,0(0.00 %),0,0,0,0,2,2,2
20/08/2024,2,--,0(0.00 %),0,0,0,0,2,2,2
19/08/2024,2,--,0(0.00 %),0,0,0,0,2,2,2
16/08/2024,2,--,0(0.00 %),"13,701",0.03,0,0,2,2,1.9
15/08/2024,2,--,0(0.00 %),0,0,0,0,2,2,2
14/08/2024,2,--,0(0.00 %),0,0,0,0,2,2,2
13/08/2024,2,--,0(0.00 %),0,0,0,0,2,2,2
12/08/2024,2,--,0(0.00 %),0,0,0,0,2,2,2
09/08/2024,2,--,0(0.00 %),"31,890",0.06,0,0,2,2.1,1.9
08/08/2024,2,--,0(0.00 %),0,0,0,0,2,2,2
07/08/2024,2,--,0(0.00 %),0,0,0,0,2,2,2
06/08/2024,2,--,0(0.00 %),0,0,0,0,2,2,2
05/08/2024,2,--,0(0.00 %),0,0,0,0,2,2,2
02/08/2024,2,--,-0.2(-9.09 %),"67,356",0.14,0,0,2.1,2.1,2
01/08/2024,2.2,--,0(0.00 %),0,0,0,0,2.2,2.2,2.2
31/07/2024,2.2,--,0(0.00 %),0,0,0,0,2.2,2.2,2.2
30/07/2024,2.2,--,0(0.00 %),0,0,0,0,2.2,2.2,2.2
29/07/2024,2.2,--,0(0.00 %),0,0,0,0,2.2,2.2,2.2
26/07/2024,2.2,--,0(0.00 %),"53,701",0.12,0,0,2.1,2.2,2.1
25/07/2024,2.2,--,0(0.00 %),0,0,0,0,2.2,2.2,2.2
24/07/2024,2.2,--,0(0.00 %),0,0,0,0,2.2,2.2,2.2
23/07/2024,2.2,--,0(0.00 %),0,0,0,0,2.2,2.2,2.2
22/07/2024,2.2,--,0(0.00 %),0,0,0,0,2.2,2.2,2.2
19/07/2024,2.2,--,0(0.00 %),"43,700",0.1,0,0,2.1,2.2,2.1
18/07/2024,2.2,--,0(0.00 %),0,0,0,0,2.2,2.2,2.2
17/07/2024,2.2,--,0(0.00 %),0,0,0,0,2.2,2.2,2.2
16/07/2024,2.2,--,0(0.00 %),0,0,0,0,2.2,2.2,2.2
15/07/2024,2.2,--,0(0.00 %),0,0,0,0,2.2,2.2,2.2
12/07/2024,2.1,--,-0.1(-4.55 %),"119,800",0.26,0,0,2.1,2.2,2.1
11/07/2024,2.2,--,0(0.00 %),0,0,0,0,2.2,2.2,2.2
10/07/2024,2.2,--,0(0.00 %),0,0,0,0,2.2,2.2,2.2
09/07/2024,2.2,--,0(0.00 %),0,0,0,0,2.2,2.2,2.2
08/07/2024,2.2,--,0(0.00 %),0,0,0,0,2.2,2.2,2.2
05/07/2024,2.2,--,-0.1(-4.35 %),"66,180",0.15,0,0,2.2,2.2,2.2
04/07/2024,2.3,--,0(0.00 %),0,0,0,0,2.3,2.3,2.3
03/07/2024,2.3,--,0(0.00 %),0,0,0,0,2.3,2.3,2.3
