date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,42.85,--,-0.25(-0.58 %),"411,200",17.7,0,0,43.1,43.4,42.8
11/09/2024,43.1,--,-0.2(-0.46 %),"351,100",15.13,0,0,43,43.35,42.9
10/09/2024,43.3,--,-0.7(-1.59 %),"1,194,600",51.79,0,0,44,44,43.1
09/09/2024,44,--,-0.8(-1.79 %),"694,600",30.66,0,0,44.65,44.7,43.8
06/09/2024,44.8,--,0.1(0.22 %),"541,100",24.27,0,0,44.8,45.4,44.6
05/09/2024,44.7,--,0(0.00 %),"489,600",21.87,0,0,44.7,44.85,44.5
04/09/2024,44.7,--,-0.8(-1.76 %),"545,800",24.45,0,0,45,45,44.6
30/08/2024,45.5,--,0.15(0.33 %),"257,300",11.62,0,0,45.35,45.5,44.9
29/08/2024,45.35,--,0.15(0.33 %),"357,100",16.17,0,0,45,45.7,45
28/08/2024,45.2,--,-0.4(-0.88 %),"330,300",14.94,0,0,45.3,45.5,45.05
27/08/2024,45.6,--,-0.2(-0.44 %),"587,800",26.64,0,0,45.8,45.8,45
26/08/2024,45.8,--,-0.5(-1.08 %),"518,600",23.82,0,0,46.3,46.4,45.65
23/08/2024,46.3,--,1.5(3.35 %),"1,830,500",83.62,0,0,44.8,46.35,44.55
22/08/2024,44.8,--,0.1(0.22 %),"891,500",39.83,0,0,44.6,45.25,44.2
21/08/2024,44.7,--,0.2(0.45 %),"441,600",19.7,0,0,44.5,45.2,44.3
20/08/2024,44.5,--,0(0.00 %),"1,079,800",47.98,0,0,44.5,44.9,44.05
19/08/2024,44.5,--,0.55(1.25 %),"921,600",40.71,0,0,43.95,44.65,43.5
16/08/2024,43.95,--,1.2(2.81 %),"835,600",36.44,0,0,43.2,44,42.75
15/08/2024,42.75,--,-0.55(-1.27 %),"285,800",12.25,0,0,43.3,43.4,42.7
14/08/2024,43.3,--,0.5(1.17 %),"495,500",21.29,0,0,42.85,43.3,42.7
13/08/2024,42.8,--,-0.5(-1.15 %),"507,200",21.78,"25,000",1.1,43.15,43.6,42.6
12/08/2024,43.3,--,0(0.00 %),"308,100",13.28,0,0,43.3,43.3,42.8
09/08/2024,43.3,--,0.7(1.64 %),"463,500",19.85,0,0,42.65,43.3,42.15
08/08/2024,42.6,--,0.3(0.71 %),"427,000",18.2,0,0,42.05,42.95,42.05
07/08/2024,42.3,--,-0.05(-0.12 %),"308,200",13.02,0,0,42.4,42.6,41.95
06/08/2024,42.35,--,0.45(1.07 %),"541,300",22.77,0,0,42.85,42.85,41.5
05/08/2024,41.9,--,-1.6(-3.68 %),"990,500",42.04,0,0,43,43.15,41.55
02/08/2024,43.5,--,0.7(1.64 %),"635,300",27.08,0,0,42.25,43.5,42.25
01/08/2024,42.8,--,-0.8(-1.83 %),"627,000",27.29,0,0,43.9,44.35,42.7
31/07/2024,43.6,--,0.6(1.40 %),"635,800",27.67,0,0,43,44.1,42.95
30/07/2024,43,--,-0.35(-0.81 %),"427,200",18.35,0,0,43.2,43.2,42.8
29/07/2024,43.35,--,0.15(0.35 %),"325,000",14.08,0,0,43.3,43.55,43.15
26/07/2024,43.2,--,0(0.00 %),"430,600",18.48,0,0,43,43.2,42.7
25/07/2024,43.2,--,0.75(1.77 %),"688,500",29.32,0,0,42.6,43.5,42.15
24/07/2024,42.45,--,-1.05(-2.41 %),"1,568,100",66.76,0,0,43.35,43.75,42.1
23/07/2024,43.5,--,-1.25(-2.79 %),"778,200",34.51,0,0,44.75,44.95,43.5
22/07/2024,44.75,--,-1(-2.19 %),"879,100",39.36,0,0,45.4,45.8,44.05
19/07/2024,45.75,--,-1.25(-2.66 %),"802,700",37.14,0,0,47,47,45.75
18/07/2024,47,--,0.6(1.29 %),"581,100",26.79,0,0,46.15,47,45.1
17/07/2024,46.4,--,-0.1(-0.22 %),"1,426,700",66.53,0,0,46.8,47.3,44.3
16/07/2024,46.5,--,0.45(0.98 %),"741,600",34.47,0,0,46.45,46.8,46.2
15/07/2024,46.05,--,0.55(1.21 %),"429,700",19.74,0,0,45.5,46.1,45.5
12/07/2024,45.5,--,-0.6(-1.30 %),"582,200",26.75,0,0,46.45,46.45,45.5
11/07/2024,46.1,--,-0.5(-1.07 %),"584,000",27.18,0,0,46.9,47,46.1
10/07/2024,46.6,--,-0.9(-1.89 %),"561,200",26.42,0,0,47.5,47.55,46.6
09/07/2024,47.5,--,1.2(2.59 %),"1,139,000",53.86,0,0,46.4,47.9,46.1
08/07/2024,46.3,--,-0.1(-0.22 %),"930,700",42.89,0,0,46.5,47,45
05/07/2024,46.4,--,-0.45(-0.96 %),"696,700",32.58,0,0,47.1,47.25,46.4
04/07/2024,46.85,--,-0.15(-0.32 %),"598,800",28.2,0,0,46.8,47.8,46.7
03/07/2024,47,--,-0.6(-1.26 %),"647,400",30.54,0,0,48,48,46.8
02/07/2024,47.6,--,1.2(2.59 %),"1,653,400",78.52,0,0,46.7,48.1,46.6
01/07/2024,46.4,--,0.4(0.87 %),"399,000",18.38,0,0,45.75,46.4,45.75
28/06/2024,46,--,0(0.00 %),"1,077,100",49.62,0,0,46.7,46.7,45.3
27/06/2024,46,--,1.25(2.79 %),"2,351,900",109.34,0,0,44.75,47.45,44.35
26/06/2024,44.75,--,-0.05(-0.11 %),"279,000",12.42,0,0,44.5,44.8,44
25/06/2024,44.8,--,0.3(0.67 %),"358,300",15.95,0,0,44.5,44.8,44.1
24/06/2024,44.5,--,-0.65(-1.44 %),"896,400",39.57,0,0,45.15,45.6,43.3
21/06/2024,45.15,--,-0.1(-0.22 %),"584,900",26.49,0,0,45.1,45.8,45.1
20/06/2024,45.25,--,-0.55(-1.20 %),"726,500",33.1,0,0,45.8,46.2,45
19/06/2024,45.8,--,0.4(0.88 %),"503,200",22.97,0,0,45.5,46,45.2
18/06/2024,45.4,--,1.1(2.48 %),"756,500",34.18,0,0,45.2,45.55,44.5
17/06/2024,44.3,--,-0.2(-0.45 %),"601,700",26.75,0,0,44.5,44.9,44.1
14/06/2024,44.5,--,-1.25(-2.73 %),"707,900",32.28,0,0,45.7,46.25,44.5
13/06/2024,45.75,--,-0.45(-0.97 %),"1,345,200",61.48,0,0,46.25,46.4,45.45
12/06/2024,46.2,--,0.55(1.20 %),"559,700",25.58,0,0,45.25,46.5,45.2
11/06/2024,45.65,--,-0.65(-1.40 %),"1,025,700",46.95,0,0,46.3,46.5,45.3
10/06/2024,46.3,--,-0.1(-0.22 %),"1,126,800",52.69,0,0,46.75,47.1,46.25
07/06/2024,46.4,--,-0.1(-0.22 %),"829,000",38.63,0,0,46.8,47.4,45.95
06/06/2024,46.5,--,-0.75(-1.59 %),"916,400",43.39,0,0,47.25,47.85,46.5
05/06/2024,47.25,--,1.4(3.05 %),"2,402,500",114.23,0,0,45.9,48.3,45.9
04/06/2024,45.85,--,0.5(1.10 %),"997,300",45.69,0,0,45.5,46.4,45.2
03/06/2024,45.35,--,0.5(1.11 %),"659,300",30.03,0,0,45.6,46.3,45
31/05/2024,44.85,--,-0.15(-0.33 %),"922,900",42.02,0,0,45,46.4,44.85
30/05/2024,45,--,-0.6(-1.32 %),"1,906,600",85.67,0,0,45.5,45.5,44.3
29/05/2024,45.6,--,-1.4(-2.98 %),"1,257,800",58.1,0,0,47.2,47.2,45.5
28/05/2024,47,--,0.6(1.29 %),"1,528,300",71.19,0,0,46.45,47.35,45.85
27/05/2024,46.4,--,1.8(4.04 %),"2,540,600",116.51,0,0,44.6,46.9,44.6
24/05/2024,44.6,--,0(0.00 %),"1,772,000",79.28,0,0,45,46,43.75
23/05/2024,44.6,--,2.9(6.95 %),"2,686,300",117.34,0,0,41.6,44.6,41.55
22/05/2024,41.7,--,-0.45(-1.07 %),"482,800",20.23,0,0,42.3,42.4,41.6
21/05/2024,42.15,--,-0.2(-0.47 %),"658,000",27.84,0,0,42.4,42.9,41.75
20/05/2024,42.35,--,1.5(3.67 %),"1,061,000",44.51,0,0,41.5,42.65,40.95
17/05/2024,40.85,--,0.05(0.12 %),"286,900",11.69,0,0,40.8,40.9,40.55
16/05/2024,40.8,--,0.25(0.62 %),"193,900",7.91,0,0,41,41,40.65
15/05/2024,40.55,--,0.15(0.37 %),"185,400",7.51,0,0,40.35,40.7,40.35
14/05/2024,40.4,--,-0.05(-0.12 %),"162,600",6.57,0,0,40.45,40.75,40.1
13/05/2024,40.45,--,-0.25(-0.61 %),"145,900",5.93,0,0,40.7,41.2,40.45
10/05/2024,40.7,--,-0.25(-0.61 %),"244,000",9.97,0,0,40.9,41.5,40.55
09/05/2024,40.95,--,-0.15(-0.36 %),"235,600",9.68,0,0,41.3,41.5,40.6
08/05/2024,41.1,--,-0.3(-0.72 %),"332,400",13.67,0,0,40.95,41.55,40.8
07/05/2024,41.4,--,0.85(2.10 %),"596,900",24.46,0,0,40.55,41.55,40.55
06/05/2024,40.55,--,0.55(1.38 %),"246,300",9.94,0,0,40.05,40.55,40
03/05/2024,40,--,-0.1(-0.25 %),"297,400",11.95,0,0,40.1,40.7,39.95
02/05/2024,40.1,--,0.65(1.65 %),"359,200",14.35,0,0,39.45,40.5,39.45
26/04/2024,39.45,--,0.15(0.38 %),"303,900",11.91,"51,000",2,39.2,39.45,38.9
25/04/2024,39.3,--,-0.3(-0.76 %),"154,300",6.06,"30,000",1.18,39.45,39.7,39.2
24/04/2024,39.6,--,0.35(0.89 %),"239,800",9.45,0,0,39.25,39.65,39.05
23/04/2024,39.25,--,-0.35(-0.88 %),"209,900",8.22,"26,000",1.03,39.6,39.6,38.9
22/04/2024,39.6,--,1.1(2.86 %),"446,700",17.69,0,0,39.5,40.05,38.55
19/04/2024,38.5,--,-0.1(-0.26 %),"606,400",23.39,0,0,38.6,38.95,38.2
17/04/2024,38.6,--,-0.75(-1.91 %),"779,300",30.44,0,0,39.45,40,38.55
16/04/2024,39.35,--,-0.35(-0.88 %),"618,000",24.43,0,0,39.9,40,39.2
15/04/2024,39.7,--,-2.2(-5.25 %),"405,000",16.5,0,0,41.8,41.8,39.5
12/04/2024,41.9,--,0.45(1.09 %),"132,400",5.52,0,0,41.8,41.9,41.3
11/04/2024,41.45,--,-0.1(-0.24 %),"173,600",7.18,0,0,41.55,41.55,41.25
10/04/2024,41.55,--,0(0.00 %),"233,000",9.7,0,0,41.55,41.85,41.5
09/04/2024,41.55,--,0(0.00 %),"302,900",12.6,0,0,41.7,41.95,41.3
08/04/2024,41.55,--,-0.15(-0.36 %),"323,700",13.47,0,0,41.7,42,41.45
05/04/2024,41.7,--,-0.4(-0.95 %),"274,700",11.48,0,0,41.9,42,41.7
04/04/2024,42.1,--,-0.2(-0.47 %),"199,200",8.41,0,0,42.35,42.6,42
03/04/2024,42.3,--,-0.1(-0.24 %),"273,000",11.61,0,0,42.4,42.95,42
02/04/2024,42.4,--,0(0.00 %),"486,000",20.45,0,0,42.4,42.4,41.9
01/04/2024,42.4,--,-0.35(-0.82 %),"268,000",11.4,0,0,42.8,42.95,42.35
29/03/2024,42.75,--,-0.55(-1.27 %),"526,100",22.55,0,0,43.4,43.4,42.65
28/03/2024,43.3,--,0(0.00 %),"389,700",16.87,0,0,43.3,43.55,43.2
27/03/2024,43.3,--,0.4(0.93 %),"546,900",23.56,0,0,42.9,43.3,42.7
26/03/2024,42.9,--,0.1(0.23 %),"297,100",12.71,0,0,43.05,43.05,42.65
25/03/2024,42.8,--,0.3(0.71 %),"728,400",31.22,0,0,42.5,43.3,42.4
22/03/2024,42.5,--,-0.3(-0.70 %),"439,900",18.75,0,0,42.95,42.95,42.35
21/03/2024,42.8,--,0.55(1.30 %),"492,200",21,0,0,42.55,42.9,42.45
20/03/2024,42.25,--,0.25(0.60 %),"280,700",11.83,0,0,42.05,42.4,41.8
19/03/2024,42,--,0(0.00 %),"195,700",8.24,0,0,42,42.35,41.9
