date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,42.85(-0.58 %),"-52,100",-2.24,"3,700",0.16,"55,800",2.4,"167,416,094",26.45%,bvh
11/09/2024,43.1(-0.46 %),"-26,500",-1.14,"3,000",0.13,"29,500",1.27,"167,358,195",26.45%,bvh
10/09/2024,43.3(-1.59 %),"182,100",7.89,"243,200",10.54,"61,100",2.65,"167,332,195",26.46%,bvh
09/09/2024,44(-1.79 %),0,0.0,0,0.0,0,0.0,"167,572,495",26.43%,bvh
06/09/2024,44.8(0.22 %),-900,-0.04,"3,000",0.13,"3,900",0.17,"167,549,795",26.43%,bvh
05/09/2024,44.7(0.00 %),"123,100",5.5,"170,200",7.6,"47,100",2.1,"167,494,665",26.44%,bvh
04/09/2024,44.7(-1.76 %),"-56,700",-2.54,"1,400",0.06,"58,100",2.61,"167,619,165",26.42%,bvh
30/08/2024,45.5(0.33 %),"-32,000",-1.45,"13,700",0.62,"45,700",2.06,"167,556,805",26.43%,bvh
29/08/2024,45.35(0.33 %),"-29,800",-1.36,"33,900",1.53,"63,700",2.89,"167,506,375",26.43%,bvh
28/08/2024,45.2(-0.88 %),"-54,600",-2.47,"9,500",0.43,"64,100",2.9,"167,506,585",26.43%,bvh
27/08/2024,45.6(-0.44 %),"-23,100",-1.05,"9,000",0.41,"32,100",1.46,"167,485,685",26.44%,bvh
26/08/2024,45.8(-1.08 %),"-4,600",-0.21,"25,700",1.18,"30,300",1.4,"167,473,265",26.44%,bvh
23/08/2024,46.3(3.35 %),"154,000",7.04,"175,400",8.02,"21,400",0.98,"167,445,565",26.44%,bvh
22/08/2024,44.8(0.22 %),"21,000",0.94,"74,400",3.32,"53,400",2.38,"167,604,865",26.42%,bvh
21/08/2024,44.7(0.45 %),600,0.02,"16,700",0.74,"16,100",0.72,"167,634,475",26.42%,bvh
20/08/2024,44.5(0.00 %),"-29,500",-1.31,"15,200",0.68,"44,700",1.98,"167,601,473",26.42%,bvh
19/08/2024,44.5(1.25 %),"71,100",3.15,"101,300",4.48,"30,200",1.33,"167,601,473",26.42%,bvh
16/08/2024,43.95(2.81 %),"76,700",3.36,"111,400",4.86,"34,700",1.5,"167,662,175",26.41%,bvh
15/08/2024,42.75(-1.27 %),"12,500",0.53,"53,100",2.27,"40,600",1.74,"167,726,875",26.41%,bvh
14/08/2024,43.3(1.17 %),"-44,300",-1.9,"2,400",0.1,"46,700",2.0,"167,678,205",26.41%,bvh
