ticker,date,buy_volume,buy_value_bil_vnd,sell_volume,sell_value_bil_vnd,net_trading_volume,net_trading_value_bil_vnd
BVH,12/09/2024,"33,400",1.44,"1,700",0.07,"31,700",1.37
BVH,11/09/2024,"36,600",1.58,"1,400",0.06,"35,200",1.52
BVH,10/09/2024,"77,000",3.35,"3,200",0.14,"73,800",3.21
BVH,09/09/2024,"10,700",0.47,"2,900",0.13,"7,800",0.34
BVH,06/09/2024,"8,100",0.36,"17,500",0.79,"-9,400",-0.42
BVH,05/09/2024,"2,200",0.1,"9,000",0.4,"-6,800",-0.3
BVH,04/09/2024,0,0,"16,700",0.75,"-16,700",-0.75
BVH,30/08/2024,"8,500",0.38,0,0,"8,500",0.38
BVH,29/08/2024,"2,700",0.12,"4,400",0.2,"-1,700",-0.08
BVH,28/08/2024,"5,600",0.25,"5,000",0.23,600,0.03
BVH,27/08/2024,700,0.03,"13,700",0.62,"-13,000",-0.59
BVH,26/08/2024,"2,600",0.12,"2,500",0.12,100,0
BVH,23/08/2024,"5,400",0.25,"52,000",2.38,"-46,600",-2.13
BVH,22/08/2024,"5,100",0.23,"4,800",0.21,300,0.01
BVH,21/08/2024,"5,300",0.24,"5,500",0.25,-200,-0.01
BVH,20/08/2024,"6,500",0.29,"1,800",0.08,"4,700",0.21
BVH,19/08/2024,"5,700",0.25,"35,800",1.58,"-30,100",-1.33
BVH,16/08/2024,"6,300",0.27,"28,100",1.22,"-21,800",-0.95
BVH,15/08/2024,"2,400",0.1,"9,400",0.4,"-7,000",-0.3
BVH,14/08/2024,"2,900",0.12,"20,800",0.89,"-17,900",-0.77
BVH,13/08/2024,"6,100",0.26,"4,300",0.19,"1,800",0.08
BVH,12/08/2024,"3,400",0.15,"8,400",0.36,"-5,000",-0.21
BVH,09/08/2024,"1,300",0.06,"23,500",1.01,"-22,200",-0.95
BVH,08/08/2024,"2,800",0.12,"23,700",1.01,"-20,900",-0.89
BVH,07/08/2024,"21,300",0.9,"4,500",0.19,"16,800",0.7
BVH,06/08/2024,"8,500",0.36,"10,400",0.44,"-1,900",-0.08
BVH,05/08/2024,"104,100",4.42,"17,000",0.72,"87,100",3.7
BVH,02/08/2024,"12,000",0.51,"12,700",0.54,-700,-0.03
BVH,01/08/2024,"27,200",1.19,"19,000",0.82,"8,200",0.36
BVH,31/07/2024,"6,600",0.29,"32,000",1.39,"-25,400",-1.1
BVH,30/07/2024,"8,100",0.35,"6,100",0.26,"2,000",0.09
BVH,29/07/2024,400,0.02,"8,500",0.37,"-8,100",-0.35
BVH,26/07/2024,"22,700",0.98,"11,700",0.5,"11,000",0.47
BVH,25/07/2024,"6,300",0.27,"7,500",0.32,"-1,200",-0.05
BVH,24/07/2024,"48,300",2.06,"13,500",0.58,"34,800",1.48
BVH,23/07/2024,"22,700",1.01,"143,400",6.36,"-120,700",-5.35
BVH,22/07/2024,"32,100",1.44,"14,700",0.66,"17,400",0.77
BVH,19/07/2024,"2,600",0.12,"11,900",0.55,"-9,300",-0.43
BVH,18/07/2024,"23,100",1.06,"40,300",1.84,"-17,200",-0.77
BVH,17/07/2024,"22,000",1.03,"34,600",1.62,"-12,600",-0.6
BVH,16/07/2024,"10,300",0.48,"16,200",0.75,"-5,900",-0.27
BVH,15/07/2024,"2,000",0.09,"25,700",1.18,"-23,700",-1.09
BVH,12/07/2024,"3,400",0.16,"15,700",0.72,"-12,300",-0.56
BVH,11/07/2024,"11,600",0.54,"1,200",0.06,"10,400",0.49
BVH,10/07/2024,"9,400",0.44,"1,400",0.07,"8,000",0.38
BVH,09/07/2024,"11,500",0.54,"24,600",1.16,"-13,100",-0.62
BVH,08/07/2024,"3,800",0.18,"17,100",0.79,"-13,300",-0.61
BVH,05/07/2024,"4,100",0.19,"15,000",0.7,"-10,900",-0.51
BVH,04/07/2024,"4,400",0.21,"17,600",0.83,"-13,200",-0.63
BVH,03/07/2024,"8,400",0.4,"4,600",0.22,"3,800",0.18
BVH,02/07/2024,"1,200",0.06,"55,800",2.65,"-54,600",-2.59
BVH,01/07/2024,"4,000",0.18,"7,700",0.36,"-3,700",-0.17
BVH,28/06/2024,"11,900",0.55,"37,600",1.74,"-25,700",-1.19
BVH,27/06/2024,"5,000",0.23,"71,700",3.31,"-66,700",-3.08
BVH,26/06/2024,"5,400",0.24,"7,300",0.33,"-1,900",-0.09
BVH,25/06/2024,"11,500",0.51,"26,500",1.18,"-15,000",-0.67
BVH,24/06/2024,"21,500",0.95,"9,100",0.4,"12,400",0.55
BVH,21/06/2024,"20,200",0.91,"19,300",0.87,900,0.04
BVH,20/06/2024,"20,800",0.94,"9,700",0.44,"11,100",0.5
BVH,19/06/2024,"18,700",0.85,"7,300",0.33,"11,400",0.52
BVH,18/06/2024,"8,000",0.36,"3,300",0.15,"4,700",0.21
BVH,17/06/2024,"18,500",0.82,"6,400",0.29,"12,100",0.54
BVH,14/06/2024,"9,400",0.42,"5,500",0.25,"3,900",0.17
BVH,13/06/2024,"30,500",1.39,"271,000",12.38,"-240,500",-10.99
BVH,12/06/2024,"21,400",0.97,"8,800",0.4,"12,600",0.57
BVH,11/06/2024,"2,200",0.1,"5,100",0.23,"-2,900",-0.13
BVH,10/06/2024,"30,500",1.43,"21,700",1.02,"8,800",0.41
BVH,07/06/2024,"34,100",1.59,"3,900",0.18,"30,200",1.41
BVH,06/06/2024,"270,900",12.86,"8,200",0.39,"262,700",12.47
BVH,05/06/2024,"56,100",2.66,"116,800",5.55,"-60,700",-2.9
BVH,04/06/2024,"1,600",0.07,"26,200",1.2,"-24,600",-1.13
BVH,03/06/2024,"7,100",0.32,"7,500",0.35,-400,-0.02
BVH,31/05/2024,"3,100",0.14,"12,400",0.57,"-9,300",-0.43
BVH,30/05/2024,"5,300",0.24,"6,900",0.31,"-1,600",-0.07
BVH,29/05/2024,"93,700",4.34,"47,100",2.16,"46,600",2.18
BVH,28/05/2024,"3,900",0.18,"27,200",1.27,"-23,300",-1.08
BVH,27/05/2024,"2,600",0.12,"19,900",0.9,"-17,300",-0.78
BVH,24/05/2024,"5,600",0.25,"25,400",1.14,"-19,800",-0.89
BVH,23/05/2024,"67,700",2.99,"32,000",1.41,"35,700",1.59
BVH,22/05/2024,"8,100",0.34,"8,000",0.34,100,0
BVH,21/05/2024,"2,600",0.11,"5,100",0.22,"-2,500",-0.11
BVH,20/05/2024,"11,300",0.47,"2,100",0.09,"9,200",0.39
BVH,17/05/2024,"3,500",0.14,"2,800",0.11,700,0.03
BVH,16/05/2024,"10,100",0.41,"6,300",0.26,"3,800",0.15
BVH,15/05/2024,"3,900",0.16,200,0.01,"3,700",0.15
BVH,14/05/2024,200,0.01,"17,100",0.69,"-16,900",-0.68
BVH,13/05/2024,"5,400",0.22,"8,600",0.35,"-3,200",-0.13
BVH,10/05/2024,"5,900",0.24,"6,500",0.27,-600,-0.02
BVH,09/05/2024,"30,300",1.25,600,0.02,"29,700",1.22
BVH,08/05/2024,"2,000",0.08,"3,800",0.16,"-1,800",-0.07
BVH,07/05/2024,"5,000",0.21,500,0.02,"4,500",0.19
BVH,06/05/2024,"2,200",0.09,900,0.04,"1,300",0.05
BVH,03/05/2024,500,0.02,"5,200",0.21,"-4,700",-0.19
BVH,02/05/2024,100,0,"2,000",0.08,"-1,900",-0.08
BVH,26/04/2024,"1,300",0.05,"91,500",3.57,"-90,200",-3.52
BVH,25/04/2024,"5,500",0.22,"88,200",3.46,"-82,700",-3.25
BVH,24/04/2024,"12,600",0.5,"54,100",2.13,"-41,500",-1.63
BVH,23/04/2024,900,0.04,"13,500",0.53,"-12,600",-0.49
BVH,22/04/2024,"67,700",2.67,"8,900",0.35,"58,800",2.31
BVH,19/04/2024,"8,500",0.33,"5,500",0.21,"3,000",0.12
BVH,17/04/2024,"4,200",0.17,"2,200",0.09,"2,000",0.08
BVH,16/04/2024,"25,000",0.99,"2,500",0.1,"22,500",0.89
BVH,15/04/2024,"18,000",0.74,"2,600",0.11,"15,400",0.64
BVH,12/04/2024,"12,600",0.53,900,0.04,"11,700",0.49
BVH,11/04/2024,"2,800",0.12,"2,500",0.1,300,0.01
BVH,10/04/2024,"1,700",0.07,"11,500",0.48,"-9,800",-0.41
BVH,09/04/2024,"4,700",0.2,"2,000",0.08,"2,700",0.11
BVH,08/04/2024,"16,700",0.7,"6,400",0.27,"10,300",0.43
BVH,05/04/2024,"5,300",0.22,"3,300",0.14,"2,000",0.08
BVH,04/04/2024,"23,900",1.01,"4,700",0.2,"19,200",0.81
BVH,03/04/2024,0,0,"18,000",0.77,"-18,000",-0.77
BVH,02/04/2024,"10,700",0.45,"107,900",4.54,"-97,200",-4.09
BVH,01/04/2024,"46,000",1.96,"4,800",0.2,"41,200",1.76
BVH,29/03/2024,"14,500",0.62,"4,100",0.18,"10,400",0.45
BVH,28/03/2024,"7,200",0.31,"5,000",0.22,"2,200",0.1
BVH,27/03/2024,"23,700",1.02,"10,200",0.44,"13,500",0.58
BVH,26/03/2024,"9,500",0.41,900,0.04,"8,600",0.37
BVH,25/03/2024,"7,500",0.32,"12,400",0.53,"-4,900",-0.21
BVH,22/03/2024,"26,800",1.14,"11,400",0.49,"15,400",0.65
BVH,21/03/2024,"69,200",2.95,"4,000",0.17,"65,200",2.78
BVH,20/03/2024,"80,600",3.41,"10,000",0.42,"70,600",2.99
BVH,19/03/2024,"34,900",1.47,"11,900",0.5,"23,000",0.97
BVH,18/03/2024,"43,200",1.82,"7,900",0.34,"35,300",1.48
BVH,15/03/2024,"34,100",1.47,"123,200",5.3,"-89,100",-3.83
BVH,14/03/2024,"43,300",1.89,"15,000",0.66,"28,300",1.24
BVH,13/03/2024,"11,100",0.48,"23,500",1.02,"-12,400",-0.54
BVH,12/03/2024,"99,100",4.28,"39,900",1.73,"59,200",2.55
BVH,11/03/2024,"68,300",3,"37,500",1.65,"30,800",1.35
BVH,08/03/2024,"6,300",0.28,"39,700",1.78,"-33,400",-1.5
BVH,07/03/2024,"7,300",0.32,"35,000",1.53,"-27,700",-1.21
BVH,06/03/2024,"7,500",0.33,"14,500",0.63,"-7,000",-0.3
BVH,05/03/2024,"124,400",5.36,"14,300",0.62,"110,100",4.74
BVH,04/03/2024,"4,100",0.18,"29,100",1.26,"-25,000",-1.08
BVH,01/03/2024,"9,900",0.42,"2,700",0.12,"7,200",0.31
BVH,29/02/2024,"4,600",0.2,400,0.02,"4,200",0.18
BVH,28/02/2024,"5,200",0.22,"5,200",0.22,0,0
BVH,27/02/2024,0,0,"14,700",0.62,"-14,700",-0.62
BVH,26/02/2024,"6,100",0.26,"31,100",1.31,"-25,000",-1.05
