date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,14.4,--,0(0.00 %),0,0,0,0,14.4,14.4,14.4
11/09/2024,14.4,--,0(0.00 %),0,0,0,0,14.4,14.4,14.4
10/09/2024,14.4,--,0(0.00 %),0,0,0,0,14.4,14.4,14.4
09/09/2024,14.4,--,0.9(6.67 %),100,0,0,0,14.4,14.4,14.4
06/09/2024,13.5,--,-2.1(-13.46 %),300,0,0,0,13.5,13.5,13.5
05/09/2024,15.6,--,0(0.00 %),0,0,0,0,15.6,15.6,15.6
04/09/2024,17,--,2.2(14.86 %),600,0.01,0,0,17,17,12.7
30/08/2024,13.9,--,-0.6(-4.14 %),300,0,0,0,16.6,16.6,13.9
29/08/2024,14.5,--,0.5(3.57 %),100,0,0,0,14.5,14.5,14.5
28/08/2024,14,--,0(0.00 %),0,0,0,0,14,14,14
27/08/2024,14,--,-0.1(-0.71 %),100,0,0,0,14,14,14
26/08/2024,14.5,--,1.6(12.40 %),500,0.01,0,0,14.5,14.5,12.7
23/08/2024,12.7,--,-1.7(-11.81 %),"2,200",0.03,0,0,16.5,16.5,12.7
22/08/2024,14.4,--,0(0.00 %),0,0,0,0,14.4,14.4,14.4
21/08/2024,14.4,--,-0.1(-0.69 %),204,0,0,0,14.4,14.4,14.4
20/08/2024,14.5,--,-2.5(-14.71 %),"5,400",0.08,0,0,14.5,14.5,14.5
19/08/2024,17,--,0(0.00 %),4,0,0,0,17,17,17
16/08/2024,17,--,0(0.00 %),2,0,0,0,17,17,17
15/08/2024,17,--,2.1(14.09 %),100,0,0,0,17,17,17
14/08/2024,14.6,--,-0.3(-2.01 %),1,0,0,0,14.9,14.9,14.9
13/08/2024,14.6,--,-0.2(-1.35 %),402,0.01,0,0,15.8,15.8,14.5
12/08/2024,14.8,--,0.9(6.47 %),"1,204",0.02,0,0,14.8,14.8,14.8
09/08/2024,13.9,--,1.2(9.45 %),100,0,0,0,13.9,13.9,13.9
08/08/2024,12.7,--,-2.1(-14.19 %),111,0,0,0,12.7,12.7,12.7
07/08/2024,14.8,--,0(0.00 %),0,0,0,0,14.8,14.8,14.8
06/08/2024,14.8,--,0(0.00 %),5,0,0,0,14.8,14.8,14.8
05/08/2024,14.8,--,0.5(3.50 %),103,0,0,0,14.8,14.8,14.8
02/08/2024,14.3,--,0.5(3.62 %),100,0,0,0,14.3,14.3,14.3
01/08/2024,13.8,--,0.8(6.15 %),100,0,0,0,13.8,13.8,13.8
31/07/2024,13,--,0.8(6.56 %),"2,000",0.03,0,0,13,13,13
30/07/2024,12.2,--,0(0.00 %),0,0,0,0,12.2,12.2,12.2
29/07/2024,12.2,--,0(0.00 %),0,0,0,0,12.2,12.2,12.2
26/07/2024,12.2,--,0(0.00 %),0,0,0,0,12.2,12.2,12.2
25/07/2024,12.2,--,-0.8(-6.15 %),600,0.01,0,0,12.2,12.2,12.2
24/07/2024,13,--,0(0.00 %),0,0,0,0,13,13,13
23/07/2024,13,--,0.6(4.84 %),"4,000",0.05,0,0,13,13,13
22/07/2024,12.4,--,-1.7(-12.06 %),100,0,0,0,12.4,12.4,12.4
19/07/2024,14.1,--,0(0.00 %),0,0,0,0,14.1,14.1,14.1
18/07/2024,14.1,--,1.1(8.46 %),614,0.01,0,0,13.8,14.1,13.8
17/07/2024,13,--,0(0.00 %),0,0,0,0,13,13,13
16/07/2024,13,--,0(0.00 %),0,0,0,0,13,13,13
15/07/2024,13,--,0(0.00 %),0,0,0,0,13,13,13
12/07/2024,13,--,0(0.00 %),0,0,0,0,13,13,13
11/07/2024,13,--,0(0.00 %),101,0,0,0,13,13,13
10/07/2024,13,--,-1.3(-9.09 %),200,0,0,0,13,13,13
09/07/2024,14.3,--,0(0.00 %),0,0,0,0,14.3,14.3,14.3
08/07/2024,14.3,--,0(0.00 %),0,0,0,0,14.3,14.3,14.3
05/07/2024,14.3,--,0(0.00 %),0,0,0,0,14.3,14.3,14.3
04/07/2024,14.3,--,1.3(10.00 %),100,0,0,0,14.3,14.3,14.3
03/07/2024,13,--,0(0.00 %),0,0,0,0,13,13,13
02/07/2024,13,--,0(0.00 %),100,0,0,0,13,13,13
01/07/2024,13,--,-1.8(-12.16 %),800,0.01,0,0,13,13,13
28/06/2024,14.8,--,1.8(13.85 %),100,0,0,0,14.8,14.8,14.8
27/06/2024,13,--,0(0.00 %),413,0.01,0,0,13.1,13.1,13
