date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,14.4 ( 0 %),3,"3,200","1,066.67",7,"2,200",314,"1,000"
11/09/2024,14.4 ( 0 %),3,"51,200","17,066.67",8,"1,300",162,"49,900"
10/09/2024,14.4 ( 0 %),3,"52,200","17,400",7,"1,600",229,"50,600"
09/09/2024,14.4 ( 6.67 %),6,"3,000",500,7,"3,500",500,-500
06/09/2024,13.5 ( -13.46 %),2,300,150,11,"3,900",355,"-3,600"
05/09/2024,15.6 ( 0 %),0,0,0,6,"3,300",550,"-3,300"
04/09/2024,17 ( 14.86 %),14,"52,600","3,757.14",5,"3,100",620,"49,500"
30/08/2024,13.9 ( -4.14 %),5,"1,500",300,11,"10,900",991,"-9,400"
29/08/2024,14.5 ( 3.57 %),5,"4,300",860,6,"7,800","1,300","-3,500"
28/08/2024,14 ( 0 %),4,"7,200","1,800",5,"7,500","1,500",-300
27/08/2024,14 ( -0.71 %),4,"2,200",550,3,"5,900","1,967","-3,700"
26/08/2024,14.5 ( 12.4 %),9,"5,200",577.78,6,"5,600",933,-400
23/08/2024,12.7 ( -11.81 %),10,"5,700",570,12,"9,800",817,"-4,100"
22/08/2024,14.4 ( 0 %),4,"3,300",825,8,"9,400","1,175","-6,100"
21/08/2024,14.4 ( -0.69 %),5,"2,500",500,4,"2,100",525,400
20/08/2024,14.5 ( -14.71 %),3,"5,400","1,800",9,"13,200","1,467","-7,800"
19/08/2024,17 ( 0 %),0,0,0,6,"7,700","1,283","-7,700"
16/08/2024,17 ( 0 %),0,0,0,10,"13,000","1,300","-13,000"
15/08/2024,17 ( 14.09 %),4,"5,200","1,300",13,"13,600","1,046","-8,400"
14/08/2024,14.6 ( -2.01 %),2,300,150,8,"6,400",800,"-6,100"
13/08/2024,14.6 ( -1.35 %),7,"102,600","14,657.14",6,"5,900",983,"96,700"
12/08/2024,14.8 ( 6.47 %),7,"53,300","7,614.29",7,"2,800",400,"50,500"
09/08/2024,13.9 ( 9.45 %),4,"4,200","1,050",3,900,300,"3,300"
08/08/2024,12.7 ( -14.19 %),6,"2,900",483.33,5,900,180,"2,000"
07/08/2024,14.8 ( 0 %),2,"50,100","25,050",4,"5,800","1,450","44,300"
06/08/2024,14.8 ( 0 %),1,100,100,5,"9,700","1,940","-9,600"
05/08/2024,14.8 ( 3.5 %),3,800,266.67,5,"9,700","1,940","-8,900"
02/08/2024,14.3 ( 3.62 %),5,"5,800","1,160",4,"7,700","1,925","-1,900"
01/08/2024,13.8 ( 6.15 %),6,"78,300","13,050",3,"5,700","1,900","72,600"
31/07/2024,13 ( 6.56 %),8,"107,400","13,425",2,"2,100","1,050","105,300"
