date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,14.4(0.00 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
11/09/2024,14.4(0.00 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
10/09/2024,14.4(0.00 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
09/09/2024,14.4(6.67 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
06/09/2024,13.5(-13.46 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
05/09/2024,15.6(0.00 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
04/09/2024,17(14.86 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
30/08/2024,13.9(-4.14 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
29/08/2024,14.5(3.57 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
28/08/2024,14(0.00 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
27/08/2024,14(-0.71 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
26/08/2024,14.5(12.40 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
23/08/2024,12.7(-11.81 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
22/08/2024,14.4(0.00 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
21/08/2024,14.4(-0.69 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
20/08/2024,14.5(-14.71 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
19/08/2024,17(0.00 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
16/08/2024,17(0.00 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
15/08/2024,17(14.09 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
14/08/2024,14.6(-2.01 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
13/08/2024,14.6(-1.35 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
12/08/2024,14.8(6.47 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
09/08/2024,13.9(9.45 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
08/08/2024,12.7(-14.19 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
07/08/2024,14.8(0.00 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
06/08/2024,14.8(0.00 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
05/08/2024,14.8(3.50 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
02/08/2024,14.3(3.62 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
01/08/2024,13.8(6.15 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
31/07/2024,13(6.56 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
30/07/2024,12.2(0.00 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
29/07/2024,12.2(0.00 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
24/07/2024,13(0.00 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
23/07/2024,13(4.84 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
22/07/2024,12.4(-12.06 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
19/07/2024,14.1(0.00 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
18/07/2024,14.1(8.46 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
17/07/2024,0(0.00 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
16/07/2024,0(0.00 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
15/07/2024,13(0.00 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
12/07/2024,13(0.00 %),0,0.0,0,0.0,0,0,"2,436,000",0.28%,bvn
11/07/2024,13(0.00 %),100,0.0,100,0.0,0,0,"2,436,000",0.28%,bvn
10/07/2024,13(-9.09 %),200,0.0,200,0.0,0,0,"2,436,100",0.28%,bvn
08/07/2024,14.3(0.00 %),0,0.0,0,0.0,0,0,"2,436,300",0.27%,bvn
04/07/2024,14.3(10.00 %),0,0.0,0,0.0,0,0,"2,436,300",0.27%,bvn
03/07/2024,13(0.00 %),0,0.0,0,0.0,0,0,"2,436,300",0%,bvn
02/07/2024,13(0.00 %),100,0.0,100,0.0,0,0,"2,436,300",0.27%,bvn
