date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,15.6 ( 0 %),2,900,450,0,0,0,900
11/09/2024,15.6 ( 0 %),2,"1,000",500,0,0,0,"1,000"
10/09/2024,15.6 ( 0 %),3,"1,100",366.67,0,0,0,"1,100"
09/09/2024,15.6 ( 0 %),2,"1,000",500,0,0,0,"1,000"
06/09/2024,15.6 ( 0 %),2,"1,000",500,0,0,0,"1,000"
05/09/2024,15.6 ( 0 %),2,"1,000",500,0,0,0,"1,000"
04/09/2024,15.6 ( 0 %),3,900,300,0,0,0,900
30/08/2024,15.6 ( -7.69 %),8,700,87.5,1,100,100,600
29/08/2024,16.9 ( -9.63 %),3,600,200,2,"1,400",700,-800
28/08/2024,18.7 ( -9.66 %),1,100,100,1,100,100,0
27/08/2024,20.7 ( -10 %),1,100,100,4,"1,500",375,"-1,400"
26/08/2024,23 ( 0 %),0,0,0,2,300,150,-300
23/08/2024,23 ( 9.52 %),1,100,100,2,200,100,-100
22/08/2024,21 ( 9.95 %),3,"1,600",533.33,2,300,150,"1,300"
21/08/2024,19.1 ( 9.77 %),9,"7,600",844.44,5,"3,500",700,"4,100"
20/08/2024,17.4 ( -9.38 %),2,100,50,8,"2,800",350,"-2,700"
19/08/2024,19.2 ( 9.71 %),6,300,50,2,"1,700",850,"-1,400"
16/08/2024,17.5 ( 6.06 %),17,"17,000","1,000",6,"16,500","2,750",500
15/08/2024,16.5 ( -5.17 %),6,"8,200","1,366.67",6,"4,600",767,"3,600"
14/08/2024,17.4 ( 9.43 %),2,500,250,1,300,300,200
13/08/2024,15.9 ( 9.66 %),2,800,400,2,300,150,500
12/08/2024,14.5 ( 9.85 %),7,"2,600",371.43,1,500,500,"2,100"
09/08/2024,13.2 ( 0 %),8,800,100,0,0,0,800
08/08/2024,13.2 ( -7.04 %),3,800,266.67,1,100,100,700
07/08/2024,14.2 ( 0 %),6,"1,100",183.33,0,0,0,"1,100"
06/08/2024,14.2 ( -2.74 %),10,"1,700",170,2,400,200,"1,300"
05/08/2024,14.6 ( -7.59 %),4,500,125,2,400,200,100
02/08/2024,15.8 ( -1.25 %),5,"1,300",260,2,600,300,700
01/08/2024,16 ( 0 %),3,500,166.67,1,300,300,200
31/07/2024,16 ( 0 %),6,"1,400",233.33,2,800,400,600
30/07/2024,16 ( 0 %),4,800,200,2,800,400,0
29/07/2024,16 ( 0 %),5,"2,200",440,4,"1,700",425,500
26/07/2024,16 ( 0 %),3,"2,300",766.67,1,300,300,"2,000"
25/07/2024,16 ( 0 %),7,"2,400",342.86,1,300,300,"2,100"
24/07/2024,16 ( 0 %),6,"4,000",666.67,3,"1,700",567,"2,300"
23/07/2024,16 ( 8.11 %),9,"1,800",200,2,"1,700",850,100
22/07/2024,14.8 ( 0 %),4,"2,000",500,1,"1,300","1,300",700
19/07/2024,14.8 ( -8.64 %),7,"2,100",300,3,"1,000",333,"1,100"
18/07/2024,16.2 ( -10 %),1,300,300,6,"1,700",283,"-1,400"
17/07/2024,18 ( 0 %),0,0,0,1,"1,000","1,000","-1,000"
16/07/2024,18 ( 0 %),1,300,300,2,"2,300","1,150","-2,000"
15/07/2024,18 ( 0 %),4,"2,700",675,2,"1,200",600,"1,500"
12/07/2024,18 ( -10 %),3,"1,200",400,14,"3,800",271,"-2,600"
11/07/2024,20 ( 1.01 %),1,"2,100","2,100",15,"4,200",280,"-2,100"
10/07/2024,19.8 ( 10 %),11,"8,600",781.82,12,"10,000",833,"-1,400"
09/07/2024,18 ( 3.45 %),7,"23,800","3,400",4,"23,000","5,750",800
08/07/2024,17.4 ( 9.43 %),13,"5,000",384.62,3,"1,300",433,"3,700"
