date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,15.6(0.00 %),0,0,0,0,0,0,"1,475,899",0%,bxh
11/09/2024,15.6(0.00 %),0,0,0,0,0,0,"1,475,899",0%,bxh
10/09/2024,15.6(0.00 %),0,0,0,0,0,0,"1,475,899",0%,bxh
09/09/2024,15.6(0.00 %),0,0,0,0,0,0,"1,475,899",0%,bxh
06/09/2024,15.6(0.00 %),0,0,0,0,0,0,"1,475,899",0%,bxh
05/09/2024,15.6(0.00 %),0,0,0,0,0,0,"1,475,899",0%,bxh
04/09/2024,15.6(0.00 %),0,0,0,0,0,0,"1,475,899",0%,bxh
30/08/2024,15.6(-7.69 %),0,0,0,0,0,0,"1,475,899",0%,bxh
29/08/2024,16.9(-9.63 %),0,0,0,0,0,0,"1,475,899",0%,bxh
28/08/2024,18.7(-9.66 %),0,0,0,0,0,0,"1,475,899",0%,bxh
27/08/2024,20.7(-10.00 %),0,0,0,0,0,0,"1,475,899",0%,bxh
26/08/2024,23(0.00 %),0,0,0,0,0,0,"1,475,899",0%,bxh
23/08/2024,23(9.52 %),0,0,0,0,0,0,"1,475,899",0%,bxh
22/08/2024,21(9.95 %),0,0,0,0,0,0,"1,475,899",0%,bxh
21/08/2024,19.1(9.77 %),0,0,0,0,0,0,"1,475,899",0%,bxh
20/08/2024,17.4(-9.38 %),0,0,0,0,0,0,"1,475,899",0%,bxh
19/08/2024,19.2(9.71 %),0,0,0,0,0,0,"1,475,899",0%,bxh
16/08/2024,17.5(6.06 %),0,0,0,0,0,0,"1,475,899",0%,bxh
15/08/2024,16.5(-5.17 %),0,0,0,0,0,0,"1,475,899",0%,bxh
14/08/2024,17.4(9.43 %),0,0,0,0,0,0,"1,475,899",0%,bxh
13/08/2024,15.9(9.66 %),0,0,0,0,0,0,"1,475,899",0%,bxh
12/08/2024,14.5(9.85 %),0,0,0,0,0,0,"1,475,899",0%,bxh
09/08/2024,13.2(0.00 %),0,0,0,0,0,0,"1,475,899",0%,bxh
08/08/2024,13.2(-7.04 %),0,0,0,0,0,0,"1,475,899",0%,bxh
07/08/2024,14.2(0.00 %),0,0,0,0,0,0,"1,475,899",0%,bxh
06/08/2024,14.2(-2.74 %),0,0,0,0,0,0,"1,475,899",0%,bxh
05/08/2024,14.6(-7.59 %),0,0,0,0,0,0,"1,475,899",0%,bxh
02/08/2024,15.8(-1.25 %),0,0,0,0,0,0,"1,475,899",0%,bxh
