date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,17.6 ( 0 %),8,"4,100",512.5,4,"11,300","2,825","-7,200"
11/09/2024,17.6 ( 0 %),5,"1,400",280,2,200,100,"1,200"
10/09/2024,17.6 ( -0.56 %),6,"1,900",316.67,5,"2,800",560,-900
09/09/2024,17.7 ( -7.33 %),7,"2,700",385.71,7,"10,200","1,457","-7,500"
06/09/2024,19.8 ( 3.66 %),5,"7,200","1,440",9,"12,200","1,356","-5,000"
05/09/2024,19.8 ( 14.45 %),19,"29,100","1,531.58",12,"21,700","1,808","7,400"
04/09/2024,17.3 ( -8.47 %),7,"1,200",171.43,2,300,150,900
30/08/2024,18.9 ( 0 %),5,"2,700",540,2,200,100,"2,500"
29/08/2024,18.9 ( 0 %),11,"23,400","2,127.27",7,"16,900","2,414","6,500"
28/08/2024,18.9 ( 0 %),6,"2,300",383.33,7,"70,300","10,043","-68,000"
27/08/2024,18.9 ( -3.08 %),14,"52,100","3,721.43",9,"48,600","5,400","3,500"
26/08/2024,19 ( 11.76 %),14,"10,500",750,7,"4,400",629,"6,100"
23/08/2024,17 ( 14.86 %),13,"3,600",276.92,2,200,100,"3,400"
22/08/2024,14.8 ( 0 %),12,"4,300",358.33,2,200,100,"4,100"
21/08/2024,14.8 ( -10.84 %),13,"4,000",307.69,4,"1,400",350,"2,600"
20/08/2024,16.6 ( 0 %),7,"2,800",400,2,"1,100",550,"1,700"
19/08/2024,16.6 ( 14.48 %),13,"5,900",453.85,2,200,100,"5,700"
16/08/2024,14.5 ( -13.69 %),14,"3,400",242.86,2,500,250,"2,900"
15/08/2024,16.8 ( 0 %),8,"3,100",387.5,2,200,100,"2,900"
14/08/2024,16.5 ( -0.6 %),13,"4,700",361.54,3,800,267,"3,900"
13/08/2024,16.6 ( -9.29 %),6,"1,500",250,3,300,100,"1,200"
12/08/2024,18.6 ( 1.64 %),3,900,300,1,100,100,800
09/08/2024,18.6 ( 14.81 %),17,"12,900",758.82,8,"9,000","1,125","3,900"
08/08/2024,16.2 ( 0 %),7,"1,700",242.86,4,"6,300","1,575","-4,600"
07/08/2024,16.2 ( -6.36 %),5,"1,300",260,6,"7,000","1,167","-5,700"
06/08/2024,17.3 ( -1.7 %),9,"2,300",255.56,9,"7,700",856,"-5,400"
05/08/2024,17.6 ( 0 %),6,"1,700",283.33,5,"16,600","3,320","-14,900"
02/08/2024,17.6 ( 0 %),4,"2,000",500,4,"6,300","1,575","-4,300"
01/08/2024,17.6 ( 0 %),5,"1,300",260,5,"6,400","1,280","-5,100"
31/07/2024,17.6 ( 0 %),10,"6,900",690,5,"7,300","1,460",-400
30/07/2024,17.6 ( 0 %),7,"2,900",414.29,5,"8,000","1,600","-5,100"
29/07/2024,17.6 ( 0 %),6,"2,800",466.67,5,"8,400","1,680","-5,600"
26/07/2024,17.6 ( 0 %),6,"2,700",450,7,"13,400","1,914","-10,700"
25/07/2024,17.6 ( 0 %),10,"3,200",320,4,"6,300","1,575","-3,100"
24/07/2024,17.6 ( -4.86 %),6,"2,300",383.33,5,"2,500",500,-200
23/07/2024,18.5 ( 0 %),6,"2,900",483.33,5,"10,900","2,180","-8,000"
22/07/2024,18.5 ( 0 %),5,"2,200",440,6,"2,700",450,-500
19/07/2024,18.5 ( 0 %),5,"1,700",340,8,"3,500",438,"-1,800"
18/07/2024,18.5 ( 0 %),5,"1,700",340,6,"2,400",400,-700
17/07/2024,18.5 ( 0 %),5,"1,500",300,6,"2,400",400,-900
16/07/2024,18.5 ( 0 %),10,"6,800",680,7,"5,500",786,"1,300"
15/07/2024,18.5 ( 2.78 %),9,"3,500",388.89,8,"4,000",500,-500
12/07/2024,18 ( 0 %),8,"3,000",375,5,"1,400",280,"1,600"
11/07/2024,17.9 ( -4.79 %),10,"10,000","1,000",10,"13,900","1,390","-3,900"
10/07/2024,18.8 ( 0 %),7,"4,200",600,10,"6,400",640,"-2,200"
09/07/2024,18.8 ( 12.57 %),19,"8,700",457.89,6,"6,400","1,067","2,300"
08/07/2024,16.7 ( -6.7 %),5,"1,400",280,5,700,140,700
05/07/2024,18.3 ( 2.23 %),7,"3,300",471.43,6,"1,000",167,"2,300"
04/07/2024,18.3 ( 2.23 %),9,"7,300",811.11,7,"9,800","1,400","-2,500"
