date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
12/09/2024,17.4(-0.57 %),0,0,0,0,0,0,"7,354,363",1.07%
11/09/2024,17.5(0.00 %),0,0,0,0,0,0,"7,354,363",1.07%
10/09/2024,17.5(0.57 %),0,0,0,0,0,0,"7,354,363",1.07%
09/09/2024,17.4(-0.29 %),0,0,0,0,0,0,"7,354,363",1.07%
06/09/2024,17.45(0.00 %),0,0,0,0,0,0,"7,353,763",1.07%
05/09/2024,17.45(0.00 %),-600,-0.01,0,0,600,0.01,"7,353,763",1.07%
04/09/2024,17.45(0.00 %),0,0,0,0,0,0,"7,353,763",1.07%
30/08/2024,17.45(0.00 %),0,0,0,0,0,0,"7,353,763",1.07%
29/08/2024,17.45(-0.29 %),0,0,0,0,0,0,"7,353,763",1.07%
28/08/2024,17.5(0.00 %),500,0.01,500,0.01,0,0,"7,353,663",1.07%
27/08/2024,17.5(0.29 %),-100,-0,0,0,100,0,"7,354,163",1.07%
26/08/2024,17.45(0.58 %),0,0,0,0,0,0,"7,354,163",1.07%
23/08/2024,17.35(0.87 %),0,0,0,0,0,0,"7,354,163",1.07%
22/08/2024,17.2(0.00 %),0,0,0,0,0,0,"7,354,163",1.07%
21/08/2024,17.2(-0.86 %),0,0,0,0,0,0,"7,354,163",1.07%
20/08/2024,17.35(-0.86 %),0,0,0,0,0,0,"7,352,863",1.08%
19/08/2024,17.5(1.16 %),"-1,300",-0.02,0,0,"1,300",0.02,"7,352,863",1.08%
16/08/2024,17.3(1.76 %),200,0,200,0,0,0,"7,347,263",1.12%
15/08/2024,17(0.00 %),"-5,600",-0.1,0,0,"5,600",0.1,"7,347,363",1.12%
14/08/2024,17(-2.30 %),"1,200",0.02,"1,300",0.02,100,0,"7,347,363",1.12%
13/08/2024,17.4(0.00 %),0,0,0,0,0,0,"7,348,663",1.11%
