date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,7.6 ( 0 %),323,"716,500","2,218.27",180,"602,900","3,349","113,600",c69
11/09/2024,7.6 ( -6.17 %),336,"554,500","1,650.3",349,"1,059,300","3,035","-504,800",c69
10/09/2024,8.1 ( 2.53 %),367,"690,400","1,881.2",389,"1,065,900","2,740","-375,500",c69
09/09/2024,7.9 ( -1.25 %),350,"713,700","2,039.14",289,"845,500","2,926","-131,800",c69
06/09/2024,8 ( 0 %),504,"1,412,500","2,802.58",572,"1,643,400","2,873","-230,900",c69
05/09/2024,8 ( 9.59 %),285,"1,034,500","3,629.82",235,"679,100","2,890","355,400",c69
04/09/2024,7.3 ( 1.39 %),229,"737,400","3,220.09",230,"734,200","3,192","3,200",c69
30/08/2024,7.2 ( 1.41 %),273,"1,222,500","4,478.02",248,"884,800","3,568","337,700",c69
29/08/2024,7.1 ( -4.05 %),243,"596,100","2,453.09",240,"828,300","3,451","-232,200",c69
28/08/2024,7.4 ( -2.63 %),300,"894,000","2,980",387,"1,184,900","3,062","-290,900",c69
27/08/2024,7.6 ( 2.7 %),422,"1,376,600","3,262.09",491,"1,404,700","2,861","-28,100",c69
26/08/2024,7.4 ( 2.78 %),275,"1,057,800","3,846.55",342,"962,900","2,815","94,900",c69
23/08/2024,7.2 ( 0 %),221,"652,000","2,950.23",248,"957,500","3,861","-305,500",c69
22/08/2024,7.2 ( 1.41 %),285,"818,100","2,870.53",263,"930,400","3,538","-112,300",c69
21/08/2024,7.1 ( 1.43 %),284,"631,200","2,222.54",286,"811,000","2,836","-179,800",c69
20/08/2024,7 ( -1.41 %),315,"554,300","1,759.68",368,"1,080,700","2,937","-526,400",c69
19/08/2024,7.1 ( -1.39 %),285,"511,600","1,795.09",322,"907,100","2,817","-395,500",c69
16/08/2024,7.2 ( 2.86 %),317,"641,200","2,022.71",314,"711,400","2,266","-70,200",c69
15/08/2024,7 ( 1.45 %),407,"971,900","2,387.96",386,"1,308,300","3,389","-336,400",c69
14/08/2024,6.9 ( 0 %),216,"513,400","2,376.85",206,"550,900","2,674","-37,500",c69
13/08/2024,6.9 ( 0 %),187,"520,100","2,781.28",239,"556,600","2,329","-36,500",c69
12/08/2024,6.9 ( 1.47 %),253,"552,800","2,184.98",208,"542,700","2,609","10,100",c69
09/08/2024,6.8 ( 0 %),289,"560,300","1,938.75",147,"560,200","3,811",100,c69
08/08/2024,6.8 ( -1.45 %),251,"517,900","2,063.35",182,"572,100","3,143","-54,200",c69
07/08/2024,6.9 ( -1.43 %),248,"490,100","1,976.21",182,"609,800","3,351","-119,700",c69
06/08/2024,7 ( 1.45 %),242,"496,100","2,050",196,"627,600","3,202","-131,500",c69
05/08/2024,6.9 ( -2.82 %),170,"294,800","1,734.12",149,"423,300","2,841","-128,500",c69
02/08/2024,7.1 ( -1.39 %),257,"512,700","1,994.94",276,"672,700","2,437","-160,000",c69
01/08/2024,7.2 ( -1.37 %),200,"432,900","2,164.5",341,"842,600","2,471","-409,700",c69
31/07/2024,7.3 ( 2.82 %),361,"886,700","2,456.23",389,"1,043,000","2,681","-156,300",c69
30/07/2024,7.1 ( -1.39 %),258,"735,200","2,849.61",393,"1,049,800","2,671","-314,600",c69
29/07/2024,7.2 ( 1.41 %),383,"927,200","2,420.89",442,"1,059,100","2,396","-131,900",c69
26/07/2024,7.1 ( 1.43 %),360,"982,400","2,728.89",428,"1,143,500","2,672","-161,100",c69
25/07/2024,7 ( 2.94 %),329,"876,100","2,662.92",341,"887,200","2,602","-11,100",c69
24/07/2024,6.8 ( 4.62 %),391,"807,500","2,065.22",263,"715,600","2,721","91,900",c69
23/07/2024,6.5 ( -1.52 %),235,"422,200","1,796.6",185,"504,000","2,724","-81,800",c69
22/07/2024,6.6 ( 0 %),229,"410,300","1,791.7",285,"566,900","1,989","-156,600",c69
19/07/2024,6.6 ( 1.54 %),290,"499,800","1,723.45",211,"508,200","2,409","-8,400",c69
18/07/2024,6.5 ( 0 %),279,"645,400","2,313.26",306,"754,600","2,466","-109,200",c69
17/07/2024,6.5 ( -2.99 %),237,"428,700","1,808.86",266,"769,900","2,894","-341,200",c69
16/07/2024,6.7 ( 1.52 %),292,"663,100","2,270.89",217,"718,100","3,309","-55,000",c69
15/07/2024,6.6 ( -1.49 %),258,"545,100","2,112.79",204,"687,700","3,371","-142,600",c69
12/07/2024,6.7 ( 0 %),396,"700,700","1,769.44",269,"955,100","3,551","-254,400",c69
11/07/2024,6.7 ( 0 %),205,"450,200","2,196.1",212,"642,100","3,029","-191,900",c69
10/07/2024,6.7 ( -1.47 %),289,"673,000","2,328.72",265,"732,000","2,762","-59,000",c69
09/07/2024,6.8 ( 3.03 %),258,"645,100","2,500.39",270,"677,900","2,511","-32,800",c69
08/07/2024,6.6 ( -2.94 %),308,"755,900","2,454.22",339,"689,500","2,034","66,400",c69
05/07/2024,6.8 ( 0 %),380,"819,100","2,155.53",298,"754,600","2,532","64,500",c69
04/07/2024,6.8 ( 1.49 %),326,"828,800","2,542.33",269,"806,900","3,000","21,900",c69
03/07/2024,6.7 ( 1.52 %),279,"808,400","2,897.49",221,"585,600","2,650","222,800",c69
02/07/2024,6.6 ( 0 %),275,"666,400","2,423.27",158,"634,500","4,016","31,900",c69
01/07/2024,6.6 ( 0 %),257,"598,600","2,329.18",163,"701,100","4,301","-102,500",c69
28/06/2024,6.6 ( -1.49 %),274,"611,300","2,231.02",208,"743,600","3,575","-132,300",c69
27/06/2024,6.7 ( 0 %),227,"553,900","2,440.09",187,"596,200","3,188","-42,300",c69
26/06/2024,6.7 ( -1.47 %),274,"688,300","2,512.04",214,"817,900","3,822","-129,600",c69
25/06/2024,6.8 ( 0 %),281,"611,400","2,175.8",185,"740,400","4,002","-129,000",c69
24/06/2024,6.8 ( -1.45 %),304,"638,900","2,101.64",296,"741,600","2,505","-102,700",c69
21/06/2024,6.9 ( 1.47 %),356,"697,900","1,960.39",292,"707,500","2,423","-9,600",c69
20/06/2024,6.8 ( -1.45 %),281,"605,200","2,153.74",262,"773,900","2,954","-168,700",c69
19/06/2024,6.9 ( -1.43 %),309,"750,600","2,429.13",281,"943,100","3,356","-192,500",c69
18/06/2024,7 ( 0 %),277,"621,300","2,242.96",251,"701,300","2,794","-80,000",c69
17/06/2024,7 ( 2.94 %),365,"1,083,400","2,968.22",223,"718,900","3,224","364,500",c69
14/06/2024,6.8 ( -9.33 %),261,"647,200","2,479.69",502,"1,545,600","3,079","-898,400",c69
13/06/2024,7.5 ( 7.14 %),481,"1,277,300","2,655.51",589,"1,267,500","2,152","9,800",c69
12/06/2024,7 ( 1.45 %),320,"776,700","2,427.19",293,"733,400","2,503","43,300",c69
11/06/2024,6.9 ( 1.47 %),321,"989,600","3,082.87",335,"1,014,200","3,027","-24,600",c69
10/06/2024,6.8 ( -1.45 %),288,"535,200","1,858.33",239,"711,100","2,975","-175,900",c69
07/06/2024,6.9 ( 1.47 %),296,"629,400","2,126.35",251,"784,500","3,125","-155,100",c69
06/06/2024,6.8 ( 0 %),230,"409,400","1,780",217,"565,300","2,605","-155,900",c69
05/06/2024,6.8 ( -2.86 %),276,"532,500","1,929.35",231,"648,100","2,806","-115,600",c69
04/06/2024,7 ( 0 %),252,"523,800","2,078.57",237,"752,900","3,177","-229,100",c69
03/06/2024,7 ( 0 %),336,"772,300","2,298.51",326,"914,700","2,806","-142,400",c69
31/05/2024,7 ( 1.45 %),250,"519,000","2,076",240,"708,000","2,950","-189,000",c69
30/05/2024,6.9 ( 0 %),282,"872,100","3,092.55",334,"838,400","2,510","33,700",c69
29/05/2024,6.9 ( 1.47 %),246,"512,200","2,082.11",191,"498,700","2,611","13,500",c69
28/05/2024,6.8 ( -1.45 %),268,"523,600","1,953.73",204,"469,900","2,303","53,700",c69
27/05/2024,6.9 ( 0 %),246,"518,000","2,105.69",205,"524,100","2,557","-6,100",c69
24/05/2024,6.9 ( 1.47 %),267,"648,800","2,429.96",380,"756,600","1,991","-107,800",c69
23/05/2024,6.8 ( 0 %),199,"462,300","2,323.12",227,"581,900","2,563","-119,600",c69
22/05/2024,6.8 ( 0 %),289,"535,700","1,853.63",198,"593,000","2,995","-57,300",c69
21/05/2024,6.8 ( -1.45 %),291,"600,800","2,064.6",317,"808,100","2,549","-207,300",c69
20/05/2024,6.9 ( 2.99 %),217,"503,300","2,319.35",232,"460,300","1,984","43,000",c69
17/05/2024,6.7 ( -1.47 %),253,"398,100","1,573.52",249,"468,600","1,882","-70,500",c69
16/05/2024,6.8 ( 1.49 %),256,"710,800","2,776.56",235,"396,500","1,687","314,300",c69
15/05/2024,6.7 ( -2.9 %),272,"493,400","1,813.97",163,"611,100","3,749","-117,700",c69
14/05/2024,6.9 ( 1.47 %),261,"520,400","1,993.87",247,"632,700","2,562","-112,300",c69
13/05/2024,6.8 ( 3.03 %),264,"1,135,000","4,299.24",313,"914,000","2,920","221,000",c69
10/05/2024,6.6 ( -1.49 %),308,"519,400","1,686.36",207,"475,000","2,295","44,400",c69
09/05/2024,6.7 ( -1.47 %),353,"601,600","1,704.25",243,"737,500","3,035","-135,900",c69
08/05/2024,6.8 ( -1.45 %),257,"398,900","1,552.14",215,"715,300","3,327","-316,400",c69
07/05/2024,6.9 ( 6.15 %),352,"740,900","2,104.83",276,"473,000","1,714","267,900",c69
06/05/2024,6.5 ( 3.17 %),258,"689,300","2,671.71",228,"372,600","1,634","316,700",c69
03/05/2024,6.3 ( -1.56 %),238,"406,200","1,706.72",188,"401,700","2,137","4,500",c69
02/05/2024,6.4 ( -1.54 %),202,"316,100","1,564.85",190,"389,000","2,047","-72,900",c69
26/04/2024,6.5 ( 0 %),199,"445,800","2,240.2",180,"506,100","2,812","-60,300",c69
25/04/2024,6.5 ( 0 %),259,"520,500","2,009.65",168,"496,100","2,953","24,400",c69
