date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
12/09/2024,0.5(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
11/09/2024,0.5(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
10/09/2024,0.5(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
09/09/2024,0.5(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
06/09/2024,0.6(20.00 %),0,0,0,0,0,0,"3,593,588",8.16%
05/09/2024,0.5(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
04/09/2024,0.5(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
30/08/2024,0.6(20.00 %),0,0,0,0,0,0,"3,593,588",8.16%
29/08/2024,0.5(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
28/08/2024,0.5(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
27/08/2024,0.5(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
26/08/2024,0.5(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
23/08/2024,0.6(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
22/08/2024,0.6(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
21/08/2024,0.6(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
20/08/2024,0.6(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
19/08/2024,0.6(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
16/08/2024,0.6(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
15/08/2024,0.6(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
14/08/2024,0.6(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
13/08/2024,0.6(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
12/08/2024,0.6(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
09/08/2024,0.7(16.67 %),0,0,0,0,0,0,"3,593,588",8.16%
08/08/2024,0.6(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
07/08/2024,0.6(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
06/08/2024,0.6(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
05/08/2024,0.6(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
02/08/2024,0.7(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
01/08/2024,0.7(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
31/07/2024,0.7(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
30/07/2024,0.7(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
29/07/2024,0.7(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
24/07/2024,0.8(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
23/07/2024,0.8(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
22/07/2024,0.8(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
19/07/2024,0.8(-11.11 %),0,0,0,0,0,0,"3,593,588",8.16%
18/07/2024,0.9(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
17/07/2024,0(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
16/07/2024,0(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
15/07/2024,0.9(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
12/07/2024,1(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
11/07/2024,1(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
10/07/2024,1(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
08/07/2024,1(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
04/07/2024,0.9(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
03/07/2024,0.9(0.00 %),0,0,0,0,0,0,"3,593,588",0%
02/07/2024,0.9(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
01/07/2024,0.9(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
28/06/2024,0.9(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
27/06/2024,0.9(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
26/06/2024,0.9(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
25/06/2024,0.9(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
24/06/2024,0.9(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
21/06/2024,0.9(12.50 %),0,0,0,0,0,0,"3,593,588",8.16%
20/06/2024,0.8(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
19/06/2024,0.8(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
18/06/2024,0.8(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
17/06/2024,0(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
14/06/2024,0(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
13/06/2024,0.8(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
12/06/2024,0.8(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
11/06/2024,0.8(0.00 %),0,0,0,0,0,0,"3,593,588",0%
10/06/2024,0.8(0.00 %),0,0,0,0,0,0,"3,593,588",0%
07/06/2024,0.8(14.29 %),0,0,0,0,0,0,"3,593,588",8.16%
06/06/2024,0.7(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
05/06/2024,0.7(0.00 %),0,0,0,0,0,0,"3,593,588",0%
04/06/2024,0.7(0.00 %),0,0,0,0,0,0,"3,593,588",0%
03/06/2024,0.7(0.00 %),0,0,0,0,0,0,"3,593,588",0%
31/05/2024,0.7(16.67 %),0,0,0,0,0,0,"3,593,588",8.16%
30/05/2024,0.6(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
29/05/2024,0.6(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
28/05/2024,0.6(0.00 %),0,0,0,0,0,0,"3,593,588",8.16%
