date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,37.8,--,0(0.00 %),0,0,0,0,37.8,37.8,37.8
11/09/2024,37.8,--,0(0.00 %),3,0,0,0,37.8,37.8,37.8
10/09/2024,37.8,--,0(0.00 %),17,0,0,0,37.8,37.8,37.8
09/09/2024,37.8,--,0(0.00 %),0,0,0,0,37.8,37.8,37.8
06/09/2024,37.8,--,0(0.00 %),1,0,0,0,37.8,37.8,37.8
05/09/2024,37.8,--,0(0.00 %),2,0,0,0,37.8,37.8,37.8
04/09/2024,37.8,--,0(0.00 %),22,0,0,0,37.8,37.8,37.8
30/08/2024,37.8,--,0(0.00 %),100,0,0,0,37.8,37.8,37.8
29/08/2024,37.8,--,0(0.00 %),50,0,0,0,37.8,37.8,37.8
28/08/2024,37.8,--,-4.2(-10.00 %),200,0.01,0,0,37.8,37.8,37.8
27/08/2024,42,--,0(0.00 %),0,0,0,0,42,42,42
26/08/2024,42,--,0(0.00 %),3,0,0,0,42,42,42
23/08/2024,42,--,0(0.00 %),0,0,0,0,42,42,42
22/08/2024,42,--,0(0.00 %),0,0,0,0,42,42,42
21/08/2024,42,--,0(0.00 %),0,0,0,0,42,42,42
20/08/2024,42,--,0(0.00 %),0,0,0,0,42,42,42
19/08/2024,42,--,0(0.00 %),5,0,0,0,42,42,42
16/08/2024,42,--,0(0.00 %),0,0,0,0,42,42,42
15/08/2024,42,--,0(0.00 %),0,0,0,0,42,42,42
14/08/2024,42,--,0(0.00 %),0,0,0,0,42,42,42
13/08/2024,42,--,0(0.00 %),0,0,0,0,42,42,42
12/08/2024,42,--,0(0.00 %),0,0,0,0,42,42,42
09/08/2024,42,--,0(0.00 %),0,0,0,0,42,42,42
08/08/2024,42,--,0(0.00 %),0,0,0,0,42,42,42
07/08/2024,42,--,0(0.00 %),50,0,0,0,42,42,42
06/08/2024,42,--,0(0.00 %),300,0.01,0,0,42,42,42
05/08/2024,42,--,0(0.00 %),0,0,0,0,42,42,42
02/08/2024,42,--,0(0.00 %),"3,200",0.13,0,0,37.8,42,37.8
01/08/2024,42,--,0(0.00 %),0,0,0,0,42,42,42
31/07/2024,42,--,0(0.00 %),"2,203",0.09,0,0,39.9,42,39.9
30/07/2024,42,--,0(0.00 %),0,0,0,0,42,42,42
29/07/2024,42,--,3.2(8.25 %),"2,500",0.1,0,0,35.1,42,35.1
26/07/2024,38.8,--,-4.1(-9.56 %),"1,100",0.04,0,0,38.8,38.8,38.8
25/07/2024,42.9,--,-0.5(-1.15 %),201,0.01,0,0,39.1,42.9,39.1
24/07/2024,43.4,--,0(0.00 %),2,0,0,0,43.4,43.4,43.4
23/07/2024,43.4,--,3.4(8.50 %),102,0,0,0,43.4,43.4,43.4
