ticker,date,buy_volume,buy_value_bil_vnd,sell_volume,sell_value_bil_vnd,net_trading_volume,net_trading_value_bil_vnd
AAA,06/09/2024,800,0.01,0,0,800,0.01
AAA,05/09/2024,400,0,"7,200",0.07,"-6,800",-0.07
AAA,30/08/2024,"8,400",0.09,0,0,"8,400",0.09
AAA,29/08/2024,"13,200",0.13,0,0,"13,200",0.13
AAA,28/08/2024,800,0.01,"1,200",0.01,-400,-0
AAA,27/08/2024,0,0,"4,000",0.04,"-4,000",-0.04
AAA,23/08/2024,800,0.01,"1,200",0.01,-400,-0
AAA,22/08/2024,800,0.01,0,0,800,0.01
AAA,21/08/2024,800,0.01,0,0,800,0.01
AAA,20/08/2024,400,0,"1,600",0.02,"-1,200",-0.01
AAA,19/08/2024,0,0,800,0.01,-800,-0.01
AAA,16/08/2024,0,0,"142,400",1.46,"-142,400",-1.46
AAA,15/08/2024,400,0,400,0,0,0
AAA,14/08/2024,800,0.01,"260,000",2.74,"-259,200",-2.73
AAA,13/08/2024,400,0,400,0,0,-0
AAA,12/08/2024,0,0,"1,600",0.02,"-1,600",-0.02
AAA,08/08/2024,400,0,"2,000",0.02,"-1,600",-0.02
AAA,06/08/2024,"2,400",0.03,"5,600",0.06,"-3,200",-0.04
AAA,05/08/2024,"2,400",0.03,"5,600",0.06,"-3,200",-0.04
AAA,02/08/2024,800,0.01,"3,200",0.04,"-2,400",-0.03
AAA,01/08/2024,"2,400",0.03,0,0,"2,400",0.03
AAA,31/07/2024,"2,400",0.03,0,0,"2,400",0.03
AAA,30/07/2024,"3,200",0.04,400,0,"2,800",0.03
AAA,29/07/2024,800,0.01,0,0,800,0.01
AAA,26/07/2024,"2,000",0.02,0,0,"2,000",0.02
AAA,25/07/2024,400,0,400,0,0,-0
AAA,24/07/2024,"2,000",0.02,0,0,"2,000",0.02
AAA,23/07/2024,0,0,"8,000",0.09,"-8,000",-0.09
AAA,22/07/2024,"6,000",0.07,0,0,"6,000",0.07
AAA,19/07/2024,"2,000",0.02,"5,600",0.07,"-3,600",-0.04
AAA,18/07/2024,"2,000",0.02,"23,200",0.27,"-21,200",-0.25
AAA,17/07/2024,"14,000",0.17,0,0,"14,000",0.17
AAA,16/07/2024,"10,800",0.13,0,0,"10,800",0.13
AAA,15/07/2024,400,0,0,0,400,0
AAA,12/07/2024,"6,800",0.08,800,0.01,"6,000",0.07
AAA,11/07/2024,0,0,"1,200",0.01,"-1,200",-0.01
AAA,10/07/2024,"10,800",0.13,"1,600",0.02,"9,200",0.11
AAA,09/07/2024,"16,000",0.19,"16,600",0.2,-600,-0.01
AAA,08/07/2024,"1,600",0.02,"269,600",3.15,"-268,000",-3.14
AAA,05/07/2024,"4,800",0.06,"1,340,900",15.47,"-1,336,100",-15.42
AAA,04/07/2024,"24,000",0.28,"9,200",0.1,"14,800",0.17
AAA,03/07/2024,"6,400",0.07,800,0.01,"5,600",0.06
AAA,02/07/2024,"4,400",0.05,"11,600",0.13,"-7,200",-0.08
AAA,01/07/2024,"2,400",0.03,0,0,"2,400",0.03
