date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
29/08/2024,7.25,--,-0.05(-0.68 %),800,0.01,0,0,7.3,7.3,7.25
28/08/2024,7.3,--,-0.1(-1.35 %),"2,000",0.01,0,0,7.3,7.3,7.3
27/08/2024,7.4,--,0(0.00 %),0,0,0,0,7.4,7.4,7.4
26/08/2024,7.4,--,-0.02(-0.27 %),"1,700",0.01,0,0,7.42,7.42,7.4
23/08/2024,7.42,--,0.02(0.27 %),800,0.01,0,0,7.45,7.45,7.42
22/08/2024,7.4,--,-0.08(-1.07 %),"1,700",0.01,0,0,7.48,7.48,7.22
21/08/2024,7.48,--,-0.12(-1.58 %),"4,100",0.03,0,0,7.56,7.6,7.48
20/08/2024,7.6,--,0(0.00 %),700,0.01,0,0,7.6,7.6,7.59
19/08/2024,7.6,--,-0.05(-0.65 %),"14,100",0.1,0,0,7.63,7.65,7.12
16/08/2024,7.65,--,-0.25(-3.16 %),"2,900",0.02,0,0,7.5,7.65,7.35
15/08/2024,7.9,--,0.41(5.47 %),900,0.01,0,0,7.99,7.99,7.9
14/08/2024,7.49,--,0.19(2.60 %),"3,900",0.03,0,0,7.3,7.49,7.28
13/08/2024,7.3,--,0.28(3.99 %),700,0.01,0,0,7.48,7.48,7.3
12/08/2024,7.02,--,-0.44(-5.90 %),"3,400",0.02,0,0,7.46,7.5,7
09/08/2024,7.46,--,0(0.00 %),"1,700",0.01,0,0,7.46,7.47,7.46
08/08/2024,7.46,--,0.01(0.13 %),400,0,0,0,7.69,7.69,7.46
07/08/2024,7.45,--,0.01(0.13 %),800,0.01,0,0,7.5,7.69,7.45
06/08/2024,7.44,--,-0.08(-1.06 %),700,0.01,0,0,7.52,7.52,7.44
05/08/2024,7.52,--,-0.17(-2.21 %),"3,200",0.02,0,0,7.6,7.6,7.52
02/08/2024,7.69,--,-0.1(-1.28 %),"1,600",0.01,0,0,7.4,7.7,7.4
01/08/2024,7.79,--,-0.06(-0.76 %),"2,900",0.02,0,0,7.84,7.84,7.79
31/07/2024,7.85,--,0.05(0.64 %),200,0,0,0,7.8,7.85,7.8
30/07/2024,7.8,--,-0.14(-1.76 %),"11,900",0.09,0,0,7.94,7.94,7.7
29/07/2024,7.94,--,-0.06(-0.75 %),"9,700",0.08,0,0,8,8,7.8
26/07/2024,8,--,-0.05(-0.62 %),"4,600",0.04,0,0,8.01,8.04,8
25/07/2024,8.05,--,-0.05(-0.62 %),"4,900",0.04,0,0,8.07,8.07,8.05
24/07/2024,8.1,--,-0.15(-1.82 %),"7,000",0.06,0,0,8.39,8.39,8.1
23/07/2024,8.25,--,0.18(2.23 %),"8,500",0.06,0,0,8.07,8.25,7.51
22/07/2024,8.07,--,-0.03(-0.37 %),300,0,0,0,8.06,8.07,8.06
19/07/2024,8.1,--,-0.12(-1.46 %),"51,000",0.41,0,0,8.23,8.3,8.07
18/07/2024,8.22,--,-0.15(-1.79 %),"7,300",0.06,0,0,8.37,8.37,8.1
17/07/2024,8.37,--,0.32(3.98 %),"50,200",0.41,0,0,8.06,8.5,8.06
16/07/2024,8.05,--,-0.05(-0.62 %),"1,200",0.01,0,0,8.1,8.1,8.05
15/07/2024,8.1,--,-0.1(-1.22 %),"4,800",0.04,0,0,8.2,8.2,8.1
12/07/2024,8.2,--,-0.1(-1.20 %),"2,200",0.02,0,0,8.05,8.3,8.05
11/07/2024,8.3,--,-0.08(-0.95 %),"1,600",0.01,0,0,8.38,8.4,8.3
10/07/2024,8.38,--,-0.09(-1.06 %),"2,700",0.02,0,0,8.47,8.47,8.1
09/07/2024,8.47,--,0.32(3.93 %),"11,900",0.1,0,0,8.5,8.5,8.3
08/07/2024,8.15,--,0.04(0.49 %),"12,700",0.1,0,0,8.21,8.21,8.15
05/07/2024,8.11,--,0(0.00 %),"1,300",0.01,0,0,8.1,8.11,8.1
04/07/2024,8.11,--,0.08(1.00 %),"4,800",0.04,0,0,8,8.11,7.5
03/07/2024,8.03,--,0.03(0.38 %),"4,400",0.04,0,0,8.19,8.19,8
02/07/2024,8,--,-0.12(-1.48 %),"4,000",0.03,0,0,8.12,8.12,8
01/07/2024,8.12,--,-0.13(-1.58 %),"2,600",0.02,0,0,8.25,8.25,8.1
