date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
29/08/2024,7.5 ( 1.35 %),173,"972,800","5,623.12",326,"1,239,900","3,803","-267,100"
28/08/2024,7.4 ( 0 %),160,"752,800","4,705",292,"954,800","3,270","-202,000"
27/08/2024,7.4 ( 0 %),156,"386,400","2,476.92",288,"809,300","2,810","-422,900"
26/08/2024,7.4 ( 0 %),171,"621,900","3,636.84",266,"854,300","3,212","-232,400"
23/08/2024,7.4 ( 0 %),198,"805,000","4,065.66",330,"1,132,200","3,431","-327,200"
22/08/2024,7.5 ( 1.35 %),142,"548,600","3,863.38",299,"777,200","2,599","-228,600"
21/08/2024,7.4 ( 1.37 %),201,"483,500","2,405.47",290,"1,099,400","3,791","-615,900"
20/08/2024,7.4 ( 1.37 %),207,"950,300","4,590.82",354,"902,200","2,549","48,100"
19/08/2024,7.4 ( 2.78 %),210,"915,900","4,361.43",387,"1,108,000","2,863","-192,100"
16/08/2024,7.4 ( 8.82 %),295,"1,793,300","6,078.98",449,"1,044,200","2,326","749,100"
15/08/2024,6.8 ( -1.45 %),258,"418,400","1,621.71",211,"635,600","3,012","-217,200"
14/08/2024,6.9 ( 0 %),229,"680,200","2,970.31",231,"657,400","2,846","22,800"
13/08/2024,6.9 ( -1.43 %),297,"638,500","2,149.83",204,"563,900","2,764","74,600"
12/08/2024,6.9 ( -1.43 %),201,"373,200","1,856.72",213,"511,900","2,403","-138,700"
09/08/2024,7 ( 2.94 %),353,"1,241,700","3,517.56",390,"947,100","2,428","294,600"
08/08/2024,6.8 ( 1.49 %),335,"594,500","1,774.63",272,"651,400","2,395","-56,900"
07/08/2024,6.8 ( 0 %),428,"1,106,700","2,585.75",284,"776,800","2,735","329,900"
06/08/2024,6.8 ( 0 %),433,"896,600","2,070.67",239,"1,026,800","4,296","-130,200"
05/08/2024,6.7 ( -6.94 %),595,"1,357,900","2,282.18",306,"1,347,700","4,404","10,200"
02/08/2024,7.2 ( -1.37 %),468,"1,412,200","3,017.52",290,"1,110,600","3,830","301,600"
01/08/2024,7.2 ( -4 %),489,"872,300","1,783.84",316,"1,115,000","3,528","-242,700"
31/07/2024,7.6 ( 1.33 %),211,"428,600","2,031.28",239,"971,100","4,063","-542,500"
30/07/2024,7.5 ( -1.32 %),451,"716,800","1,589.36",245,"1,270,900","5,187","-554,100"
29/07/2024,7.6 ( 0 %),258,"516,100","2,000.39",305,"1,379,500","4,523","-863,400"
26/07/2024,7.7 ( 0 %),294,"602,100","2,047.96",283,"1,565,700","5,533","-963,600"
25/07/2024,7.7 ( 1.32 %),355,"1,235,000","3,478.87",390,"1,474,300","3,780","-239,300"
24/07/2024,7.6 ( -1.3 %),583,"1,494,800","2,563.98",324,"1,407,000","4,343","87,800"
23/07/2024,7.6 ( -2.56 %),586,"1,292,500","2,205.63",281,"1,868,500","6,649","-576,000"
22/07/2024,7.8 ( -2.5 %),799,"1,581,500","1,979.35",358,"2,530,900","7,070","-949,400"
19/07/2024,8 ( -1.23 %),408,"774,200","1,897.55",390,"1,413,400","3,624","-639,200"
18/07/2024,8.2 ( 1.23 %),372,"764,500","2,055.11",305,"986,200","3,233","-221,700"
17/07/2024,8.2 ( 0 %),400,"1,705,700","4,264.25",546,"2,165,100","3,965","-459,400"
16/07/2024,8.2 ( 1.23 %),291,"772,500","2,654.64",331,"1,351,600","4,083","-579,100"
15/07/2024,8.1 ( 0 %),355,"628,500","1,770.42",358,"1,137,100","3,176","-508,600"
12/07/2024,8.2 ( 0 %),368,"667,900","1,814.95",390,"1,076,600","2,761","-408,700"
11/07/2024,8.3 ( 1.22 %),412,"717,200","1,740.78",364,"1,233,500","3,389","-516,300"
10/07/2024,8.1 ( -1.22 %),349,"992,400","2,843.55",383,"1,472,400","3,844","-480,000"
09/07/2024,8.3 ( 2.47 %),364,"917,700","2,521.15",403,"1,325,000","3,288","-407,300"
08/07/2024,8.1 ( 0 %),401,"673,500","1,679.55",344,"1,085,200","3,155","-411,700"
05/07/2024,8.2 ( 0 %),361,"714,800","1,980.06",332,"920,200","2,772","-205,400"
04/07/2024,8.2 ( 0 %),411,"849,600","2,067.15",317,"1,256,500","3,964","-406,900"
03/07/2024,8.3 ( 1.22 %),346,"658,100","1,902.02",257,"1,096,600","4,267","-438,500"
02/07/2024,8.2 ( 2.5 %),359,"802,400","2,235.1",262,"809,800","3,091","-7,400"
01/07/2024,8.1 ( 0 %),522,"826,500","1,583.33",291,"1,141,300","3,922","-314,800"
