date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
09/09/2024,7.2(0.00 %),0,0,0,0,0,0,"227,363,219",1.15%
06/09/2024,7.2(-1.37 %),0,0,0,0,0,0,"227,359,719",1.15%
05/09/2024,7.3(0.00 %),"-1,900",-0.01,"1,600",0.01,"3,500",0.03,"227,359,719",1.15%
04/09/2024,7.3(-1.35 %),0,0,0,0,0,0,"227,357,119",1.15%
30/08/2024,7.4(-1.33 %),"-4,200",-0.03,0,0,"4,200",0.03,"227,307,119",1.17%
29/08/2024,7.5(1.35 %),"-50,000",-0.37,0,0,"50,000",0.37,"227,307,119",1.17%
28/08/2024,7.4(0.00 %),0,0,0,0,0,0,"227,307,119",1.17%
27/08/2024,7.4(0.00 %),100,0,100,0,0,0,"227,307,119",1.17%
26/08/2024,7.4(0.00 %),0,0,0,0,0,0,"227,307,219",1.17%
23/08/2024,7.4(0.00 %),0,0,0,0,0,0,"227,307,219",1.17%
22/08/2024,7.5(1.35 %),0,0,0,0,0,0,"227,307,219",1.17%
21/08/2024,7.4(1.37 %),"53,100",0.39,"53,100",0.39,0,0,"227,307,219",1.17%
20/08/2024,7.4(1.37 %),0,0,0,0,0,0,"227,350,319",1.15%
19/08/2024,7.4(2.78 %),100,0,100,0,0,0,"227,350,319",1.15%
16/08/2024,7.4(8.82 %),"-10,000",-0.07,0,0,"10,000",0.07,"227,350,419",1.15%
15/08/2024,6.8(-1.45 %),0,0,0,0,0,0,"227,340,419",1.16%
14/08/2024,6.9(0.00 %),"-9,900",-0.07,100,0,"10,000",0.07,"227,340,419",1.16%
13/08/2024,6.9(-1.43 %),0,0,0,0,0,0,"227,340,519",1.16%
12/08/2024,6.9(-1.43 %),0,0,0,0,0,0,"227,340,519",1.16%
09/08/2024,7(2.94 %),0,0,0,0,0,0,"227,340,519",1.16%
08/08/2024,6.8(1.49 %),0,0,0,0,0,0,"227,340,519",1.16%
07/08/2024,6.8(0.00 %),0,0,0,0,0,0,"227,340,519",1.16%
06/08/2024,6.8(0.00 %),0,0,0,0,0,0,"227,340,519",1.16%
05/08/2024,6.7(-6.94 %),0,0,0,0,0,0,"227,340,519",1.16%
02/08/2024,7.2(-1.37 %),0,0,0,0,0,0,"227,340,519",1.16%
01/08/2024,7.2(-4.00 %),0,0,0,0,0,0,"227,340,519",1.16%
31/07/2024,7.6(1.33 %),0,0,0,0,0,0,"227,340,419",1.16%
30/07/2024,7.5(-1.32 %),-100,-0,0,0,100,0,"227,340,419",1.16%
29/07/2024,7.6(0.00 %),0,0,0,0,0,0,"227,340,419",1.16%
24/07/2024,7.6(-1.30 %),"-5,000",-0.04,0,0,"5,000",0.04,"227,335,419",1.16%
23/07/2024,7.6(-2.56 %),0,0,0,0,0,0,"227,335,419",1.16%
22/07/2024,7.8(-2.50 %),0,0,0,0,0,0,"227,335,419",1.16%
19/07/2024,8(-1.23 %),0,0,0,0,0,0,"227,335,419",1.16%
18/07/2024,8.2(1.23 %),0,0,0,0,0,0,"227,335,419",1.16%
17/07/2024,8.2(0.00 %),"2,000",0.02,"2,000",0.02,0,0,"227,335,419",1.16%
