date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
29/08/2024,7.8,--,0(0.00 %),"561,268",4.38,"7,100",0.06,7.7,7.9,7.7
28/08/2024,7.9,--,0.1(1.28 %),"709,429",5.52,"11,000",0.09,7.8,7.9,7.7
27/08/2024,7.9,--,0.1(1.28 %),"427,923",3.34,"6,900",0.05,7.8,7.9,7.7
26/08/2024,7.9,--,0.1(1.28 %),"1,568,916",12.24,"10,600",0.08,7.9,7.9,7.7
23/08/2024,7.8,--,0(0.00 %),"776,531",6.06,"4,900",0.04,7.8,7.9,7.7
22/08/2024,7.8,--,0.1(1.30 %),"1,238,941",9.68,"22,800",0.17,7.8,7.9,7.8
21/08/2024,7.8,--,0.1(1.30 %),"1,158,366",8.94,"4,000",0.03,7.8,7.8,7.7
20/08/2024,7.8,--,0.1(1.30 %),"657,750",5.07,"15,700",0.12,7.8,7.8,7.7
19/08/2024,7.8,--,0.1(1.30 %),"544,809",4.21,"3,800",0.03,7.7,7.8,7.7
16/08/2024,7.7,--,0.1(1.32 %),"759,091",5.85,"9,500",0.07,7.7,7.8,7.6
15/08/2024,7.7,--,0.1(1.32 %),"390,481",2.97,"5,700",0.04,7.7,7.7,7.5
14/08/2024,7.7,--,0.1(1.32 %),"555,778",4.23,"6,600",0.05,7.6,7.7,7.6
13/08/2024,7.7,--,0.1(1.32 %),"609,114",4.63,"3,500",0.03,7.6,7.7,7.5
12/08/2024,7.7,--,0.1(1.32 %),"599,966",4.56,0,0,7.6,7.7,7.6
09/08/2024,7.6,--,0(0.00 %),"276,019",2.1,0,0,7.6,7.7,7.6
08/08/2024,7.6,--,0(0.00 %),"850,771",6.47,0,0,7.7,7.7,7.5
07/08/2024,7.7,--,0.1(1.32 %),"388,017",2.96,0,0,7.7,7.7,7.6
06/08/2024,7.7,--,0.1(1.32 %),"1,024,253",7.75,0,0,7.5,7.7,7.5
05/08/2024,7.6,--,-0.1(-1.30 %),"3,048,976",23.16,0,0,7.8,7.8,7.5
02/08/2024,7.8,--,0(0.00 %),"2,458,788",19.03,0,0,7.8,7.9,7.6
01/08/2024,7.9,--,0(0.00 %),"1,884,762",14.78,0,0,7.9,8,7.7
31/07/2024,8,--,0.1(1.27 %),"1,087,806",8.55,0,0,7.9,8,7.8
30/07/2024,7.9,--,0(0.00 %),"651,156",5.14,0,0,7.9,8,7.9
29/07/2024,7.9,--,0(0.00 %),"652,464",5.16,0,0,7.8,8,7.8
26/07/2024,7.9,--,0.1(1.28 %),"924,577",7.27,0,0,7.8,8,7.8
25/07/2024,7.9,--,0(0.00 %),"1,200,457",9.41,0,0,7.8,7.9,7.8
24/07/2024,7.9,--,0(0.00 %),"1,128,643",8.89,0,0,7.9,8,7.8
23/07/2024,7.9,--,-0.1(-1.25 %),"1,286,074",10.2,0,0,8,8.1,7.8
22/07/2024,8.1,--,0(0.00 %),"1,905,705",15.29,0,0,8.1,8.2,7.9
19/07/2024,8.1,--,-0.1(-1.22 %),"1,682,032",13.65,0,0,8.3,8.3,8
18/07/2024,8.3,--,0(0.00 %),"766,058",6.28,0,0,8.3,8.3,8.1
17/07/2024,8.3,--,0.2(2.47 %),"4,622,139",38.34,0,0,8.1,8.5,8.1
16/07/2024,8.1,--,0.1(1.25 %),"962,570",7.79,0,0,8,8.2,8
15/07/2024,8.1,--,0(0.00 %),"769,622",6.19,0,0,8.1,8.2,8
12/07/2024,8.1,--,0(0.00 %),"383,747",3.1,0,0,8.1,8.1,8
11/07/2024,8.2,--,0.1(1.23 %),"644,888",5.21,0,0,8.1,8.2,8
10/07/2024,8.1,--,0(0.00 %),"564,437",4.58,0,0,8.2,8.2,8
09/07/2024,8.2,--,0.1(1.23 %),"805,097",6.52,0,0,8.1,8.2,8
08/07/2024,8.2,--,0.1(1.23 %),"602,355",4.88,0,0,8.1,8.2,8
05/07/2024,8.2,--,0.1(1.23 %),"553,864",4.48,0,0,8.1,8.2,8
04/07/2024,8.1,--,0(0.00 %),"618,796",5.01,"80,000",0.55,8.1,8.2,8
03/07/2024,8.1,--,0.1(1.25 %),"808,924",6.54,0,0,8.1,8.2,8
02/07/2024,8.1,--,0.1(1.25 %),"695,003",5.57,0,0,8,8.1,7.9
01/07/2024,8,--,0(0.00 %),"907,384",7.23,0,0,8.1,8.1,7.9
