date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
09/09/2024,11.6,--,0(0.00 %),"12,563",0.15,0,0,11.6,11.7,11.3
06/09/2024,11.6,--,0.2(1.75 %),"27,066",0.31,0,0,11.4,12.2,11.4
05/09/2024,11.5,--,0.1(0.88 %),"61,752",0.7,0,0,11.6,11.6,11.2
04/09/2024,12,11.49,0(0.00 %),"19,644",0.23,0,0,11.8,12,11.8
30/08/2024,12,11.49,0(0.00 %),"20,869",0.25,0,0,12,12.1,11.9
29/08/2024,12,11.49,0.2(1.69 %),"30,922",0.37,0,0,11.9,12,11.9
28/08/2024,11.8,11.3,-0.1(-0.84 %),"31,538",0.37,0,0,11.9,11.9,11.7
27/08/2024,11.9,11.4,-0.1(-0.83 %),"13,361",0.16,0,0,12,12,11.8
26/08/2024,11.9,11.4,-0.1(-0.83 %),"31,800",0.38,0,0,12.1,12.2,11.9
23/08/2024,12.1,11.59,0(0.00 %),"48,654",0.58,0,0,12.1,12.1,11.9
22/08/2024,12.1,11.59,-0.2(-1.63 %),"33,466",0.41,0,0,12.3,12.3,12
21/08/2024,12.2,11.69,-0.1(-0.81 %),"102,839",1.26,0,0,12.4,12.4,12.1
20/08/2024,12.3,11.78,0.1(0.82 %),"45,936",0.57,0,0,12.2,12.5,12.2
19/08/2024,12.2,11.69,0.2(1.67 %),"25,091",0.31,0,0,12.1,12.3,12.1
16/08/2024,12.1,11.59,0.5(4.31 %),"32,609",0.39,0,0,12,12.1,11.9
15/08/2024,11.7,11.21,-0.3(-2.50 %),"33,662",0.39,0,0,11,12,11
14/08/2024,12,11.49,0(0.00 %),"34,738",0.42,0,0,12.1,12.4,11.7
13/08/2024,12.2,11.69,0.3(2.52 %),"80,256",0.97,0,0,12.1,12.3,12
12/08/2024,12,11.49,0(0.00 %),"31,953",0.38,0,0,12.1,12.1,11.8
09/08/2024,12.1,11.59,0.1(0.83 %),"19,332",0.23,"1,000,000",12.46,12.3,12.3,12
09/08/2024,12.1,11.59,0.1(0.83 %),"19,332",0.23,"1,000,000",12.46,12.3,12.3,12
08/08/2024,11.9,11.4,0.3(2.59 %),"69,113",0.83,0,0,12,12.3,11.8
