date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
09/09/2024,25.5,--,-0.3(-1.16 %),"18,081",0.46,0,0,25.6,25.6,25.3
06/09/2024,26,--,0.2(0.78 %),"12,220",0.31,0,0,25.8,26,25.6
05/09/2024,25.8,--,-0.2(-0.77 %),"51,968",1.34,0,0,25.8,25.9,25.5
04/09/2024,26,--,0.2(0.78 %),141,0,0,0,26,26,26
30/08/2024,26,--,0.2(0.78 %),"17,463",0.45,0,0,26,26,25.5
29/08/2024,26,--,0.1(0.39 %),"20,024",0.52,0,0,25.9,26,25.6
28/08/2024,26,--,0(0.00 %),"14,518",0.38,0,0,25.9,26.1,25.8
27/08/2024,25.9,--,0.1(0.39 %),"52,442",1.36,0,0,26,26.1,25.8
26/08/2024,25.9,--,0.1(0.39 %),"21,110",0.55,0,0,25.9,26,25.7
23/08/2024,25.9,--,-0.1(-0.38 %),"38,580",0.99,0,0,25.9,25.9,25.7
22/08/2024,25.9,--,0(0.00 %),"67,182",1.75,0,0,26,26.2,25.9
21/08/2024,26,--,0.1(0.39 %),"58,396",1.51,0,0,25.9,26,25.7
20/08/2024,25.9,--,0.5(1.97 %),"42,991",1.11,0,0,25.5,26,25.5
19/08/2024,25.6,--,0.2(0.79 %),"83,636",2.13,0,0,25.4,25.6,25.3
16/08/2024,25.5,--,0.1(0.39 %),"39,935",1.02,0,0,25.4,25.8,25.3
15/08/2024,25.4,--,0(0.00 %),"10,983",0.28,0,0,25.5,25.6,25.2
14/08/2024,25.4,--,0.1(0.40 %),"73,089",1.85,0,0,25.6,25.7,25.2
13/08/2024,25.4,--,0.2(0.79 %),"22,657",0.57,0,0,25.2,25.5,25.2
12/08/2024,25.3,--,0.8(3.27 %),"148,971",3.75,0,0,24.8,25.5,24.5
09/08/2024,24.7,--,0.6(2.49 %),"18,404",0.45,0,0,24.3,24.7,24.1
09/08/2024,24.7,--,0.6(2.49 %),"18,404",0.45,0,0,24.3,24.7,24.1
08/08/2024,24.5,--,0.3(1.24 %),"24,935",0.6,0,0,24,24.5,23.9
07/08/2024,24.4,--,0.1(0.41 %),"37,981",0.92,0,0,24.6,24.9,24
06/08/2024,24.9,--,0.3(1.22 %),"38,257",0.93,0,0,23.8,25.3,23.2
05/08/2024,24.1,--,-1.2(-4.74 %),"61,601",1.51,0,0,25.3,25.3,24.1
02/08/2024,25.6,--,0.2(0.79 %),"125,159",3.17,0,0,25.4,25.9,24.8
01/08/2024,25.4,--,-0.5(-1.93 %),"72,079",1.83,0,0,25.9,25.9,24.1
31/07/2024,26,--,0.2(0.78 %),"18,814",0.49,0,0,26,26.3,25.8
30/07/2024,25.8,--,0.1(0.39 %),"27,862",0.72,0,0,26,26.3,25.4
29/07/2024,25.8,--,0.1(0.39 %),"21,386",0.55,0,0,25.7,25.8,25.6
26/07/2024,25.9,--,0.3(1.17 %),"43,601",1.12,0,0,26,26,25.6
25/07/2024,25.7,--,0.3(1.18 %),"20,426",0.52,0,0,25.4,26,25.4
24/07/2024,26,--,0.3(1.17 %),"60,037",1.52,0,0,25.4,26,25
23/07/2024,25.8,--,0(0.00 %),"80,177",2.06,0,0,26,26.1,25.4
22/07/2024,27.1,26.09,0(0.00 %),"105,821",2.84,0,0,27,27.3,26.5
19/07/2024,27.3,26.28,0(0.00 %),"88,368",2.4,0,0,27.6,27.7,27
18/07/2024,27.5,26.47,0.1(0.36 %),"48,994",1.34,0,0,27.5,27.7,27.1
17/07/2024,27.3,26.28,0(0.00 %),"104,034",2.85,0,0,27.7,27.8,27
16/07/2024,27.3,26.28,-0.1(-0.36 %),"159,301",4.35,0,0,27.5,27.5,27.1
15/07/2024,27.5,26.47,0(0.00 %),"56,638",1.55,0,0,27.2,27.6,27.2
12/07/2024,27.5,26.47,0(0.00 %),"131,217",3.6,0,0,27.3,27.7,27.3
11/07/2024,27.3,26.28,-0.3(-1.09 %),"62,500",1.72,0,0,27.7,27.8,27.3
10/07/2024,27.7,26.67,0(0.00 %),"75,504",2.09,0,0,27.9,27.9,27.5
09/07/2024,27.7,26.67,0.5(1.84 %),"131,876",3.66,0,0,27.2,28.1,27.2
08/07/2024,27.3,26.28,0.2(0.74 %),"47,672",1.29,0,0,27.2,27.6,27
05/07/2024,27.3,26.28,0.3(1.11 %),"59,302",1.61,0,0,27.3,27.9,26.9
04/07/2024,27.2,26.19,0.1(0.37 %),"166,800",4.5,0,0,27.1,27.6,26.7
03/07/2024,27.2,26.19,0(0.00 %),"122,564",3.32,0,0,27.4,27.4,27
02/07/2024,27.3,26.28,0.2(0.74 %),"67,684",1.84,0,0,26.9,27.5,26.8
01/07/2024,27,25.99,-0.5(-1.82 %),"86,296",2.34,0,0,27.7,27.7,27
28/06/2024,28.2,27.15,0(0.00 %),"168,660",4.64,0,0,28.2,28.9,27
27/06/2024,28.2,27.15,0.8(2.92 %),"165,806",4.67,0,0,27.8,28.7,27.7
26/06/2024,27.8,26.76,0(0.00 %),"156,832",4.29,0,0,27.9,27.9,27
25/06/2024,28.1,27.05,-0.6(-2.09 %),"119,103",3.32,0,0,28.6,28.7,27.5
24/06/2024,28.7,27.63,0.9(3.24 %),"567,839",16.27,0,0,28.1,29.2,28
21/06/2024,27.9,26.86,1.3(4.89 %),"241,674",6.72,0,0,26.9,28.2,26.9
20/06/2024,26.8,25.8,0.4(1.52 %),"168,810",4.48,0,0,26.5,27.1,26.3
19/06/2024,26.5,25.51,0(0.00 %),"34,537",0.91,0,0,26.5,26.8,26.2
18/06/2024,26.4,25.42,0.3(1.15 %),"31,633",0.84,0,0,26.5,26.6,26.2
