date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
07/06/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
04/06/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
03/06/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
02/06/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
01/06/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
31/05/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
28/05/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
27/05/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
26/05/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
25/05/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
24/05/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
21/05/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
20/05/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
19/05/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
18/05/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
17/05/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
14/05/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
13/05/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
12/05/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
11/05/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
11/05/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
10/05/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
07/05/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
06/05/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
05/05/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
04/05/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
29/04/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
28/04/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
27/04/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
26/04/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
23/04/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
22/04/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
20/04/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
19/04/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
16/04/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
15/04/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
14/04/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
13/04/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
12/04/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
09/04/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
08/04/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
07/04/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
06/04/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
05/04/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
02/04/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
01/04/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
31/03/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
30/03/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
29/03/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
26/03/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
25/03/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
24/03/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
23/03/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
22/03/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
19/03/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
18/03/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
17/03/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
16/03/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
15/03/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
12/03/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
11/03/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
10/03/2021,4.2,--,0(0.00 %),0,0,0,0,4.2,4.2,4.2
09/03/2021,4.2,--,0(0.00 %),0,0,"23,040",0.08,4.2,4.2,4.2
05/03/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
04/03/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
03/03/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
02/03/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
01/03/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
26/02/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
25/02/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
24/02/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
23/02/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
22/02/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
19/02/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
18/02/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
17/02/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
09/02/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
05/02/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
04/02/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
03/02/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
02/02/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
01/02/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
29/01/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
28/01/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
27/01/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
26/01/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
25/01/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
22/01/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
21/01/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
20/01/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
19/01/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
18/01/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
15/01/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
14/01/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
13/01/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
12/01/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
11/01/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
08/01/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
07/01/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
06/01/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
05/01/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
04/01/2021,3,--,0(0.00 %),0,0,0,0,3,3,3
31/12/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
30/12/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
29/12/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
28/12/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
25/12/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
24/12/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
23/12/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
22/12/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
21/12/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
18/12/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
17/12/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
16/12/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
15/12/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
14/12/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
11/12/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
10/12/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
09/12/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
08/12/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
07/12/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
04/12/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
03/12/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
02/12/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
01/12/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
30/11/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
27/11/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
26/11/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
25/11/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
24/11/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
23/11/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
20/11/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
19/11/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
18/11/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
17/11/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
16/11/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
13/11/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
12/11/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
11/11/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
10/11/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
09/11/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
06/11/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
05/11/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
04/11/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
03/11/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
02/11/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
30/10/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
29/10/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
28/10/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
27/10/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
26/10/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
23/10/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
22/10/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
21/10/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
20/10/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
19/10/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
16/10/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
15/10/2020,3,--,0(0.00 %),0,0,0,0,3,3,3
