date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
07/06/2021,4.2 ( 0 %),4,700,175,0,0,0,700
04/06/2021,4.2 ( 0 %),4,600,150,0,0,0,600
03/06/2021,4.2 ( 0 %),4,600,150,0,0,0,600
02/06/2021,4.2 ( 0 %),6,"3,600",600,0,0,0,"3,600"
01/06/2021,4.2 ( 0 %),4,600,150,0,0,0,600
31/05/2021,4.2 ( 0 %),3,500,166.67,0,0,0,500
28/05/2021,4.2 ( 0 %),3,500,166.67,0,0,0,500
27/05/2021,4.2 ( 0 %),6,800,133.33,0,0,0,800
26/05/2021,4.2 ( 0 %),5,"1,600",320,0,0,0,"1,600"
25/05/2021,4.2 ( 0 %),5,"1,600",320,0,0,0,"1,600"
24/05/2021,4.2 ( 0 %),7,"1,800",257.14,0,0,0,"1,800"
21/05/2021,4.2 ( 0 %),6,"3,600",600,0,0,0,"3,600"
20/05/2021,4.2 ( 0 %),5,"1,600",320,0,0,0,"1,600"
19/05/2021,4.2 ( 0 %),5,"6,500","1,300",0,0,0,"6,500"
18/05/2021,4.2 ( 0 %),4,"1,500",375,0,0,0,"1,500"
17/05/2021,4.2 ( 0 %),4,"1,500",375,0,0,0,"1,500"
14/05/2021,4.2 ( 0 %),6,"6,600","1,100",0,0,0,"6,600"
13/05/2021,4.2 ( 0 %),5,"1,600",320,0,0,0,"1,600"
12/05/2021,4.2 ( 0 %),5,"1,600",320,0,0,0,"1,600"
11/05/2021,4.2 ( 0 %),6,"6,600","1,100",0,0,0,"6,600"
10/05/2021,4.2 ( 0 %),6,"6,600","1,100",0,0,0,"6,600"
07/05/2021,4.2 ( 0 %),5,"1,600",320,0,0,0,"1,600"
06/05/2021,4.2 ( 0 %),7,"4,800",685.71,0,0,0,"4,800"
05/05/2021,4.2 ( 0 %),7,"8,600","1,228.57",0,0,0,"8,600"
04/05/2021,4.2 ( 0 %),7,"3,700",528.57,0,0,0,"3,700"
29/04/2021,4.2 ( 0 %),7,"8,600","1,228.57",0,0,0,"8,600"
28/04/2021,4.2 ( 0 %),7,"8,600","1,228.57",0,0,0,"8,600"
27/04/2021,4.2 ( 0 %),5,"2,600",520,0,0,0,"2,600"
26/04/2021,4.2 ( 0 %),7,"2,900",414.29,0,0,0,"2,900"
23/04/2021,4.2 ( 0 %),5,"2,600",520,0,0,0,"2,600"
22/04/2021,4.2 ( 0 %),5,"5,600","1,120",0,0,0,"5,600"
20/04/2021,4.2 ( 0 %),5,"10,500","2,100",0,0,0,"10,500"
19/04/2021,4.2 ( 0 %),11,"18,600","1,690.91",0,0,0,"18,600"
16/04/2021,4.2 ( 0 %),7,"6,500",928.57,0,0,0,"6,500"
15/04/2021,4.2 ( 0 %),12,"14,700","1,225",0,0,0,"14,700"
14/04/2021,4.2 ( 0 %),9,"14,900","1,655.56",0,0,0,"14,900"
13/04/2021,4.2 ( 0 %),10,"20,000","2,000",0,0,0,"20,000"
12/04/2021,4.2 ( 0 %),12,"16,200","1,350",0,0,0,"16,200"
09/04/2021,4.2 ( 0 %),12,"17,400","1,450",0,0,0,"17,400"
08/04/2021,4.2 ( 0 %),8,"9,900","1,237.5",0,0,0,"9,900"
07/04/2021,4.2 ( 0 %),9,"10,000","1,111.11",0,0,0,"10,000"
06/04/2021,4.2 ( 0 %),12,"15,400","1,283.33",0,0,0,"15,400"
05/04/2021,4.2 ( 0 %),10,"15,000","1,500",0,0,0,"15,000"
02/04/2021,4.2 ( 0 %),9,"6,300",700,0,0,0,"6,300"
01/04/2021,4.2 ( 0 %),10,"15,000","1,500",0,0,0,"15,000"
31/03/2021,4.2 ( 0 %),10,"15,100","1,510",0,0,0,"15,100"
30/03/2021,4.2 ( 0 %),9,"10,000","1,111.11",0,0,0,"10,000"
29/03/2021,4.2 ( 0 %),12,"13,100","1,091.67",0,0,0,"13,100"
26/03/2021,4.2 ( 0 %),9,"7,100",788.89,0,0,0,"7,100"
25/03/2021,4.2 ( 0 %),14,"11,400",814.29,0,0,0,"11,400"
24/03/2021,4.2 ( 0 %),12,"9,400",783.33,0,0,0,"9,400"
23/03/2021,4.2 ( 0 %),11,"10,200",927.27,0,0,0,"10,200"
22/03/2021,4.2 ( 0 %),13,"14,700","1,130.77",0,0,0,"14,700"
19/03/2021,4.2 ( 0 %),11,"10,200",927.27,0,0,0,"10,200"
