date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
06/09/2024,24.6 ( 0.41 %),"1,986","7,695,000","3,874.62","2,245","10,524,300","4,688","-2,829,300"
05/09/2024,24.5 ( -0.61 %),"2,100","5,584,400","2,659.24","2,135","8,953,600","4,194","-3,369,200"
04/09/2024,24.65 ( -0.6 %),"3,395","9,557,300","2,815.11","2,318","10,308,300","4,447","-751,000"
30/08/2024,24.8 ( 0.61 %),"1,688","8,203,000","4,859.6","3,412","11,177,500","3,276","-2,974,500"
29/08/2024,24.65 ( 0.61 %),"2,833","15,514,700","5,476.42","5,097","20,108,300","3,945","-4,593,600"
28/08/2024,24.5 ( 0.2 %),"2,112","12,126,200","5,741.57","2,665","10,986,100","4,122","1,140,100"
27/08/2024,24.45 ( 0 %),"1,651","11,418,900","6,916.35","2,969","11,351,200","3,823","67,700"
26/08/2024,24.45 ( 0 %),"2,020","9,914,600","4,908.22","3,175","11,952,100","3,764","-2,037,500"
23/08/2024,24.45 ( 0.2 %),"2,128","8,271,700","3,887.08","2,961","9,848,000","3,326","-1,576,300"
22/08/2024,24.4 ( 0 %),"2,920","13,985,400","4,789.52","3,694","15,687,900","4,247","-1,702,500"
21/08/2024,24.4 ( 1.24 %),"2,565","14,793,300","5,767.37","3,586","13,427,500","3,744","1,365,800"
20/08/2024,24.1 ( 0.21 %),"2,505","13,132,800","5,242.63","3,117","11,926,200","3,826","1,206,600"
19/08/2024,24.05 ( 0.21 %),"2,052","6,893,400","3,359.36","2,632","9,003,600","3,421","-2,110,200"
16/08/2024,24 ( 2.13 %),"2,619","12,162,500","4,643.95","3,459","12,432,600","3,594","-270,100"
15/08/2024,23.5 ( -0.21 %),"2,634","7,000,600","2,657.78","1,699","7,443,100","4,381","-442,500"
14/08/2024,23.55 ( -0.21 %),"1,746","6,425,200","3,679.95","2,113","7,452,100","3,527","-1,026,900"
13/08/2024,23.6 ( -0.84 %),"2,047","6,322,300","3,088.57","2,024","6,826,300","3,373","-504,000"
12/08/2024,23.8 ( 0.85 %),"3,548","8,882,400","2,503.49","2,013","7,100,200","3,527","1,782,200"
08/08/2024,0 ( 0 %),"3,428","7,477,700","2,181.36","1,836","7,862,200","4,282","-384,500"
07/08/2024,23.4 ( -0.43 %),"3,564","8,752,100","2,455.7","1,746","8,645,100","4,951","107,000"
06/08/2024,23.5 ( 1.29 %),"4,691","14,948,200","3,186.57","3,760","13,919,300","3,702","1,028,900"
