date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
06/09/2024,13.85 ( 0.36 %),39,"82,500","2,115.38",67,"147,200","2,197","-64,700"
05/09/2024,13.8 ( -0.36 %),23,"86,400","3,756.52",60,"58,300",972,"28,100"
04/09/2024,13.85 ( 0 %),29,"114,800","3,958.62",66,"94,900","1,438","19,900"
30/08/2024,13.85 ( 0.36 %),21,"73,900","3,519.05",66,"107,600","1,630","-33,700"
29/08/2024,13.8 ( 0.73 %),59,"1,083,600","18,366.1",223,"1,232,500","5,527","-148,900"
28/08/2024,13.7 ( 2.24 %),28,"78,300","2,796.43",48,"42,000",875,"36,300"
27/08/2024,13.4 ( -0.37 %),28,"89,000","3,178.57",54,"64,300","1,191","24,700"
26/08/2024,13.45 ( -1.47 %),40,"131,800","3,295",57,"135,200","2,372","-3,400"
23/08/2024,13.65 ( -1.09 %),46,"70,300","1,528.26",68,"86,600","1,274","-16,300"
22/08/2024,13.8 ( 0 %),36,"133,000","3,694.44",56,"77,500","1,384","55,500"
21/08/2024,13.8 ( 0.36 %),53,"75,000","1,415.09",71,"115,000","1,620","-40,000"
20/08/2024,13.75 ( 0.36 %),54,"112,900","2,090.74",108,"154,900","1,434","-42,000"
19/08/2024,13.7 ( 0.74 %),60,"105,300","1,755",89,"84,300",947,"21,000"
16/08/2024,13.6 ( 1.87 %),31,"140,100","4,519.35",20,"51,600","2,580","88,500"
15/08/2024,13.35 ( -0.74 %),34,"104,100","3,061.76",38,"68,300","1,797","35,800"
14/08/2024,13.45 ( -1.1 %),33,"169,000","5,121.21",55,"177,800","3,233","-8,800"
13/08/2024,13.6 ( 0 %),27,"110,500","4,092.59",45,"116,800","2,596","-6,300"
12/08/2024,13.6 ( -0.73 %),34,"39,200","1,152.94",50,"128,900","2,578","-89,700"
08/08/2024,0 ( 0 %),18,"61,500","3,416.67",51,"57,700","1,131","3,800"
07/08/2024,13.25 ( 0 %),31,"116,400","3,754.84",44,"51,300","1,166","65,100"
06/08/2024,13.25 ( 6.85 %),32,"33,500","1,046.88",26,"21,400",823,"12,100"
05/08/2024,12.4 ( -6.42 %),17,"18,100","1,064.71",37,"57,400","1,551","-39,300"
02/08/2024,13.25 ( 1.92 %),28,"16,900",603.57,27,"27,200","1,007","-10,300"
01/08/2024,13 ( -5.8 %),25,"67,100","2,684",67,"73,400","1,096","-6,300"
31/07/2024,13.8 ( -0.72 %),42,"42,900","1,021.43",67,"103,400","1,543","-60,500"
30/07/2024,13.9 ( 0 %),31,"84,800","2,735.48",119,"125,200","1,052","-40,400"
29/07/2024,13.9 ( 0 %),34,"39,700","1,167.65",74,"96,200","1,300","-56,500"
26/07/2024,13.9 ( 1.46 %),60,"93,800","1,563.33",87,"65,600",754,"28,200"
25/07/2024,13.7 ( 2.62 %),57,"50,500",885.96,71,"100,900","1,421","-50,400"
24/07/2024,13.35 ( -2.55 %),29,"15,400",531.03,74,"114,600","1,549","-99,200"
22/07/2024,13.95 ( 0 %),65,"54,500",838.46,98,"116,000","1,184","-61,500"
19/07/2024,13.95 ( 0 %),49,"81,800","1,669.39",135,"177,600","1,316","-95,800"
18/07/2024,13.95 ( -0.71 %),110,"224,400","2,040",128,"198,800","1,553","25,600"
17/07/2024,14.05 ( 0.36 %),123,"209,000","1,699.19",147,"180,600","1,229","28,400"
16/07/2024,14 ( 2.19 %),153,"367,500","2,401.96",197,"389,500","1,977","-22,000"
15/07/2024,13.7 ( 1.11 %),69,"218,500","3,166.67",123,"175,200","1,424","43,300"
12/07/2024,13.55 ( 0 %),76,"134,500","1,769.74",83,"113,900","1,372","20,600"
11/07/2024,13.55 ( 0.37 %),56,"266,800","4,764.29",90,"158,100","1,757","108,700"
10/07/2024,0 ( 0 %),62,"241,900","3,901.61",100,"279,900","2,799","-38,000"
09/07/2024,13.5 ( 0 %),43,"267,600","6,223.26",77,"358,000","4,649","-90,400"
08/07/2024,13.5 ( 0.37 %),67,"209,200","3,122.39",79,"204,400","2,587","4,800"
05/07/2024,13.45 ( 0 %),37,"205,000","5,540.54",79,"152,400","1,929","52,600"
04/07/2024,13.45 ( 1.51 %),55,"146,000","2,654.55",48,"183,000","3,812","-37,000"
03/07/2024,13.25 ( -3.64 %),55,"156,200","2,840",80,"238,600","2,982","-82,400"
02/07/2024,13.75 ( 4.17 %),78,"138,600","1,776.92",88,"192,500","2,188","-53,900"
01/07/2024,13.2 ( -4.69 %),50,"67,500","1,350",85,"194,300","2,286","-126,800"
28/06/2024,13.85 ( 0.36 %),110,"140,800","1,280",77,"137,300","1,783","3,500"
27/06/2024,13.8 ( 0.36 %),101,"395,600","3,916.83",84,"302,800","3,605","92,800"
26/06/2024,13.75 ( -0.72 %),22,"15,100",686.36,60,"184,200","3,070","-169,100"
25/06/2024,13.85 ( 0 %),41,"62,700","1,529.27",84,"176,500","2,101","-113,800"
24/06/2024,13.85 ( -0.36 %),104,"115,300","1,108.65",98,"264,700","2,701","-149,400"
21/06/2024,13.9 ( -2.11 %),96,"120,900","1,259.38",86,"365,200","4,247","-244,300"
20/06/2024,14.2 ( -2.74 %),82,"87,400","1,065.85",80,"207,300","2,591","-119,900"
19/06/2024,14.6 ( 0 %),83,"153,700","1,851.81",84,"171,500","2,042","-17,800"
18/06/2024,14.6 ( 0.34 %),114,"173,400","1,521.05",69,"150,700","2,184","22,700"
17/06/2024,14.55 ( -0.68 %),79,"139,300","1,763.29",86,"147,700","1,717","-8,400"
14/06/2024,14.65 ( -0.68 %),48,"121,200","2,525",115,"151,200","1,315","-30,000"
13/06/2024,14.75 ( 1.37 %),93,"144,000","1,548.39",168,"228,500","1,360","-84,500"
12/06/2024,14.55 ( -1.69 %),119,"217,000","1,823.53",114,"157,500","1,382","59,500"
11/06/2024,14.8 ( 0 %),46,"163,800","3,560.87",106,"138,000","1,302","25,800"
10/06/2024,14.8 ( -0.67 %),76,"206,000","2,710.53",92,"144,700","1,573","61,300"
07/06/2024,14.9 ( 0 %),53,"180,000","3,396.23",165,"236,500","1,433","-56,500"
06/06/2024,14.9 ( 3.11 %),134,"300,700","2,244.03",197,"255,900","1,299","44,800"
05/06/2024,14.45 ( 1.76 %),54,"153,800","2,848.15",84,"134,100","1,596","19,700"
04/06/2024,14.2 ( -0.7 %),101,"193,500","1,915.84",87,"183,400","2,108","10,100"
03/06/2024,14.3 ( -1.38 %),34,"39,800","1,170.59",79,"101,300","1,282","-61,500"
31/05/2024,14.5 ( 0 %),20,"85,400","4,270",64,"64,300","1,005","21,100"
30/05/2024,14.5 ( 0 %),35,"76,500","2,185.71",80,"77,000",962,-500
