date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
09/09/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
06/09/2024,0.6,--,0(0.00 %),"544,955",0.33,0,0,0.6,0.7,0.6
05/09/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
04/09/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
30/08/2024,0.7,--,0(0.00 %),"253,332",0.16,0,0,0.6,0.7,0.6
29/08/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
28/08/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
27/08/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
26/08/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
23/08/2024,0.6,--,0(0.00 %),"243,427",0.16,0,0,0.6,0.7,0.6
22/08/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
21/08/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
20/08/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
19/08/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
16/08/2024,0.7,--,0.1(16.67 %),"225,338",0.14,0,0,0.6,0.7,0.6
15/08/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
14/08/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
13/08/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
12/08/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
09/08/2024,0.7,--,0.1(16.67 %),"135,994",0.08,0,0,0.6,0.7,0.6
09/08/2024,0.7,--,0.1(16.67 %),"135,994",0.08,0,0,0.6,0.7,0.6
08/08/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
07/08/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
06/08/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
05/08/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
02/08/2024,0.7,--,0(0.00 %),"293,947",0.18,0,0,0.7,0.7,0.6
01/08/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
31/07/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
30/07/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
29/07/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
26/07/2024,0.7,--,0(0.00 %),"116,513",0.08,0,0,0.7,0.7,0.6
25/07/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
24/07/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
23/07/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
22/07/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
19/07/2024,0.6,--,-0.1(-14.29 %),"364,476",0.25,0,0,0.7,0.8,0.6
18/07/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
17/07/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
16/07/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
15/07/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
12/07/2024,0.7,--,0.1(16.67 %),"1,394,034",0.98,0,0,0.6,0.7,0.6
11/07/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
10/07/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
09/07/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
08/07/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
05/07/2024,0.7,--,0(0.00 %),"1,463,621",0.94,0,0,0.7,0.8,0.6
04/07/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
03/07/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
02/07/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
01/07/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
28/06/2024,0.7,--,0(0.00 %),"172,617",0.11,0,0,0.7,0.7,0.6
27/06/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
26/06/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
25/06/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
24/06/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
21/06/2024,0.7,--,-0.1(-12.50 %),"1,108,611",0.78,0,0,0.8,0.8,0.7
20/06/2024,0.8,--,0(0.00 %),0,0,0,0,0.8,0.8,0.8
19/06/2024,0.8,--,0(0.00 %),0,0,0,0,0.8,0.8,0.8
18/06/2024,0.8,--,0(0.00 %),0,0,0,0,0.8,0.8,0.8
17/06/2024,0.8,--,0(0.00 %),0,0,0,0,0.8,0.8,0.8
14/06/2024,0.8,--,-0.1(-11.11 %),"1,104,287",0.91,0,0,1,1,0.8
13/06/2024,0.9,--,0(0.00 %),0,0,0,0,0.9,0.9,0.9
12/06/2024,0.9,--,0(0.00 %),0,0,0,0,0.9,0.9,0.9
11/06/2024,0.9,--,0(0.00 %),0,0,0,0,0.9,0.9,0.9
10/06/2024,0.9,--,0(0.00 %),0,0,0,0,0.9,0.9,0.9
07/06/2024,0.9,--,0.1(12.50 %),"4,871,570",4.38,0,0,0.9,0.9,0.8
06/06/2024,0.8,--,0(0.00 %),0,0,0,0,0.8,0.8,0.8
05/06/2024,0.8,--,0(0.00 %),0,0,0,0,0.8,0.8,0.8
04/06/2024,0.8,--,0(0.00 %),0,0,0,0,0.8,0.8,0.8
03/06/2024,0.8,--,0(0.00 %),0,0,0,0,0.8,0.8,0.8
31/05/2024,0.8,--,0.1(14.29 %),"1,248,041",1,0,0,0.8,0.8,0.7
30/05/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
29/05/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
28/05/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
27/05/2024,0.7,--,0(0.00 %),0,0,0,0,0.7,0.7,0.7
24/05/2024,0.7,--,0.1(16.67 %),"2,044,543",1.42,0,0,0.6,0.7,0.5
23/05/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
22/05/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
21/05/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
20/05/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
17/05/2024,0.6,--,0.1(20.00 %),"1,196,960",0.72,0,0,0.5,0.6,0.5
16/05/2024,0.5,--,0(0.00 %),0,0,0,0,0.5,0.5,0.5
15/05/2024,0.5,--,0(0.00 %),0,0,0,0,0.5,0.5,0.5
14/05/2024,0.5,--,0(0.00 %),0,0,0,0,0.5,0.5,0.5
13/05/2024,0.5,--,0(0.00 %),0,0,0,0,0.5,0.5,0.5
10/05/2024,0.6,--,0(0.00 %),"414,820",0.23,0,0,0.6,0.6,0.5
09/05/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
08/05/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
07/05/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
06/05/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
03/05/2024,0.6,--,0.1(20.00 %),"216,578",0.13,0,0,0.5,0.6,0.5
02/05/2024,0.5,--,0(0.00 %),0,0,0,0,0.5,0.5,0.5
26/04/2024,0.6,--,0(0.00 %),"227,542",0.12,0,0,0.6,0.6,0.5
25/04/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
24/04/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
23/04/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
22/04/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
19/04/2024,0.5,--,-0.1(-16.67 %),"133,118",0.07,0,0,0.6,0.6,0.5
17/04/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
16/04/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
15/04/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
12/04/2024,0.6,--,0(0.00 %),"278,506",0.16,0,0,0.6,0.7,0.5
11/04/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
10/04/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
09/04/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
08/04/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
05/04/2024,0.6,--,0(0.00 %),"310,960",0.19,0,0,0.7,0.7,0.6
04/04/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
03/04/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
02/04/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
01/04/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
29/03/2024,0.7,--,0.1(16.67 %),"226,439",0.14,0,0,0.6,0.7,0.6
28/03/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
27/03/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
26/03/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
25/03/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
22/03/2024,0.6,--,0.1(20.00 %),"700,167",0.42,0,0,0.5,0.6,0.5
21/03/2024,0.5,--,0(0.00 %),0,0,0,0,0.5,0.5,0.5
20/03/2024,0.5,--,0(0.00 %),0,0,0,0,0.5,0.5,0.5
19/03/2024,0.5,--,0(0.00 %),0,0,0,0,0.5,0.5,0.5
18/03/2024,0.5,--,0(0.00 %),0,0,0,0,0.5,0.5,0.5
15/03/2024,0.5,--,-0.1(-16.67 %),"453,776",0.25,0,0,0.6,0.6,0.5
14/03/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
13/03/2024,0.6,--,0(0.00 %),0,0,0,0,0.6,0.6,0.6
