date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
06/09/2024,0.6 ( 0 %),111,"1,822,800","16,421.62",89,"1,308,100","14,698","514,700"
05/09/2024,0.6 ( 0 %),0,0,0,0,0,0,0
04/09/2024,0.6 ( 0 %),0,0,0,0,0,0,0
30/08/2024,0.7 ( 0 %),104,"772,500","7,427.88",132,"1,514,300","11,472","-741,800"
29/08/2024,0.7 ( 0 %),0,0,0,0,0,0,0
28/08/2024,0.7 ( 0 %),0,0,0,0,0,0,0
27/08/2024,0.7 ( 0 %),0,0,0,0,0,0,0
26/08/2024,0.7 ( 0 %),0,0,0,0,0,0,0
23/08/2024,0.6 ( 0 %),132,"2,149,000","16,280.3",106,"1,290,500","12,175","858,500"
22/08/2024,0.6 ( 0 %),0,0,0,0,0,0,0
21/08/2024,0.6 ( 0 %),0,0,0,0,0,0,0
20/08/2024,0.6 ( 0 %),0,0,0,0,0,0,0
19/08/2024,0.6 ( 0 %),0,0,0,0,0,0,0
16/08/2024,0.7 ( 16.67 %),144,"12,859,500","89,302.08",120,"1,511,000","12,592","11,348,500"
15/08/2024,0.6 ( 0 %),0,0,0,0,0,0,0
14/08/2024,0.6 ( 0 %),0,0,0,0,0,0,0
13/08/2024,0.6 ( 0 %),0,0,0,0,0,0,0
12/08/2024,0.6 ( 0 %),0,0,0,0,0,0,0
09/08/2024,0.7 ( 16.67 %),98,"3,020,600","30,822.45",89,"1,136,300","12,767","1,884,300"
08/08/2024,0.6 ( 0 %),0,0,0,0,0,0,0
07/08/2024,0.6 ( 0 %),0,0,0,0,0,0,0
06/08/2024,0.6 ( 0 %),0,0,0,0,0,0,0
05/08/2024,0.6 ( 0 %),0,0,0,0,0,0,0
02/08/2024,0.7 ( 0 %),112,"1,391,500","12,424.11",134,"1,571,800","11,730","-180,300"
01/08/2024,0.7 ( 0 %),0,0,0,0,0,0,0
31/07/2024,0.7 ( 0 %),0,0,0,0,0,0,0
30/07/2024,0.7 ( 0 %),0,0,0,0,0,0,0
29/07/2024,0.7 ( 0 %),0,0,0,0,0,0,0
26/07/2024,0.7 ( 0 %),111,"1,917,400","17,273.87",119,"1,504,500","12,643","412,900"
25/07/2024,0.7 ( 0 %),0,0,0,0,0,0,0
24/07/2024,0.7 ( 0 %),0,0,0,0,0,0,0
23/07/2024,0.7 ( 0 %),0,0,0,0,0,0,0
22/07/2024,0.7 ( 0 %),0,0,0,0,0,0,0
19/07/2024,0.6 ( -14.29 %),176,"2,706,300","15,376.7",136,"2,020,300","14,855","686,000"
18/07/2024,0.7 ( 0 %),0,0,0,0,0,0,0
17/07/2024,0.7 ( 0 %),0,0,0,0,0,0,0
16/07/2024,0.7 ( 0 %),0,0,0,0,0,0,0
15/07/2024,0.7 ( 0 %),0,0,0,0,0,0,0
12/07/2024,0.7 ( 16.67 %),306,"5,225,200","17,075.82",88,"1,393,900","15,840","3,831,300"
11/07/2024,0.6 ( 0 %),0,0,0,0,0,0,0
10/07/2024,0.6 ( 0 %),0,0,0,0,0,0,0
09/07/2024,0.6 ( 0 %),0,0,0,0,0,0,0
08/07/2024,0.6 ( 0 %),0,0,0,0,0,0,0
05/07/2024,0.7 ( 0 %),213,"28,045,100","131,667.14",152,"2,480,200","16,317","25,564,900"
04/07/2024,0.7 ( 0 %),0,0,0,0,0,0,0
03/07/2024,0.7 ( 0 %),0,0,0,0,0,0,0
02/07/2024,0.7 ( 0 %),0,0,0,0,0,0,0
01/07/2024,0.7 ( 0 %),0,0,0,0,0,0,0
28/06/2024,0.7 ( 0 %),148,"1,009,200","6,818.92",134,"1,163,700","8,684","-154,500"
27/06/2024,0.7 ( 0 %),0,0,0,0,0,0,0
26/06/2024,0.7 ( 0 %),0,0,0,0,0,0,0
25/06/2024,0.7 ( 0 %),0,0,0,0,0,0,0
24/06/2024,0.7 ( 0 %),0,0,0,0,0,0,0
