date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
09/09/2024,106,--,-0.6(-0.56 %),"51,160",5.43,0,0,107,107,105.8
06/09/2024,107,--,-1.3(-1.20 %),"136,536",14.55,0,0,108,108,105.9
05/09/2024,108,--,-1(-0.92 %),"121,821",13.2,0,0,109.5,109.5,107.7
04/09/2024,109.4,--,-0.4(-0.36 %),"141,808",15.46,0,0,110,110,108.3
30/08/2024,110,--,0.9(0.82 %),"128,757",14.14,0,0,109.8,110.8,109.2
29/08/2024,109.8,--,0.4(0.37 %),"86,411",9.43,0,0,109.9,109.9,108.3
28/08/2024,109.9,--,1.2(1.10 %),"84,122",9.21,0,0,110,110,109
27/08/2024,110,--,-0.2(-0.18 %),"175,640",19.09,0,0,109.9,110,107.6
26/08/2024,109.9,--,-1.7(-1.52 %),"229,941",25.35,0,0,112,112.1,109
23/08/2024,112,--,-1.2(-1.06 %),"218,155",24.34,"37,000",4.28,112.8,112.8,110.9
22/08/2024,113.7,--,0.5(0.44 %),"126,714",14.35,0,0,113.9,113.9,112.9
21/08/2024,113.9,--,0.9(0.80 %),"158,185",17.91,0,0,113.6,114,112.3
20/08/2024,113.9,--,2.1(1.88 %),"189,097",21.36,0,0,112.6,114,112
19/08/2024,112.5,--,3.5(3.21 %),"233,430",26.11,"95,000",11.02,109.6,112.6,109.6
16/08/2024,109.5,--,2.4(2.24 %),"302,637",33,0,0,109,110.3,107
15/08/2024,107,--,-0.6(-0.56 %),"142,577",15.27,0,0,108.5,108.5,106.6
14/08/2024,109,--,0.6(0.55 %),"169,927",18.28,0,0,109.9,109.9,107
13/08/2024,108.7,--,0.5(0.46 %),"280,452",30.41,0,0,109.8,110.1,107
12/08/2024,109.6,--,2.8(2.62 %),"145,879",15.78,0,0,109.9,110.1,107.1
09/08/2024,109.9,--,7(6.80 %),"414,296",44.24,0,0,103.3,110,103.3
09/08/2024,109.9,--,7(6.80 %),"414,296",44.24,0,0,103.3,110,103.3
08/08/2024,103.5,--,0.4(0.39 %),"210,518",21.65,0,0,103.1,104.3,101.7
07/08/2024,101.7,--,-1.5(-1.45 %),"232,466",23.97,0,0,103.2,105.7,101.7
06/08/2024,102,--,-6.5(-5.99 %),"832,716",85.95,0,0,105.9,108.7,101.5
05/08/2024,107,--,-5(-4.46 %),"247,321",26.82,0,0,108,112,107
02/08/2024,114.4,--,2.5(2.23 %),"236,256",26.46,0,0,108.2,114.5,108.2
01/08/2024,113,--,-1.7(-1.48 %),"359,403",40.23,0,0,115.6,116.4,110
31/07/2024,115.9,--,-1.7(-1.45 %),"462,163",53,0,0,117.6,117.6,113.4
30/07/2024,118,--,0.5(0.43 %),"277,620",32.65,0,0,117.5,119.5,114.5
29/07/2024,117.5,--,2.8(2.44 %),"418,571",49.2,0,0,118,118.5,116
26/07/2024,115.1,--,4.7(4.26 %),"388,204",44.51,0,0,111.8,115.8,111.3
25/07/2024,111.8,--,5.5(5.17 %),"419,689",46.33,0,0,107,111.8,105.5
24/07/2024,108,--,1.6(1.50 %),"284,341",30.23,"10,000",1.08,106.4,108,103
23/07/2024,107.3,--,1.7(1.61 %),"298,652",31.79,0,0,105.8,108,104
22/07/2024,108,--,-0.5(-0.46 %),"317,100",33.48,0,0,108.5,108.5,103.5
19/07/2024,108.9,--,0.1(0.09 %),"198,956",21.59,0,0,110.9,110.9,106.9
18/07/2024,110.9,--,-1.7(-1.51 %),"524,591",57.05,"1,971,700",215.5,112.6,112.6,105.7
17/07/2024,113.7,--,-3.1(-2.65 %),"999,041",112.46,0,0,116.5,117,111
