date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
06/09/2024,20 ( 0 %),9,"3,500",388.89,3,300,100,"3,200"
05/09/2024,20 ( 0 %),10,"4,600",460,3,300,100,"4,300"
04/09/2024,20 ( 0 %),13,"3,300",253.85,3,700,233,"2,600"
30/08/2024,20 ( 0 %),6,"2,300",383.33,4,"1,200",300,"1,100"
29/08/2024,20 ( 0 %),7,"3,300",471.43,4,"1,000",250,"2,300"
28/08/2024,20 ( 0 %),11,"3,100",281.82,4,900,225,"2,200"
27/08/2024,20 ( 0 %),14,"5,200",371.43,3,"1,100",367,"4,100"
26/08/2024,20 ( 0 %),13,"6,100",469.23,5,900,180,"5,200"
23/08/2024,20 ( 0 %),10,"3,700",370,4,400,100,"3,300"
22/08/2024,20 ( -8.68 %),12,"3,300",275,14,"5,500",393,"-2,200"
21/08/2024,21.9 ( 0 %),2,"10,100","5,050",5,"1,100",220,"9,000"
20/08/2024,21.9 ( 6.83 %),8,"5,700",712.5,6,"2,400",400,"3,300"
19/08/2024,20.5 ( 0 %),4,"3,500",875,3,"1,300",433,"2,200"
16/08/2024,20.5 ( 0 %),5,"4,200",840,3,"1,300",433,"2,900"
15/08/2024,20.5 ( 0 %),9,"1,900",211.11,3,"1,300",433,600
14/08/2024,20.5 ( 1.49 %),8,"3,400",425,3,"1,800",600,"1,600"
13/08/2024,20.2 ( 0 %),4,"2,500",625,5,"2,800",560,-300
12/08/2024,20.2 ( 0 %),4,"3,600",900,4,"3,400",850,200
09/08/2024,20.2 ( -0.49 %),8,"2,200",275,6,"4,100",683,"-1,900"
08/08/2024,20.3 ( -0.49 %),7,"3,500",500,4,"2,800",700,700
07/08/2024,20.4 ( 0 %),6,"1,700",283.33,4,"2,800",700,"-1,100"
06/08/2024,20.4 ( -0.97 %),12,"4,200",350,6,"4,000",667,200
05/08/2024,20.6 ( -0.48 %),8,"1,000",125,4,"2,900",725,"-1,900"
02/08/2024,20.7 ( 0 %),5,"6,300","1,260",3,"2,900",967,"3,400"
01/08/2024,20.7 ( 0 %),11,"3,800",345.45,7,"5,800",829,"-2,000"
31/07/2024,20.7 ( -0.48 %),17,"9,600",564.71,4,"3,300",825,"6,300"
30/07/2024,20.8 ( 0 %),8,"2,200",275,5,"2,500",500,-300
29/07/2024,20.8 ( 0 %),4,"2,200",550,6,"2,500",417,-300
26/07/2024,20.8 ( 0 %),5,"7,200","1,440",5,"3,400",680,"3,800"
25/07/2024,20.8 ( -0.48 %),7,"2,400",342.86,7,"3,600",514,"-1,200"
24/07/2024,20.9 ( 0 %),3,"1,200",400,4,"1,400",350,-200
23/07/2024,20.9 ( 0 %),5,"1,400",280,5,"3,400",680,"-2,000"
22/07/2024,20.9 ( 0 %),8,"1,500",187.5,7,"3,500",500,"-2,000"
19/07/2024,20.9 ( 0 %),4,"1,600",400,4,500,125,"1,100"
18/07/2024,20.9 ( 0 %),6,"1,500",250,4,"3,400",850,"-1,900"
17/07/2024,20.9 ( -0.48 %),8,"3,100",387.5,4,800,200,"2,300"
16/07/2024,21 ( -0.47 %),8,"2,300",287.5,8,"5,200",650,"-2,900"
15/07/2024,21.1 ( 0 %),7,"3,200",457.14,6,"4,500",750,"-1,300"
12/07/2024,21.1 ( -9.05 %),4,"4,100","1,025",8,"3,000",375,"1,100"
11/07/2024,23.2 ( 8.92 %),19,"10,300",542.11,8,"5,800",725,"4,500"
10/07/2024,21.3 ( 0 %),6,"2,300",383.33,5,"4,600",920,"-2,300"
09/07/2024,21.3 ( -0.47 %),5,"1,700",340,3,"3,500","1,167","-1,800"
08/07/2024,21.4 ( 0 %),6,"1,700",283.33,4,"3,700",925,"-2,000"
05/07/2024,21.4 ( 0 %),7,"4,400",628.57,6,"6,600","1,100","-2,200"
04/07/2024,21.4 ( 8.63 %),10,"3,600",360,7,"4,200",600,-600
03/07/2024,19.7 ( -1.5 %),9,"4,700",522.22,7,"6,500",929,"-1,800"
02/07/2024,20 ( 0 %),6,"3,400",566.67,3,"2,700",900,700
01/07/2024,20 ( 0 %),6,"3,400",566.67,3,"2,500",833,900
28/06/2024,20 ( -4.31 %),22,"13,300",604.55,17,"12,800",753,500
27/06/2024,20.9 ( 4.5 %),17,"4,400",258.82,5,"2,600",520,"1,800"
26/06/2024,20 ( 1.01 %),17,"7,500",441.18,13,"13,500","1,038","-6,000"
25/06/2024,19.8 ( 0 %),9,"5,200",577.78,4,"2,900",725,"2,300"
24/06/2024,19.8 ( 0 %),10,"4,000",400,3,"1,700",567,"2,300"
21/06/2024,19.8 ( 1.54 %),10,"3,400",340,4,"9,600","2,400","-6,200"
20/06/2024,19.5 ( -9.72 %),9,"4,900",544.44,5,"9,600","1,920","-4,700"
19/06/2024,21.6 ( 9.64 %),12,"5,800",483.33,9,"11,800","1,311","-6,000"
18/06/2024,19.7 ( 0 %),13,"4,300",330.77,4,"2,000",500,"2,300"
17/06/2024,19.7 ( 0 %),6,"2,700",450,4,"2,000",500,700
14/06/2024,19.7 ( 0 %),16,"8,300",518.75,5,"10,800","2,160","-2,500"
13/06/2024,19.7 ( -1.01 %),8,"4,000",500,4,"2,600",650,"1,400"
12/06/2024,19.9 ( -3.86 %),4,"2,200",550,3,600,200,"1,600"
11/06/2024,20.7 ( 0 %),10,"5,400",540,4,"4,700","1,175",700
10/06/2024,20.7 ( 5.61 %),29,"18,500",637.93,7,"7,200","1,029","11,300"
07/06/2024,19.6 ( 0 %),7,"4,300",614.29,4,"3,600",900,700
06/06/2024,19.6 ( 0 %),8,"4,600",575,5,"4,600",920,0
05/06/2024,19.6 ( 0.51 %),11,"6,700",609.09,6,"8,700","1,450","-2,000"
04/06/2024,19.5 ( 0 %),13,"5,600",430.77,5,"3,600",720,"2,000"
03/06/2024,19.5 ( -5.8 %),17,"19,100","1,123.53",12,"9,000",750,"10,100"
31/05/2024,20.7 ( 7.25 %),13,"10,800",830.77,9,"11,300","1,256",-500
30/05/2024,19.3 ( -6.31 %),10,"7,000",700,8,"11,100","1,388","-4,100"
29/05/2024,20.6 ( 9.57 %),28,"34,000","1,214.29",18,"17,800",989,"16,200"
28/05/2024,18.8 ( 1.08 %),13,"8,000",615.38,5,"1,700",340,"6,300"
27/05/2024,18.6 ( 0 %),13,"9,500",730.77,4,"2,800",700,"6,700"
24/05/2024,18.6 ( 0 %),14,"3,400",242.86,5,"5,800","1,160","-2,400"
23/05/2024,18.6 ( -1.59 %),13,"3,300",253.85,6,"5,300",883,"-2,000"
22/05/2024,18.9 ( 0 %),19,"9,000",473.68,10,"9,200",920,-200
21/05/2024,18.9 ( 0 %),17,"5,500",323.53,9,"13,600","1,511","-8,100"
20/05/2024,18.9 ( 0 %),13,"4,300",330.77,7,"5,000",714,-700
17/05/2024,18.9 ( 0 %),14,"5,000",357.14,7,"2,600",371,"2,400"
16/05/2024,18.9 ( 2.16 %),11,"4,500",409.09,9,"3,100",344,"1,400"
15/05/2024,18.5 ( 0 %),14,"13,000",928.57,10,"11,000","1,100","2,000"
14/05/2024,18.5 ( 0 %),9,"4,200",466.67,9,"10,300","1,144","-6,100"
13/05/2024,18.5 ( 0 %),10,"7,600",760,10,"8,300",830,-700
10/05/2024,18.5 ( 0 %),9,"3,800",422.22,9,"8,500",944,"-4,700"
09/05/2024,18.5 ( 1.09 %),17,"15,300",900,13,"13,700","1,054","1,600"
08/05/2024,18.3 ( 0 %),9,"5,400",600,7,"3,600",514,"1,800"
07/05/2024,18.3 ( 0.55 %),13,"4,700",361.54,8,"3,800",475,900
06/05/2024,18.2 ( 0 %),11,"5,600",509.09,8,"3,800",475,"1,800"
03/05/2024,18.2 ( 0.55 %),41,"15,700",382.93,21,"15,100",719,600
02/05/2024,18.1 ( 0.56 %),9,"4,400",488.89,10,"4,100",410,300
26/04/2024,18 ( 0 %),10,"5,700",570,6,"3,700",617,"2,000"
25/04/2024,18 ( 0 %),10,"3,600",360,8,"3,100",388,500
24/04/2024,18 ( 0 %),14,"6,200",442.86,9,"4,900",544,"1,300"
23/04/2024,18 ( 0 %),9,"4,600",511.11,6,"2,700",450,"1,900"
22/04/2024,18 ( 0 %),8,"3,200",400,7,"3,800",543,-600
19/04/2024,18 ( -0.55 %),13,"4,300",330.77,9,"13,300","1,478","-9,000"
17/04/2024,18.1 ( -1.09 %),12,"5,600",466.67,9,"13,200","1,467","-7,600"
16/04/2024,18.3 ( 0 %),13,"4,200",323.08,10,"14,100","1,410","-9,900"
15/04/2024,18.3 ( 0 %),22,"6,700",304.55,5,"21,500","4,300","-14,800"
12/04/2024,18.3 ( -6.15 %),49,"17,300",353.06,16,"30,300","1,894","-13,000"
11/04/2024,19.5 ( 5.41 %),11,"10,700",972.73,6,"22,200","3,700","-11,500"
10/04/2024,18.5 ( -2.63 %),15,"6,500",433.33,4,"11,800","2,950","-5,300"
09/04/2024,19 ( 1.06 %),16,"9,400",587.5,11,"15,600","1,418","-6,200"
08/04/2024,18.8 ( 1.08 %),9,"4,900",544.44,8,"14,900","1,862","-10,000"
05/04/2024,18.6 ( -2.11 %),17,"7,600",447.06,14,"7,000",500,600
04/04/2024,19 ( 0 %),5,"2,500",500,4,"1,400",350,"1,100"
03/04/2024,19 ( 0 %),12,"4,700",391.67,6,"1,200",200,"3,500"
02/04/2024,19 ( 0 %),7,"5,200",742.86,4,"2,500",625,"2,700"
01/04/2024,19 ( 0 %),11,"19,100","1,736.36",7,"3,000",429,"16,100"
29/03/2024,19 ( 0 %),8,"6,400",800,8,"2,000",250,"4,400"
