date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
09/09/2024,10.1(-1.46 %),300,0,300,0,0,0,"38,066,239",0.17%
06/09/2024,10.25(-0.49 %),"20,700",0.21,"22,200",0.23,"1,500",0.02,"38,036,639",0.21%
05/09/2024,10.3(3.00 %),"-27,600",-0.28,"2,300",0.02,"29,900",0.31,"38,057,539",0.18%
04/09/2024,10(-2.91 %),"-1,300",-0.01,0,0,"1,300",0.01,"38,057,139",0.18%
30/08/2024,10.3(-0.48 %),"-2,700",-0.03,0,0,"2,700",0.03,"38,057,039",0.18%
29/08/2024,10.35(-0.96 %),"1,700",0.02,"1,800",0.02,100,0,"38,056,639",0.18%
28/08/2024,10.45(0.00 %),"5,300",0.06,"5,700",0.06,400,0,"38,058,439",0.18%
27/08/2024,10.45(3.98 %),0,0,0,0,0,0,"38,056,339",0.18%
26/08/2024,10.35(-0.48 %),"-7,200",-0.08,600,0.01,"7,800",0.08,"38,046,839",0.2%
23/08/2024,10.4(-1.42 %),"-9,300",-0.1,200,0,"9,500",0.1,"38,046,439",0.2%
22/08/2024,10.55(-0.47 %),-800,-0.01,200,0,"1,000",0.01,"38,043,539",0.2%
21/08/2024,10.6(-1.40 %),"4,300",0.05,"7,400",0.08,"3,100",0.03,"38,038,039",0.21%
20/08/2024,10.75(0.00 %),"5,300",0.06,"11,000",0.12,"5,700",0.06,"38,054,239",0.19%
19/08/2024,10.75(-0.92 %),"2,700",0.03,"4,700",0.05,"2,000",0.02,"38,054,239",0.19%
16/08/2024,10.85(2.84 %),"27,300",0.29,"27,500",0.29,200,0,"38,058,939",0.18%
15/08/2024,10.55(-1.40 %),"15,300",0.16,"15,300",0.16,0,0,"38,072,739",0.16%
14/08/2024,10.7(-1.83 %),"-13,700",-0.15,0,0,"13,700",0.15,"37,981,739",0.28%
13/08/2024,11.9(-0.42 %),"-105,100",-1.25,"1,200",0.01,"106,300",1.26,"37,981,639",0.28%
12/08/2024,11.95(2.14 %),"4,000",0.05,"4,100",0.05,100,0,"37,973,439",0.29%
09/08/2024,11.7(2.63 %),"-9,400",-0.11,0,0,"9,400",0.11,"37,970,339",0.3%
08/08/2024,11.4(4.59 %),"87,700",0.99,"94,900",1.07,"7,200",0.08,"37,959,639",0.31%
07/08/2024,10.9(1.40 %),"-10,700",-0.12,0,0,"10,700",0.12,"38,054,539",0.19%
06/08/2024,10.75(1.90 %),"8,900",0.09,"8,900",0.09,0,0,"38,044,739",0.2%
05/08/2024,10.55(-3.65 %),"1,400",0.01,"11,200",0.12,"9,800",0.11,"38,053,639",0.19%
02/08/2024,10.95(1.86 %),"32,500",0.36,"32,500",0.36,0,0,"38,019,639",0.23%
