date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
09/09/2024,7.8,--,0(0.00 %),"23,339",0.18,"395,000",3.48,7.7,7.9,7.6
06/09/2024,7.8,--,0(0.00 %),"10,975",0.09,"700,000",4.9,7.8,7.9,7.6
05/09/2024,7.8,--,0.2(2.63 %),"11,329",0.09,0,0,7.9,7.9,7.7
04/09/2024,7.8,--,0(0.00 %),"15,886",0.12,0,0,7.9,7.9,7
30/08/2024,7.9,--,0.1(1.28 %),"3,033",0.02,"340,000",2.99,7.8,7.9,7.8
29/08/2024,7.8,--,0.1(1.30 %),"17,125",0.13,0,0,7.8,7.9,7.8
28/08/2024,7.7,--,-0.1(-1.28 %),"13,105",0.1,0,0,7.7,7.8,7.7
27/08/2024,7.8,--,0(0.00 %),"9,808",0.08,"110,000",0.97,7.8,7.8,7.7
26/08/2024,7.7,--,-0.1(-1.28 %),"20,049",0.16,0,0,7.9,7.9,7.7
23/08/2024,7.9,--,-0.1(-1.25 %),"16,400",0.13,0,0,7.9,7.9,7.8
22/08/2024,7.9,--,0(0.00 %),"44,638",0.36,0,0,8,8,7.9
21/08/2024,8,--,0.2(2.56 %),"89,444",0.71,0,0,7.9,8,7.8
20/08/2024,7.9,--,0.1(1.28 %),"53,427",0.42,0,0,7.8,7.9,7.6
19/08/2024,7.8,--,0.1(1.30 %),"40,315",0.31,0,0,7.8,7.8,7.8
16/08/2024,7.7,--,-0.1(-1.28 %),"28,932",0.22,0,0,7.7,7.8,7.7
15/08/2024,7.8,--,0(0.00 %),"19,209",0.15,0,0,7.9,7.9,7.7
14/08/2024,7.8,--,0(0.00 %),"13,834",0.11,0,0,7.8,7.9,7.6
13/08/2024,7.9,--,0.1(1.28 %),"24,738",0.19,0,0,7.9,7.9,7.7
12/08/2024,7.8,--,0.2(2.63 %),"23,789",0.19,0,0,7.8,7.9,7.7
09/08/2024,7.6,--,0.1(1.33 %),"9,687",0.07,"1,700,000",12.88,7.6,7.7,7.5
09/08/2024,7.6,--,0.1(1.33 %),"9,687",0.07,"1,700,000",12.88,7.6,7.7,7.5
08/08/2024,7.5,--,0.4(5.63 %),"21,364",0.16,0,0,7.6,7.6,7.4
07/08/2024,7.4,--,0.1(1.37 %),"180,024",1.28,"2,000,000",14.81,7.4,7.6,7
06/08/2024,7.7,--,0.2(2.67 %),"108,731",0.79,"250,000",1.6,7.6,7.7,7
05/08/2024,7.6,--,-0.1(-1.30 %),"362,831",2.72,0,0,7.7,7.7,7.2
02/08/2024,7.8,--,0.1(1.30 %),"9,945",0.08,0,0,7.6,7.8,7.6
01/08/2024,7.8,--,-0.1(-1.27 %),"127,310",0.98,0,0,7.8,8,7.4
31/07/2024,7.9,--,0(0.00 %),"8,363",0.07,0,0,8,8,7.9
30/07/2024,7.9,--,-0.1(-1.25 %),"70,700",0.56,0,0,7.9,8,7.8
29/07/2024,8,--,0(0.00 %),"23,173",0.18,0,0,8,8,7.9
26/07/2024,8.1,--,0.1(1.25 %),"10,401",0.08,0,0,8,8.1,7.9
25/07/2024,8,--,0(0.00 %),"14,488",0.12,0,0,8,8.1,8
24/07/2024,8.1,--,0.2(2.53 %),"72,609",0.58,0,0,7.9,8.1,7.8
23/07/2024,7.9,--,0(0.00 %),"56,543",0.45,0,0,8,8.1,7.8
22/07/2024,8,--,0(0.00 %),"46,780",0.37,0,0,8,8,7.8
19/07/2024,8.1,--,0(0.00 %),"15,407",0.12,0,0,8.1,8.1,8
18/07/2024,8,--,0(0.00 %),"26,499",0.21,0,0,8.1,8.1,8
17/07/2024,8.1,--,-0.1(-1.22 %),"65,958",0.53,0,0,8.2,8.2,7.9
