date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
09/09/2024,7.8(0.00 %),0,0,0,0,0,0,-700,0%
06/09/2024,7.8(0.00 %),0,0,0,0,0,0,-700,0%
05/09/2024,7.8(2.63 %),0,0,0,0,0,0,-700,0%
04/09/2024,7.8(0.00 %),0,0,0,0,0,0,-700,0%
30/08/2024,7.9(1.28 %),0,0,0,0,0,0,-700,0%
29/08/2024,7.8(1.30 %),0,0,0,0,0,0,-700,0%
28/08/2024,7.7(-1.28 %),0,0,0,0,0,0,-700,0%
27/08/2024,7.8(0.00 %),0,0,0,0,0,0,-700,0%
26/08/2024,7.7(-1.28 %),0,0,0,0,0,0,-700,0%
23/08/2024,7.9(-1.25 %),0,0,0,0,0,0,-700,0%
22/08/2024,7.9(0.00 %),0,0,0,0,0,0,-700,0%
21/08/2024,8(2.56 %),0,0,0,0,0,0,-700,0%
20/08/2024,7.9(1.28 %),0,0,0,0,0,0,-700,0%
19/08/2024,7.8(1.30 %),0,0,0,0,0,0,-700,0%
16/08/2024,7.7(-1.28 %),0,0,0,0,0,0,-700,0%
15/08/2024,7.8(0.00 %),0,0,0,0,0,0,-700,0%
14/08/2024,7.8(0.00 %),0,0,0,0,0,0,-700,0%
13/08/2024,7.9(1.28 %),0,0,0,0,0,0,-700,0%
12/08/2024,7.8(2.63 %),0,0,0,0,0,0,-700,0%
09/08/2024,7.6(1.33 %),0,0,0,0,0,0,-700,0%
08/08/2024,7.5(5.63 %),0,0,0,0,0,0,-700,0%
07/08/2024,7.4(1.37 %),0,0,0,0,0,0,-700,0%
06/08/2024,7.7(2.67 %),0,0,0,0,0,0,-700,0%
05/08/2024,7.6(-1.30 %),0,0,0,0,0,0,-700,0%
02/08/2024,7.8(1.30 %),0,0,0,0,0,0,-700,0%
01/08/2024,7.8(-1.27 %),0,0,0,0,0,0,-700,0%
31/07/2024,7.9(0.00 %),0,0,0,0,0,0,-700,0%
30/07/2024,7.9(-1.25 %),0,0,0,0,0,0,-700,0%
29/07/2024,8(0.00 %),0,0,0,0,0,0,-700,0%
24/07/2024,8.1(2.53 %),0,0,0,0,0,0,-700,0%
23/07/2024,7.9(0.00 %),0,0,0,0,0,0,-700,0%
22/07/2024,8(0.00 %),0,0,0,0,0,0,-700,0%
19/07/2024,8.1(0.00 %),0,0,0,0,0,0,-700,0%
18/07/2024,8(0.00 %),0,0,0,0,0,0,-700,0%
17/07/2024,8.1(-1.22 %),0,0,0,0,0,0,-700,0%
16/07/2024,8.3(2.47 %),0,0,0,0,0,0,-700,0%
15/07/2024,8.1(0.00 %),0,0,0,0,0,0,-700,0%
12/07/2024,0(0.00 %),0,0,0,0,0,0,-700,0%
11/07/2024,0(0.00 %),0,0,0,0,0,0,-700,0%
10/07/2024,8.1(0.00 %),0,0,0,0,0,0,-700,0%
08/07/2024,8.3(1.22 %),0,0,0,0,0,0,-700,0%
04/07/2024,8.2(0.00 %),0,0,0,0,0,0,-700,0%
03/07/2024,8.3(2.47 %),0,0,0,0,0,0,0,42.34%
02/07/2024,8.2(1.23 %),0,0,0,0,0,0,-700,0%
01/07/2024,8.2(1.23 %),0,0,0,0,0,0,-700,0%
28/06/2024,8.1(-1.22 %),0,0,0,0,0,0,-700,0%
27/06/2024,8.1(-2.41 %),0,0,0,0,0,0,-700,0%
26/06/2024,8.3(-2.35 %),0,0,0,0,0,0,-700,0%
25/06/2024,8.4(-2.33 %),0,0,0,0,0,0,-700,0%
24/06/2024,8.5(0.00 %),0,0,0,0,0,0,-700,0%
21/06/2024,8.5(1.19 %),0,0,0,0,0,0,-700,0%
20/06/2024,8.4(-1.18 %),0,0,0,0,0,0,-700,0%
19/06/2024,8.5(0.00 %),0,0,0,0,0,0,-700,0%
18/06/2024,8.5(0.00 %),0,0,0,0,0,0,-700,0%
17/06/2024,8.5(0.00 %),0,0,0,0,0,0,-700,0%
14/06/2024,8.3(-4.60 %),0,0,0,0,0,0,-700,0%
13/06/2024,8.7(-2.25 %),0,0,0,0,0,0,-700,0%
12/06/2024,0(0.00 %),0,0,0,0,0,0,-700,0%
11/06/2024,0(0.00 %),0,0,0,0,0,0,0,42.34%
10/06/2024,8.5(0.00 %),0,0,0,0,0,0,0,0%
07/06/2024,8.5(0.00 %),0,0,0,0,0,0,-700,0%
06/06/2024,8.5(0.00 %),0,0,0,0,0,0,-700,0%
05/06/2024,8.5(0.00 %),0,0,0,0,0,0,0,0%
04/06/2024,8.5(0.00 %),0,0,0,0,0,0,0,0%
03/06/2024,8.5(0.00 %),0,0,0,0,0,0,0,0%
31/05/2024,8.5(0.00 %),0,0,0,0,0,0,-700,0%
30/05/2024,8.6(0.00 %),0,0,0,0,0,0,-700,0%
29/05/2024,8.6(0.00 %),0,0,0,0,0,0,-700,0%
28/05/2024,8.7(1.16 %),0,0,0,0,0,0,-700,0%
27/05/2024,8.6(1.18 %),0,0,0,0,0,0,-700,0%
24/05/2024,8.5(0.00 %),0,0,0,0,0,0,0,0%
23/05/2024,8.6(0.00 %),0,0,0,0,0,0,-700,0%
22/05/2024,8.6(0.00 %),0,0,0,0,0,0,-700,0%
21/05/2024,8.6(-1.15 %),0,0,0,0,0,0,-700,0%
20/05/2024,8.7(2.35 %),0,0,0,0,0,0,-700,0%
17/05/2024,8.6(1.18 %),0,0,0,0,0,0,-700,0%
16/05/2024,8.5(-2.30 %),0,0,0,0,0,0,0,0%
15/05/2024,8.7(1.16 %),0,0,0,0,0,0,0,0%
14/05/2024,8.6(4.88 %),0,0,0,0,0,0,0,0%
13/05/2024,8.1(-1.22 %),0,0,0,0,0,0,-700,0%
10/05/2024,8.2(1.23 %),0,0,0,0,0,0,-700,0%
09/05/2024,8.1(0.00 %),0,0,0,0,0,0,-700,0%
08/05/2024,8.1(0.00 %),0,0,0,0,0,0,-700,0%
07/05/2024,8.1(0.00 %),0,0,0,0,0,0,-700,0%
06/05/2024,8.2(1.23 %),0,0,0,0,0,0,-700,0%
03/05/2024,8.1(0.00 %),0,0,0,0,0,0,-700,0%
02/05/2024,8.1(0.00 %),0,0,0,0,0,0,-700,0%
26/04/2024,8.1(-1.22 %),0,0,0,0,0,0,-700,0%
25/04/2024,8.2(0.00 %),0,0,0,0,0,0,0,0%
24/04/2024,8.1(0.00 %),0,0,0,0,0,0,0,0%
23/04/2024,8.2(0.00 %),0,0,0,0,0,0,-700,0%
22/04/2024,8.2(0.00 %),0,0,0,0,0,0,-700,0%
19/04/2024,8.2(0.00 %),0,0,0,0,0,0,0,0%
17/04/2024,8.4(0.00 %),0,0,0,0,0,0,0,0%
16/04/2024,8.5(-3.41 %),0,0,0,0,0,0,0,0%
15/04/2024,8.6(-4.44 %),0,0,0,0,0,0,0,0%
12/04/2024,9(2.27 %),0,0,0,0,0,0,-700,0%
11/04/2024,8.8(1.15 %),0,0,0,0,0,0,-700,0%
10/04/2024,8.7(1.16 %),0,0,0,0,0,0,0,0%
09/04/2024,8.7(0.00 %),0,0,0,0,0,0,0,0%
08/04/2024,8.7(-1.14 %),0,0,0,0,0,0,0,0%
05/04/2024,8.7(-2.25 %),0,0,0,0,0,0,-700,0%
04/04/2024,9(-2.17 %),0,0,0,0,0,0,0,0%
03/04/2024,9.1(3.41 %),0,0,0,0,0,0,-700,0%
